clave_nombre,id,sku,nombre_comercial,molecula,forma,laboratorio,foto_url,total_grupo,lab_distintos
ACETAMINOFEN - HIOSCINA N BUTIL BROMURO 500 MG-10MG,37323,ME37101/2,ACETAMINOFEN - HIOSCINA N BUTIL BROMURO 500 mg-10mg X 10 TABLETAS RE,,TABLETAS,"LABORATORIO LA SANTE, C.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/52423.jpg,2,1
ACETAZOLAMIDA 250 MG,37327,ME34148/3,ACETAZOLAMIDA 250 mg X 20 TABLETAS,Acetazolamida,TABLETAS,EMPRESA LABORATORIOS MEDSOL,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/53492.jpg,2,1
ACETAZOLAMIDA 250 MG,37328,ME34148/2,ACETAZOLAMIDA 250 mg X 10 TABLETAS,Acetazolamida,TABLETAS,EMPRESA LABORATORIOS MEDSOL,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/53177.jpg,2,1
ACEVAL 650 MG,37331,ME30496/2,ACEVAL 650 mg X 10 TABLETAS,Acetaminofen,TABLETAS,"LABORATORIOS VALMOR, C.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/646.jpg,2,1
ACEVAL 650 MG,37332,ME30496/3,ACEVAL 650 mg X 50 TABLETAS,Acetaminofen,TABLETAS,"LABORATORIOS VALMOR, C.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/24308.jpg,2,1
ACICLOVIR 200 MG,37339,ME26178/3,ACICLOVIR 200 mg X 20 TABLETAS,Aciclovir,TABLETAS,LABORATORIO PIFANO C.A.,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/29551.jpg,4,2
ACICLOVIR 200 MG,37340,ME26178/2,ACICLOVIR 200 mg X 10 TABLETAS,Aciclovir,TABLETAS,LABORATORIO PIFANO C.A.,https://pccentro.net.ve/img/s/8/3/7/6/5/83765-large_default.webp,4,2
ACICLOVIR 200 MG,37341,ME26178/4,ACICLOVIR 200 mg X 24 TABLETAS,Aciclovir,TABLETAS,LABORATORIO PIFANO C.A.,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/7859.jpg,4,2
ACICLOVIR 200 MG,37342,ME31108,ACICLOVIR 200 mg X 25 TABLETAS,Aciclovir,TABLETAS,"CALOX INTERNATIONAL, C.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/11560.jpg,4,2
ACIDO ACETILSALICILICO 81 MG,37345,ME34553/2,ACIDO ACETILSALICILICO 81 mg X 24 TABLETAS CON CUBIERTA ENTERICA,,TABLETAS,"LABORATORIOS L.O. OFTALMI, C.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/7271.jpg,2,1
ACIDO ACETILSALICILICO 81 MG,37346,ME34553/3,ACIDO ACETILSALICILICO 81 mg X 30 TABLETAS CON CUBIERTA ENTERICA,,TABLETAS,"LABORATORIOS L.O. OFTALMI, C.A.",,2,1
ACIDO FOLICO 10 MG / ML,37350,HO3187/3,ACIDO FOLICO 10 mg / mL X 10 AMPOLLAS,Folico Acido,INYECTABLE,MEGALABS S.A.,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/22846.jpg,3,1
ACIDO FOLICO 10 MG / ML,37351,HO3187/2,ACIDO FOLICO 10 mg / mL X 3 AMPOLLAS,Folico Acido,INYECTABLE,MEGALABS S.A.,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/20.jpg,3,1
ACIDO FOLICO 10 MG / ML,37352,HO3187/4,ACIDO FOLICO 10 mg / mL X 20 AMPOLLAS,Folico Acido,INYECTABLE,MEGALABS S.A.,https://pccentro.net.ve/img/s/7/7/6/9/5/77695-large_default.webp,3,1
ACIDO FOLICO 10 MG COMPRIMIDOS,37353,ME33347,ACIDO FOLICO 10 mg COMPRIMIDOS,Folico Acido,COMPRIMIDOS,"LABORATORIOS VARGAS, S.A.",https://pccentro.net.ve/img/s/9/6/0/9/0/96090-large_default.webp,2,2
ACIDO FOLICO 10 MG COMPRIMIDOS,39021,ME22033,ACIDO FOLICO 10 mg COMPRIMIDOS,Folico Acido,COMPRIMIDOS,"LABORATORIOS VALMOR, C.A.",https://pccentro.net.ve/img/s/9/6/0/9/0/96090-large_default.webp,2,2
ACIDO FOLICO 10 MG / ML SOLUCION ORAL,37358,ME4631,ACIDO FOLICO 10 mg / mL SOLUCION ORAL,Folico Acido,SOLUCION ORAL,MEGALABS S.A.,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/25.jpg,3,3
ACIDO FOLICO 10 MG / ML SOLUCION ORAL,39020,ME33987,ACIDO FOLICO 10 mg / mL SOLUCION ORAL,Folico Acido,SOLUCION ORAL,"LABORATORIOS LETI, S.A.V.",https://pccentro.net.ve/img/s/7/6/7/7/5/76775-large_default.webp,3,3
ACIDO FOLICO 10 MG / ML SOLUCION ORAL,39023,ME31178,ACIDO FOLICO 10 mg / mL SOLUCION ORAL,Folico Acido,SOLUCION ORAL,LABORATORIOS SIEGFRIED S.A.,https://pccentro.net.ve/img/s/7/6/7/7/5/76775-large_default.webp,3,3
VALPRON 500 MG,37363,ME23174/2,VALPRON 500 mg X 10 TABLETAS,Valproico Acido,TABLETAS,LABORATORIOS FARMA S.A.,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/51480.jpg,3,1
VALPRON 500 MG,37364,ME23174/3,VALPRON 500 mg X 30 TABLETAS,Valproico Acido,TABLETAS,LABORATORIOS FARMA S.A.,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/5235.jpg,3,1
VALPRON 500 MG,37365,ME23174/4,VALPRON 500 mg X 60 TABLETAS,Valproico Acido,TABLETAS,LABORATORIOS FARMA S.A.,https://pccentro.net.ve/img/s/7/1/6/1/7/71617-large_default.webp,3,1
AFLAMAX 50 MG,37370,ME36828/2,AFLAMAX 50 mg X 10 TABLETAS RECUBIERTAS,Diclofenaco,TABLETAS,"LABORATORIOS L.O. OFTALMI, C.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/19583.jpg,2,1
AFLAMAX 50 MG,37371,ME36828/3,AFLAMAX 50 mg X 20 TABLETAS RECUBIERTAS,Diclofenaco,TABLETAS,"LABORATORIOS L.O. OFTALMI, C.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/92341.jpg,2,1
AIRON 10 MG,37379,ME33783/3,AIRON 10 mg X 30 TABLETAS RECUBIERTAS,Montelukast,TABLETAS,"LABORATORIOS L.O. OFTALMI, C.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/5930.jpg,2,1
AIRON 10 MG,37380,ME33783/2,AIRON 10 mg X 10 TABLETAS RECUBIERTAS,Montelukast,TABLETAS,"LABORATORIOS L.O. OFTALMI, C.A.",https://pccentro.net.ve/img/s/7/5/8/6/9/75869-large_default.webp,2,1
ALBENDAZOL 200 MG,37383,ME40605/2,ALBENDAZOL 200 mg X 2 COMPRIMIDOS,Albendazol,COMPRIMIDOS,"SM PHARMA, C.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/9575.jpg,7,3
ALBENDAZOL 200 MG,37384,ME40605/3,ALBENDAZOL 200 mg X 6 COMPRIMIDOS,Albendazol,COMPRIMIDOS,"SM PHARMA, C.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/1526.jpg,7,3
ALBENDAZOL 200 MG,37385,ME34122/2,ALBENDAZOL 200 mg X 2 TABLETAS,Albendazol,TABLETAS,"LABORATORIO PLUSANDEX DE FARMACEUTICOS UNIDOS, PLUSANDEX, C.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/17968.jpg,7,3
ALBENDAZOL 200 MG,37386,ME34122/3,ALBENDAZOL 200 mg X 6 TABLETAS,Albendazol,TABLETAS,"LABORATORIO PLUSANDEX DE FARMACEUTICOS UNIDOS, PLUSANDEX, C.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/20302.jpg,7,3
ALBENDAZOL 200 MG,37387,ME35827,ALBENDAZOL 200 mg X 6 TABLETAS MASTICABLES,Albendazol,TABLETAS,"CALOX INTERNATIONAL, C.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/94917.jpg,7,3
ALBENDAZOL 200 MG,39029,ME39048/2,ALBENDAZOL 200 mg X 2 TABLETAS MASTICABLES SABOR A BANANA,Albendazol,TABLETAS,"CALOX INTERNATIONAL, C.A.",https://pccentro.net.ve/img/s/1/8/1/8/6/18186-large_default.webp,7,3
ALBENDAZOL 200 MG,39030,ME39048/3,ALBENDAZOL 200 mg X 6 TABLETAS MASTICABLES SABOR A BANANA,Albendazol,TABLETAS,"CALOX INTERNATIONAL, C.A.",https://pccentro.net.ve/img/s/1/8/1/8/6/18186-large_default.webp,7,3
ALBICAR 200 MG,37389,ME27447/2,ALBICAR 200 mg X 2 TABLETAS,Albendazol,TABLETAS,"LABORATORIOS ELMOR, S.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/9807.jpg,2,1
