clave_mf,id,sku,nombre_comercial,molecula,forma,laboratorio,foto_url,total_grupo
ACETAMINOFEN ||| COMPRIMIDOS,38069,ME43813,FEBRIP 500 mg X 20 COMPRIMIDOS,Acetaminofen,COMPRIMIDOS,MEGALABS S.A.,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/54399.jpg,7
ACETAMINOFEN ||| COMPRIMIDOS,38990,ME33445,"ZALDIAR 37,5 mg - 325 mg X 20 COMPRIMIDOS RECUBIERTOS",Acetaminofen,COMPRIMIDOS,TECNANDINA S.A.,https://pccentro.net.ve/img/s/5/5/6/4/9/55649-large_default.webp,7
ACETAMINOFEN ||| COMPRIMIDOS,39007,ME39020,ACETAMINOFEN 1000 mg COMPRIMIDOS,Acetaminofen,COMPRIMIDOS,"LABORATORIOS SPEFAR VENEZOLANOS, S.A.",https://pccentro.net.ve/img/s/3/5/1/8/6/35186-large_default.webp,7
ACETAMINOFEN ||| COMPRIMIDOS,39013,ME41663,ACETAMINOFEN 650 mg X 10 COMPRIMIDOS,Acetaminofen,COMPRIMIDOS,"LABORATORIOS LETI, S.A.V.",https://pccentro.net.ve/img/s/2/2/8/6/3/22863-large_default.webp,7
ACETAMINOFEN ||| TABLETAS,37309,ME43639/2,ACETAMINOFEN 650mg X 10 TABLETAS,Acetaminofen,TABLETAS,"LABORATORIOS L.O. OFTALMI, C.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/11552.jpg,30
ACETAMINOFEN ||| TABLETAS,37310,ME43639/3,ACETAMINOFEN 650mg X 20 TABLETAS,Acetaminofen,TABLETAS,"LABORATORIOS L.O. OFTALMI, C.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/22403.jpg,30
ACETAMINOFEN ||| TABLETAS,37311,ME43639/4,ACETAMINOFEN 650mg X 30 TABLETAS,Acetaminofen,TABLETAS,"LABORATORIOS L.O. OFTALMI, C.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/15591.jpg,30
ACETAMINOFEN ||| TABLETAS,37318,ME31234,ACETAMINOFEN 500 mg X 10 TABLETAS,Acetaminofen,TABLETAS,"CALOX INTERNATIONAL, C.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/2337.jpg,30
ACETAMINOFEN ||| TABLETAS,37319,ME23275/2,ACETAMINOFEN 500 mg X 10 TABLETAS,Acetaminofen,TABLETAS,"LABORATORIO PLUSANDEX DE FARMACEUTICOS UNIDOS, PLUSANDEX, C.A.",https://pccentro.net.ve/img/s/8/7/8/2/6/87826-large_default.webp,30
ACETAMINOFEN ||| TABLETAS,37320,ME23275/3,ACETAMINOFEN 500 mg X 12 TABLETAS,Acetaminofen,TABLETAS,"LABORATORIO PLUSANDEX DE FARMACEUTICOS UNIDOS, PLUSANDEX, C.A.",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/22400.jpg,30
