producto_id,sku,nombre_comercial,molecula_texto,forma,linea,laboratorio,fuente_inhrr_ef,foto_url,disponible,costo_usd,precio_usd
37497,ME32453/3,ASAPROL 81 MG X 100 COMPRIMIDOS ENTERICOS,,COMPRIMIDOS,Linea Farmacia,LABORATORIOS LETI S.A.V.,E.F.32.453,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/9092.jpg,true,9.91,16.52
37498,ME32453/2,ASAPROL 81 MG X 40 COMPRIMIDOS ENTERICOS,,COMPRIMIDOS,Linea Farmacia,LABORATORIOS LETI S.A.V.,E.F.32.453,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/99232.jpg,true,4.29,7.15
37504,ME38676/2,ASPRINIL 81 MG X 40 TABLETAS CON RECUBRIMIENTO ENTERICO,,TABLETAS,Linea Farmacia,BIOTECH LABORATORIOS C.A.,E.F.38.676,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/53383.jpg,true,3.57,5.95
37505,ME38676/3,ASPRINIL 81 MG X 100 TABLETAS CON RECUBRIMIENTO ENTERICO,,TABLETAS,Linea Farmacia,BIOTECH LABORATORIOS C.A.,E.F.38.676,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/51425.jpg,true,7.87,13.12
37510,ME43445,ATAPEC 100 MG X 30 TABLETAS RECUBIERTAS,,TABLETAS,Linea Farmacia,TITAN LABORATORIES PVT. LTD.,E.F.43.445,,true,9.09,15.15
37522,ME37775,ATORVASTATINA 20 MG X 30 TABLETAS RECUBIERTAS,,TABLETAS,Linea Farmacia,EMPRESA LABORATORIOS MEDSOL,E.F.G.37.775,,true,3,5.00
37526,ME30954,ATRIMON 10 MG X 10 COMPRIMIDOS,,COMPRIMIDOS,Linea Farmacia,FARMACEUTICA PARAGUAYA S.A.,E.F.30.954,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/527.jpg,true,4.18,6.97
37527,ME40958,ATROBEL 10 MG / ML SOLUCION GOTAS REFORMULADO,,GOTAS,Linea Farmacia,C.A. PRODUCTOS RONAVA,E.F.40.958,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/22695.jpg,true,6.5,10.83
37528,HO35376,ATROPINA SULFATO 1 MG / ML X 10 AMPOLLAS,,INYECTABLE,Linea Hospitalaria,LABORATORIO BIOSANO S.A.,E.F.G.35.376,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/50775.jpg,true,6.69,11.15
37529,ME36259,ATROVERAN 10 MG / ML X 10 SOLUCION GOTAS,,GOTAS,Linea Farmacia,LABORATORIOS VARGAS S.A.,E.F.36.259,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/25310.jpg,true,5.68,9.47
37534,ME30878,AVELOX 400 MG X 5 COMPRIMIDOS RECUBIERTOS,,COMPRIMIDOS,Linea Farmacia,BAYER S.A.,E.F.30.878,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/11301.jpg,true,33.18,55.30
37537,ME33685/2,AZACARD 81 MG X 30 TABLETAS CON CUBIERTA ENTERICA,,TABLETAS,Linea Farmacia,LABORATORIOS L.O. OFTALMI C.A.,E.F.33.685,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/4756.jpg,true,3.79,6.32
37538,ME33685/3,AZACARD 81 MG X 60 TABLETAS CON CUBIERTA ENTERICA,,TABLETAS,Linea Farmacia,LABORATORIOS L.O. OFTALMI C.A.,E.F.33.685,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/4694.jpg,true,6.39,10.65
37539,ME33685/4,AZACARD 81 MG X 100 TABLETAS CON CUBIERTA ENTERICA,,TABLETAS,Linea Farmacia,LABORATORIOS L.O. OFTALMI C.A.,E.F.33.685,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/53427.jpg,true,7.75,12.92
37547,ME42465,AZITROMICINA 500 MG X 5 TABLETAS RECUBIERTAS,,TABLETAS,Linea Farmacia,COOPER PHARMA LTD,E.F.G.42.465,,true,1.88,3.13
37557,ME29570,BENCIDAMINA CLORHIDRATO 0.15 % SOLUCION TOPICA BUCAL,,SOLUCION TOPICA,Linea Farmacia,LABORATORIO COFASA S.A.,E.F.G.29.570,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/13344.jpg,true,2.05,3.42
37561,ME39719,BENZODIAZOL 0.25 MG - 5 MG X 16 PASTILLAS SABOR A LIMON - MIEL,,PASTILLA,Linea Farmacia,LABORATORIOS SIEGFRIED S.A.,E.F.39.719,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/97346.jpg,true,4.56,7.60
37563,ME33045/2,BENZODIAZOL 0.25 MG - 5 MG X 4 PASTILLAS SABOR A TUTTI FRUTTI,,PASTILLA,Linea Farmacia,LABORATORIOS SIEGFRIED S.A.,E.F.33.045,,true,29.34,48.90
37564,ME33045/3,BENZODIAZOL 0.25 MG - 5 MG X 16 PASTILLAS SABOR A TUTTI FRUTTI,,PASTILLA,Linea Farmacia,LABORATORIOS SIEGFRIED S.A.,E.F.33.045,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/97346.jpg,true,4.56,7.60
37565,ME38253,BEPRODERM 0.05 % - 0.1 % CREMA,,CREMA,Linea Farmacia,BIOTECH LABORATORIOS C.A.,E.F.38.253,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/94044.jpg,true,6.23,10.38
37566,ME26475,BETADINE 8 % SOLUCION TOPICO BUCAL,,SOLUCION TOPICA,Linea Farmacia,LABORATORIOS FARMA S.A.,E.F.26.475,,true,6.41,10.68
37567,ME37878,BETADUO 6.430 MG - 2.631 MG / ML X 1 AMPOLLA,,INYECTABLE,Linea Farmacia,PHARMAYECT S.A.,E.F.37.878,,true,8.74,14.57
37570,ME16115,BETAGEN SOLSPEN X 1 AMPOLLA,,INYECTABLE,Linea Farmacia,BIOTECH LABORATORIOS C.A.,E.F.16.115,,true,9.04,15.07
37575,ME22866,BEXILON 4 MG / 5 ML JARABE,,JARABE,Linea Farmacia,LABORATORIO PLUSANDEX DE FARMACEUTICOS UNIDOS PLUSANDEX C.A.,E.F.22.866,,true,3.53,5.88
37576,ME42551,BILOL 2.5 MG X 10 TABLETAS RECUBIERTAS,,TABLETAS,Linea Farmacia,SWISS PARENTERALS LTD,E.F.42.551,,true,1.15,1.92
37577,ME41747,BIOCOR AMLO 20 MG - 5 MG X 30 TABLETAS RECUBIERTAS,,TABLETAS,Linea Farmacia,CALOX INTERNATIONAL C.A.,E.F.41.747,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/17705.jpg,true,12.62,21.03
37578,ME41748,BIOCOR AMLO 40 MG - 5 MG X 30 TABLETAS RECUBIERTAS,,TABLETAS,Linea Farmacia,CALOX INTERNATIONAL C.A.,E.F.41.748,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/17706.jpg,true,22.3,37.17
37579,ME41691,BIOCOR 40 MG X 30 TABLETAS RECUBIERTAS,,TABLETAS,Linea Farmacia,CALOX INTERNATIONAL C.A.,E.F.41.691,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/15628.jpg,true,21.66,36.10
37580,ME38247/2,BIOTALOL 2.5 MG X 10 COMPRIMIDOS RECUBIERTOS,,COMPRIMIDOS,Linea Farmacia,LABORATORIOS LETI S.A.V.,E.F.38.247,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/30302.jpg,true,3.68,6.13
37581,ME38247/3,BIOTALOL 2.5 MG X 30 COMPRIMIDOS RECUBIERTOS,,COMPRIMIDOS,Linea Farmacia,LABORATORIOS LETI S.A.V.,E.F.38.247,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/98616.jpg,true,11,18.33
37582,ME42096,BIOTALOL 1.25 MG X 30 COMPRIMIDOS RECUBIERTOS,,COMPRIMIDOS,Linea Farmacia,LABORATORIOS LETI S.A.V.,E.F.42.096,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/26929.jpg,true,10.56,17.60
37583,ME38403,BIOTALOL 10 MG X 30 COMPRIMIDOS RECUBIERTOS,,COMPRIMIDOS,Linea Farmacia,LABORATORIOS LETI S.A.V.,E.F.38.403,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/98614.jpg,true,19.46,32.43
37584,ME28126,BIPRIN 300 MG X 10 CAPSULAS BLANDAS,,CAPSULAS,Linea Farmacia,INDUSTRIAS INTERCAPS DE VENEZUELA C.A.,E.F.28.126,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/9940.jpg,true,7.45,12.42
37589,ME38626,BISOPROLOL FUMARATO 5 MG X 30 TABLETAS RECUBIERTAS,,TABLETAS,Linea Farmacia,CALOX INTERNATIONAL C.A.,E.F.G.38.626,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/97001.jpg,true,1.79,2.98
37595,ME43390,BISOPROLOL FUMARATO 1.25 MG X 15 TABLETAS RECUBIERTAS,,TABLETAS,Linea Farmacia,SYNOKEM PHARMACEUTICALS LIMITED,E.F.G.43.390,,true,2.13,3.55
