producto_id,nombre,sku,declarado_por_fuente,ref_nombre,ref_id,atc_id,match
39264,ISOSPRAY PLUS 0.15 % - 0.25 % SOLUCION,ME39925,CLORURO DE CETILPIRIDINIO,Cetilpiridinio Cloruro,3926,1169,alias
39273,KLINCOSAL 262 MG - 100 MG X 30 TABLETAS MASTICABLES SABOR A UVA,ME40973,CARBONATO DE CALCIO,Calcio Carbonato,572,80,alias
39274,KLINCOSAL 262 MG - 500 MG / 15 ML SUSPENSION ORAL SABOR A FRESA,ME42263,CARBONATO DE CALCIO,Calcio Carbonato,572,80,alias
39275,KLINCOSAL 262 MG - 500 MG / 15 ML SUSPENSION ORAL SABOR A UVA,ME42264,CARBONATO DE CALCIO,Calcio Carbonato,572,80,alias
39331,ORALZINC SALES DE REHIDRATACION POLVO PARA SOLUCION ORAL SABOR A MANDARINA,ME41671,CITRATO DE SODIO DIHIDRATO,Citrato Sodio,791,,equivalente
39331,ORALZINC SALES DE REHIDRATACION POLVO PARA SOLUCION ORAL SABOR A MANDARINA,ME41671,CLORURO DE POTASIO,Cloruro De Potasio,874,775,exacto
39331,ORALZINC SALES DE REHIDRATACION POLVO PARA SOLUCION ORAL SABOR A MANDARINA,ME41671,CLORURO DE SODIO,Sodio Cloruro,3995,7330,alias
39343,PROTOSULFIL 1 % POLVO,MI25491,SULFADIAZINA DE PLATA,Sulfadiazina Argentica,3246,2349,alias
39350,REFLUXYL 0.400 G - 0.375 G / 15 ML SUSPENSION ORAL,ME34879,BICARBONATO DE SODIO,Sodio Bicarbonato,3193,110,equivalente
39352,REHIDROSOL 45 MEQ / L SOLUCION ELECTROLITICA USO ORAL SABOR A FRAMBUESA,ME42185,CITRATO DE POTASIO MONOHIDRATO,Citrato Potasio,789,,equivalente
39352,REHIDROSOL 45 MEQ / L SOLUCION ELECTROLITICA USO ORAL SABOR A FRAMBUESA,ME42185,CITRATO DE SODIO DIHIDRATO,Citrato Sodio,791,,equivalente
39352,REHIDROSOL 45 MEQ / L SOLUCION ELECTROLITICA USO ORAL SABOR A FRAMBUESA,ME42185,CLORURO DE SODIO,Sodio Cloruro,3995,7330,alias
39353,REHIDROSOL 45 MEQ / L SOLUCION ELECTROLITICA USO ORAL SABOR A UVA,ME42037,CITRATO DE SODIO DIHIDRATO,Citrato Sodio,791,,equivalente
39353,REHIDROSOL 45 MEQ / L SOLUCION ELECTROLITICA USO ORAL SABOR A UVA,ME42037,CLORURO DE SODIO,Sodio Cloruro,3995,7330,alias
39354,REHIDROSOL 60 MEQ / L SOLUCION ELECTROLITICA USO ORAL SABOR A MANZANA,ME42186,CLORURO DE POTASIO,Cloruro De Potasio,874,775,exacto
39354,REHIDROSOL 60 MEQ / L SOLUCION ELECTROLITICA USO ORAL SABOR A MANZANA,ME42186,CITRATO DE SODIO DIHIDRATO,Citrato Sodio,791,,equivalente
39354,REHIDROSOL 60 MEQ / L SOLUCION ELECTROLITICA USO ORAL SABOR A MANZANA,ME42186,CLORURO DE SODIO,Sodio Cloruro,3995,7330,alias
39369,SUEROLITO ZINC 75 MEQ / L SOLUCION ELECTROLITICA USO ORAL SABOR A CHICLE,ME44642,CITRATO DE SODIO DIHIDRATO,Citrato Sodio,791,,equivalente
39369,SUEROLITO ZINC 75 MEQ / L SOLUCION ELECTROLITICA USO ORAL SABOR A CHICLE,ME44642,CLORURO DE POTASIO,Cloruro De Potasio,874,775,exacto
39369,SUEROLITO ZINC 75 MEQ / L SOLUCION ELECTROLITICA USO ORAL SABOR A CHICLE,ME44642,CLORURO DE SODIO,Sodio Cloruro,3995,7330,alias
39370,SUEROLITO ZINC 75 MEQL / L SOLUCION ELECTROLITICA USO ORAL SABOR A COCO,ME44638,CITRATO DE SODIO DIHIDRATO,Citrato Sodio,791,,equivalente
39370,SUEROLITO ZINC 75 MEQL / L SOLUCION ELECTROLITICA USO ORAL SABOR A COCO,ME44638,CLORURO DE POTASIO,Cloruro De Potasio,874,775,exacto
39370,SUEROLITO ZINC 75 MEQL / L SOLUCION ELECTROLITICA USO ORAL SABOR A COCO,ME44638,CLORURO DE SODIO,Sodio Cloruro,3995,7330,alias
39371,SUEROLITO ZINC 75 MEQ / L SOLUCION ELECTROLITICA USO ORAL SABOR A FRESA,ME44639,CLORURO DE POTASIO,Cloruro De Potasio,874,775,exacto
39371,SUEROLITO ZINC 75 MEQ / L SOLUCION ELECTROLITICA USO ORAL SABOR A FRESA,ME44639,CITRATO DE SODIO DIHIDRATO,Citrato Sodio,791,,equivalente
39371,SUEROLITO ZINC 75 MEQ / L SOLUCION ELECTROLITICA USO ORAL SABOR A FRESA,ME44639,CLORURO DE SODIO,Sodio Cloruro,3995,7330,alias
39372,SUEROLITO ZINC 75 MEQ / L SOLUCION ELECTROLITICA USO ORAL SABOR A MANDARINA,ME44641,CLORURO DE POTASIO,Cloruro De Potasio,874,775,exacto
39372,SUEROLITO ZINC 75 MEQ / L SOLUCION ELECTROLITICA USO ORAL SABOR A MANDARINA,ME44641,CLORURO DE SODIO,Sodio Cloruro,3995,7330,alias
39373,SUEROLITO ZINC 75 MEQ / L SOLUCION ELECTROLITICA USO ORAL SABOR A UVA,ME44640,CLORURO DE POTASIO,Cloruro De Potasio,874,775,exacto
39373,SUEROLITO ZINC 75 MEQ / L SOLUCION ELECTROLITICA USO ORAL SABOR A UVA,ME44640,CLORURO DE SODIO,Sodio Cloruro,3995,7330,alias
39373,SUEROLITO ZINC 75 MEQ / L SOLUCION ELECTROLITICA USO ORAL SABOR A UVA,ME44640,CITRATO DE SODIO DIHIDRATO,Citrato Sodio,791,,equivalente
39374,SUEROLITO ZINC 75 MEQ / L SOLUCION ELECTROLITICA USO ORAL SABOR A MANZANA,ME44643,CLORURO DE SODIO,Sodio Cloruro,3995,7330,alias
39374,SUEROLITO ZINC 75 MEQ / L SOLUCION ELECTROLITICA USO ORAL SABOR A MANZANA,ME44643,CITRATO DE SODIO DIHIDRATO,Citrato Sodio,791,,equivalente
39374,SUEROLITO ZINC 75 MEQ / L SOLUCION ELECTROLITICA USO ORAL SABOR A MANZANA,ME44643,CLORURO DE POTASIO,Cloruro De Potasio,874,775,exacto
39461,SOLUCION PARA DIALISIS PERITONEAL CON DEXTROSA AL 1.5 % BAJA EN MAGNESIO,ME34036,CLORURO DE SODIO,Sodio Cloruro,3995,7330,alias
39461,SOLUCION PARA DIALISIS PERITONEAL CON DEXTROSA AL 1.5 % BAJA EN MAGNESIO,ME34036,CLORURO DE MAGNESIO,Magnesio Cloruro,2161,,equivalente
39496,CARBONATO DE CALCIO 750 MG X 20 TABLETAS MASTICABLES SABOR MENTA,ME42542,CARBONATO DE CALCIO,Calcio Carbonato,572,80,alias
39520,PEDIALYTE ZINC 60 MEQ SOLUCION ELECTROLITICA DE USO ORAL SABOR A UVA X 60 SOLUCION ORAL,ME42581,CITRATO DE SODIO DIHIDRATO,Citrato Sodio,791,,equivalente
39520,PEDIALYTE ZINC 60 MEQ SOLUCION ELECTROLITICA DE USO ORAL SABOR A UVA X 60 SOLUCION ORAL,ME42581,CLORURO DE SODIO,Sodio Cloruro,3995,7330,alias
39520,PEDIALYTE ZINC 60 MEQ SOLUCION ELECTROLITICA DE USO ORAL SABOR A UVA X 60 SOLUCION ORAL,ME42581,CLORURO DE POTASIO,Cloruro De Potasio,874,775,exacto
39550,NEMAX 16 % - 6 % SOLUCION RECTAL,ME43190,FOSFATO DE SODIO DIBASICO,Fosfato Disodio,1531,,alias
39575,CLORURO DE SODIO 0.9 % - GLUCOSA 5 % X 10 AMPOLLAS,HO42230,CLORURO DE SODIO,Sodio Cloruro,3995,7330,alias
39577,SILVEDERMA 1 % CREMA,ME30785,SULFADIAZINA DE PLATA,Sulfadiazina Argentica,3246,2349,alias
39603,REHIDROSOL ZINC 60 MEQ / L SOLUCION ELECTROLITICA USO ORAL SABOR A MANZANA X 30 SOLUCION ORAL,ME42702,CLORURO DE SODIO,Sodio Cloruro,3995,7330,alias
39603,REHIDROSOL ZINC 60 MEQ / L SOLUCION ELECTROLITICA USO ORAL SABOR A MANZANA X 30 SOLUCION ORAL,ME42702,CLORURO DE POTASIO,Cloruro De Potasio,874,775,exacto
39603,REHIDROSOL ZINC 60 MEQ / L SOLUCION ELECTROLITICA USO ORAL SABOR A MANZANA X 30 SOLUCION ORAL,ME42702,CITRATO DE SODIO DIHIDRATO,Citrato Sodio,791,,equivalente
39618,ACIDO IBANDRONICO 150 MG X 1 TABLETA RECUBIERTA,,Acido Ibandronico Sodio Monohidrato,Acido Ibandronico Sodio Monohidrato,61,4828,exacto
39638,ALENDRONATO SODICO 70 MG X 4 COMPRIMIDOS,,Alendronico Acido,Alendronico Acido,126,4826,exacto
39664,BROMEXINA CLORHIDRATO 4 MG / 5 ML JARABE,,Bromexina,Bromhexina,530,6110,alias
39690,CLORURO SODICO 0.9 % INYECTABLE,,Cloruro Sodico,Sodio Cloruro,3995,7330,alias
39713,DOXICICLINA 100 MG X 10 CAPSULAS,,Doxiciclina Hiclato,Doxiciclina Hiclato,1157,49,exacto
39744,KETOROLACO TROMETAMOL 30 MG / ML X 10 AMPOLLAS,,Ketorolaco,Ketorolaco,1956,4590,exacto
39901,HIOSCINA N-BUTILBROMURO 10 MG X 10 TABLETAS RECUBIERTAS,,Butilbrom Hioscina,Butilescopolamina Bromuro,553,237,alias
