id,sku,nombre_comercial,foto_url,activo
37354,ME4630/3,ACIDO FOLICO 10 mg X 20 COMPRIMIDOS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/24.jpg,true
37355,ME4630/4,ACIDO FOLICO 10 mg X 30 COMPRIMIDOS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/90738.jpg,true
37356,ME4630/2,ACIDO FOLICO 10 mg X 10 COMPRIMIDOS,https://pccentro.net.ve/img/s/9/6/0/9/0/96090-large_default.webp,true
37357,ME38298,ACIDO FOLICO 10 mg X 30 COMPRIMIDOS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/98454.jpg,true
37358,ME4631,ACIDO FOLICO 10 mg / mL SOLUCION ORAL,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/25.jpg,true
37359,ME33559,ACIDO FOLICO 10 mg X 30 TABLETAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/29544.jpg,true
37360,ME36039,ACIDO FOLICO 5 mg X 30 TABLETAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/23782.jpg,true
37362,ME43542,ACIDO MEFENAMICO 500 mg X 10 TABLETAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/28706.jpg,true
37363,ME23174/2,VALPRON 500 mg X 10 TABLETAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/51480.jpg,true
37364,ME23174/3,VALPRON 500 mg X 30 TABLETAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/5235.jpg,true
37365,ME23174/4,VALPRON 500 mg X 60 TABLETAS,https://pccentro.net.ve/img/s/7/1/6/1/7/71617-large_default.webp,true
37367,ME44457,"ACTUMIR DUO 12,5mg-850mg X 30 TABLETAS RECUBIERTAS",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/53556.jpg,true
37368,ME43334,"ADAPALENO - CLINDAMICINA 0,1 % - 1 % GEL",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/53398.jpg,true
37369,HO34745,ADRENALINA 1 mg / mL X 5 AMPOLLAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/52500.jpg,true
37370,ME36828/2,AFLAMAX 50 mg X 10 TABLETAS RECUBIERTAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/19583.jpg,true
37371,ME36828/3,AFLAMAX 50 mg X 20 TABLETAS RECUBIERTAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/92341.jpg,true
37372,ME27634,AFOKLIN 5 mg X 20 COMPRIMIDOS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/778.jpg,true
37373,ME27414,AFOKLIN 10 mg / mL SOLUCION ORAL,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/779.jpg,true
37374,HO32804,AGUA BIDESTILADA INYECTABLE,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/8346.jpg,true
37375,HO1694,AGUA DESTILADA ESTERIL SOLUCION INYECTABLE,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/51147.jpg,true
37376,ME43879,"AIRCOF PLUS 5 mg - 2,5 mg X 30 TABLETAS MASTICABLES",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/53225.jpg,true
37377,ME43889,AIRCOF 10 mg X 30 TABLETAS MASTICABLES,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/53060.jpg,true
37378,ME20628,"AIRFEN 0,05 % SOLUCION NASAL",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/4339.jpg,true
37379,ME33783/3,AIRON 10 mg X 30 TABLETAS RECUBIERTAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/5930.jpg,true
37380,ME33783/2,AIRON 10 mg X 10 TABLETAS RECUBIERTAS,https://pccentro.net.ve/img/s/7/5/8/6/9/75869-large_default.webp,true
37381,ME43288,ALBENDAZOL 400 mg X 10 TABLETAS MASTICABLES,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/52550.jpg,true
37383,ME40605/2,ALBENDAZOL 200 mg X 2 COMPRIMIDOS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/9575.jpg,true
37384,ME40605/3,ALBENDAZOL 200 mg X 6 COMPRIMIDOS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/1526.jpg,true
37385,ME34122/2,ALBENDAZOL 200 mg X 2 TABLETAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/17968.jpg,true
37386,ME34122/3,ALBENDAZOL 200 mg X 6 TABLETAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/20302.jpg,true
37387,ME35827,ALBENDAZOL 200 mg X 6 TABLETAS MASTICABLES,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/94917.jpg,true
37389,ME27447/2,ALBICAR 200 mg X 2 TABLETAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/9807.jpg,true
37390,ME27447/3,ALBICAR 200 mg X 6 TABLETAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/9782.jpg,true
37391,ME32131,ALENDRONATO SODICO 70 mg X 4 COMPRIMIDOS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/50383.jpg,true
37392,ME43312,ALENTIK 70 mg X 4 TABLETAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/50731.jpg,true
37393,ME33876,"ALERGOT 0,05 % SOLUCION OFTALMICA",https://pccentro.net.ve/img/s/7/5/5/3/8/75538-large_default.webp,true
37394,ME35409,"ALFADYN 0,2 % SOLUCION OFTALMICA",https://pccentro.net.ve/img/s/7/5/4/9/5/75495-large_default.webp,true
37395,ME42912,ALGIOL 5 mg X 30 COMPRIMIDOS RECUBIERTOS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/23948.jpg,true
37396,ME16713,ALGOREN 10 mg X 20 TABLETAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/104.jpg,true
37397,ME34716,ALIPAL FORTE DIA 650 mg - 32 mg - 4 mg X 12 CAPSULAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/53530.jpg,true
37398,ME34933,AMITAFEN FORTE 650 mg X 10 TABLETAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/94308.jpg,true
37400,ME44004,ALOPURINOL 100 mg X 30 TABLETAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/21363.jpg,true
37401,ME33170,"ALPRAM 0,5 mg X 30 TABLETAS",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/5177.jpg,true
37402,ME33214,ALPRAM 1 mg X 30 TABLETAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/5184.jpg,true
37403,ME33171,ALPRAM 2 mg X 30 TABLETAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/5185.jpg,true
37404,ME28860,"ALPRAZOLAM 0,5 mg X 30 TABLETAS",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/10378.jpg,true
37405,ME28861,ALPRAZOLAM 1 mg X 30 TABLETAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/10377.jpg,true
37406,ME39231,ALPRAZOLAM 2 mg X 30 TABLETAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/97351.jpg,true
37407,ME33085/2,ALSART 160 mg X 10 CAPSULAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/20787.jpg,true
37408,ME33085/3,ALSART 160 mg X 30 CAPSULAS,https://pccentro.net.ve/img/s/5/4/4/8/8/54488-large_default.webp,true
37409,ME33084/2,ALSART 80 mg X 10 CAPSULAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/20332.jpg,true
37410,ME33084/3,ALSART 80 mg X 30 CAPSULAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/20333.jpg,true
37411,ME41242,ALURON 300 mg X 20 COMPRIMIDOS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/13540.jpg,true
37412,ME16002,ALURON 100 mg X 30 TABLETAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/119.jpg,true
37413,ME44324,AMANIRIS 81 mg X 30 COMPRIMIDOS CON CUBIERTA ENTERICA,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/29745.jpg,true
37414,ME28493,AMBROXOL CLORHIDRATO 30 mg / 5 mL JARABE,https://pccentro.net.ve/img/s/7/4/8/1/5/74815-large_default.webp,true
37417,ME37587,AMBROXOL CLORHIDRATO - LORATADINA 30 mg - 5 mg / 5 mL JARABE,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/26230.jpg,true
37418,HO23247,AMIKACINA 500 mg / 2 mL X 1 AMPOLLAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/10090.jpg,true
37419,HO24946,AMIKACINA 500 mg/2mL X 1 AMPOLLAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/27450.jpg,true
37420,HO26424,AMIKACINA 100 mg / 2 mL X 10 AMPOLLAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/53493.jpg,true
37421,ME31452,AMIODARONA CLORHIDRATO 200 mg X 10 COMPRIMIDOS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/3505.jpg,true
37422,ME32403,AMIODARONA CLORHIDRATO 200 mg X 10 TABLETAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/4602.jpg,true
37423,ME30206/3,AMLODIPINA 10 mg X 30 COMPRIMIDOS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/97973.jpg,true
37424,ME30206/4,AMLODIPINA 10 mg X 60 COMPRIMIDOS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/20112.jpg,true
37425,ME30206/2,AMLODIPINA 10 mg X 10 COMPRIMIDOS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/2419.jpg,true
37426,ME38145,AMLODIPINA 5 mg X 30 COMPRIMIDOS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/9206.jpg,true
37427,ME32016/2,AMLODIPINA 10 mg X 10 TABLETAS,https://pccentro.net.ve/img/s/1/8/1/9/3/18193-large_default.webp,true
37428,ME32016/3,AMLODIPINA 10 mg X 30 TABLETAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/12054.jpg,true
37429,ME39126/2,AMLODIPINA 10 mg X 20 TABLETAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/92638.jpg,true
37430,ME39126/3,AMLODIPINA 10 mg X 30 TABLETAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/53795.jpg,true
37431,ME28705/2,AMLODIPINA 5 mg X 10 TABLETAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/2417.jpg,true
37432,ME28705/3,AMLODIPINA 5 mg X 30 TABLETAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/10982.jpg,true
37433,ME31230,AMLODIPINA 5 mg X 30 TABLETAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/12027.jpg,true
37434,ME40038,AMLODIPINA - VALSARTAN 5 mg - 160 mg X 30 COMPRIMIDOS RECUBIERTOS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/27732.jpg,true
37438,ME43040,AMOXICILINA 500 mg X 10 CAPSULAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/53253.jpg,true
37439,ME44669,AMOXICILINA - ACIDO CLAVULANICO 500 mg - 125 mg X 10 TABLETAS RECUBIERTAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/53232.jpg,true
37440,ME20340/3,AMOXICILINA 500 mg X 10 CAPSULAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/52727.jpg,true
37441,ME20340/4,AMOXICILINA 500 mg X 12 CAPSULAS,https://pccentro.net.ve/img/s/8/0/3/7/3/80373-large_default.webp,true
37442,ME20340/2,AMOXICILINA 500 mg X 6 CAPSULAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/5265.jpg,true
37443,ME26817,AMOXICILINA 500 mg X 12 CAPSULAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/25978.jpg,true
