producto_id,sku,nombre_comercial,nucleo,molecula,forma,laboratorio,categoria,fuente,gates,url_en_ledger,desc_candidata,foto_candidata
37576,ME42551,BILOL 2.5 MG X 10 TABLETAS RECUBIERTAS,BILOL,,TABLETAS,SWISS PARENTERALS LTD,no_match_fuentes,,,,,
37586,ME44259/2,BIPROLIL HCT 5 MG - 6.25 MG X 15 COMPRIMIDOS RECUBIERTOS,BIPROLIL HCT,Bisoprolol - Hidroclorotiazida,COMPRIMIDOS,LABORATORIOS VARGAS S.A.,no_match_fuentes,,,,,
37587,ME43626,BISACODILO 5 MG X 10 TABLETAS GASTRORRESISTENTES,BISACODILO,Bisacodilo,TABLETAS,SG HEALTHCARE PVT. LTD.,no_match_fuentes,,,,,
37595,ME43390,BISOPROLOL FUMARATO 1.25 MG X 15 TABLETAS RECUBIERTAS,BISOPROLOL FUMARATO,,TABLETAS,SYNOKEM PHARMACEUTICALS LIMITED,no_match_fuentes,,,,,
37624,ME29895,BRUGESIC PLUS 600 MG X 10 POLVO PARA SOLUCION ORAL,BRUGESIC PLUS,Ibuprofeno,POLVO PARA RECONSTITUCION,LABORATORIOS ELMOR S.A.,no_match_fuentes,,,,,
37632,HO43908,BUPIVACAINA 50 MG / 10 ML SOLUCION INYECTABLE,BUPIVACAINA,Bupivacaina,INYECTABLE,MEDVAL C.A.,no_match_fuentes,,,,,
37634,ME43035/2,BUTAL 8 MG X 10 TABLETAS RECUBIERTAS,BUTAL,Betahistina,TABLETAS,LABORATORIOS SIEGFRIED S.A.,no_match_fuentes,,,,,
37637,ME30197,CALCIBON 200 MG X 30 TABLETAS RECUBIERTOS,CALCIBON,,TABLETAS,LABORATORIOS FARMA S.A.,no_match_fuentes,,,,,
37648,ME25320,CAMPAL 50 MG X 20 TABLETAS ENTERICAS,CAMPAL,,TABLETAS,LABORATORIOS SIEGFRIED S.A.,no_match_fuentes,,,,,
37650,ME40363/2,CANDER HCT 16 MG - 12.5 MG X 10 TABLETAS,CANDER HCT,,TABLETAS,LABORATORIOS VALMOR C.A.,no_match_fuentes,,,,,
37655,ME43341,CANDESARTAN CILETEXILO – HIDROCLOROTIAZIDA 8 MG – 12.5 MG TABLETAS RECUBIERTAS,CANDESARTAN CILETEXILO – HIDROCLOROTIAZIDA,,TABLETAS,MASCOT HEALTH SERIES PVT. LTD.,no_match_fuentes,,,,,
37665,ME40335,CANFIR 500 MG X 30 COMPRIMIDOS RECUBIERTOS DE LIBERACION PROLONGADA,CANFIR,,COMPRIMIDOS,LABORATORIOS LETI S.A.V.,no_match_fuentes,,,,,
37670,ME25978/2,CAPTOPRIL 25 MG X 20 COMPRIMIDOS,CAPTOPRIL,Captopril,COMPRIMIDOS,LABORATORIOS LETI S.A.V.,no_match_fuentes,,,,,
37671,ME25738/2,CAPTOPRIL 25 MG X 20 TABLETAS,CAPTOPRIL,Captopril,TABLETAS,CALOX INTERNATIONAL C.A.,no_match_fuentes,,,,,
37676,ME24815/2,CARBAMAZEPINA 200 MG X 10 COMPRIMIDOS,CARBAMAZEPINA,Carbamazepina,COMPRIMIDOS,LABORATORIOS VALMOR C.A.,no_match_fuentes,,,,,
37677,ME24815/3,CARBAMAZEPINA 200 MG X 20 COMPRIMIDOS,CARBAMAZEPINA,Carbamazepina,COMPRIMIDOS,LABORATORIOS VALMOR C.A.,no_match_fuentes,,,,,
37678,ME28957,CARBAMAZEPINA 200 MG X 30 TABLETAS,CARBAMAZEPINA,Carbamazepina,TABLETAS,ESPROMED BIO C.A.,no_match_fuentes,,,,,
37679,ME43783,CARBAMAZEPINA 200 MG X 30 TABLETAS,CARBAMAZEPINA,Carbamazepina,TABLETAS,JIANGXI SYNERGY PHARMACEUTICAL CO. LTD,no_match_fuentes,,,,,
37680,ME43998,CARBAMAZEPINA 400 MG X 30 TABLETAS,CARBAMAZEPINA,Carbamazepina,TABLETAS,BRAWN LABORATORIES LIMITED,no_match_fuentes,,,,,
37682,ME33422/2,CARBATIL 12.5 MG X 10 TABLETAS,CARBATIL,Carvedilol,TABLETAS,BIOTECH LABORATORIOS C.A.,no_match_fuentes,,,,,
37692,ME38916/3,CARVEDILOL 6.5 MG X 15 TABLETAS,CARVEDILOL,Carvedilol,TABLETAS,OKASA PHARMA PVT LTDA.,no_match_fuentes,,,,,
37693,ME38916/6,CARVEDILOL 6.5 MG X 30 TABLETAS,CARVEDILOL,Carvedilol,TABLETAS,OKASA PHARMA PVT LTDA.,no_match_fuentes,,,,,
37694,ME38916/4,CARVEDILOL 6.5 MG X 20 TABLETAS,CARVEDILOL,Carvedilol,TABLETAS,OKASA PHARMA PVT LTDA.,no_match_fuentes,,,,,
37695,ME38916/2,CARVEDILOL 6.5 MG X 14 TABLETAS,CARVEDILOL,Carvedilol,TABLETAS,OKASA PHARMA PVT LTDA.,no_match_fuentes,,,,,
37696,ME38916/5,CARVEDILOL 6.5 MG X 28 TABLETAS,CARVEDILOL,Carvedilol,TABLETAS,OKASA PHARMA PVT LTDA.,no_match_fuentes,,,,,
37698,ME31748/2,CARVEDILOL 25 MG X 15 COMPRIMIDOS,CARVEDILOL,Carvedilol,COMPRIMIDOS,LABORATORIOS LETI S.A.V.,no_match_fuentes,,,,,
37705,ME27532,CEFADROXILO 500 MG X 10 CAPSULAS,CEFADROXILO,Cefadroxilo,CAPSULAS,SYNTOFARMA S.A.,no_match_fuentes,,,,,
37707,ME31345,CEFADROXILO 250 MG / 5 ML POLVO PARA SUSPENSION ORAL,CEFADROXILO,Cefadroxilo,POLVO PARA RECONSTITUCION,SYNTOFARMA S.A.,no_match_fuentes,,,,,
37708,ME42857,CEFADROXILO 500 MG X 10 TABLETAS,CEFADROXILO,Cefadroxilo,TABLETAS,MARS REMEDIES PVT. LTD.,no_match_fuentes,,,,,
37709,ME40269,CEFALEXINA 125 MG / 5 ML POLVO PARA SUSPENSION ORAL,CEFALEXINA,Cefalexina,POLVO PARA RECONSTITUCION,"EMPRESA FARMACEUTICA ""8 DE MARZO""",no_match_fuentes,,,,,
37711,HO44435,CEFAZOLINA 1 G X 10 AMPOLLAS,CEFAZOLINA,Cefazolina,INYECTABLE,FARMALOGICA S.A.,no_match_fuentes,,,,,
37713,ME40063,CEFIXIMA 100 MG / 5 ML POLVO PARA SUSPENSION ORAL,CEFIXIMA,Cefixima,POLVO PARA RECONSTITUCION,LABORATORIOS LETI S.A.V.,no_match_fuentes,,,,,
