id,sku,nombre_comercial,descripcion,marca_id,precio_usd,foto_url,activo,created_at,updated_at,molecula,linea,forma,disponible,requiere_cotizacion,visible_catalogo,es_cotizacion,pais_id,fuente_inhrr_ef,laboratorio,costo_usd,presentacion,unidades_por_presentacion
38316,ME30537,ARAVA 20 mg X 30 TABLETAS RECUBIERTAS,LEFLUNOMIDA,,31.07,,true,Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Leflunomida,Linea Farmacia,TABLETAS,true,false,true,false,,E.F.30.537,OPELLA HEALTHCARE INTERNATIONAL SAS,18.64,X 30 TABLETAS RECUBIERTAS,30
38317,ME38587,LENTOCILIN 6.3.3 X 1 AMPOLLAS,,,16.23,,true,Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),,Linea Farmacia,INYECTABLE,true,false,true,false,,E.F.38.587,LABORATORIOS ATRAL S.A.,9.74,X 1 AMPOLLAS,1
38318,ME37188,LEPRIT 25 mg X 30 TABLETAS,,,14.45,,true,Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),,Linea Farmacia,TABLETAS,true,false,true,false,,E.F.37.188,"LABORATORIO LA SANTE, C.A.",8.67,X 30 TABLETAS,30
38319,ME17826,LEPTAZINE 10 mg X 24 COMPRIMIDOS,TRIFLUOPERAZINA CLORHIDRATO,,13.63,,true,Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),,Linea Farmacia,COMPRIMIDOS,true,false,true,false,,E.F.17.826,MEGALABS S.A.,8.18,X 24 COMPRIMIDOS,24
38320,ME16386,LEPTAZINE 5 mg X 30 COMPRIMIDOS,TRIFLUOPERAZINA,,10.17,,true,Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),,Linea Farmacia,COMPRIMIDOS,true,false,true,false,,E.F.16.386,MEGALABS S.A.,6.1,X 30 COMPRIMIDOS,30
38321,ME44041/2,LERCANIDIPINO 20 mg X 10 COMPRIMIDOS RECUBIERTOS,CLORHIDRATO DE LERCANIDIPINO,,11.83,,true,Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Lercanidipino,Linea Farmacia,COMPRIMIDOS,true,false,true,false,,E.F.G.44.041,"LABORATORIOS VARGAS, S.A.",7.1,X 10 COMPRIMIDOS RECUBIERTOS,10
38322,ME44041/3,LERCANIDIPINO 20 mg X 30 COMPRIMIDOS RECUBIERTOS,CLORHIDRATO DE LERCANIDIPINO,,50.65,,true,Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Lercanidipino,Linea Farmacia,COMPRIMIDOS,true,false,true,false,,E.F.G.44.041,"LABORATORIOS VARGAS, S.A.",30.39,X 30 COMPRIMIDOS RECUBIERTOS,30
38323,ME43991,LERCANIDIPINO CLOHIDRATO 10 mg X 30 TABLETAS RECUBIERTAS,CLORHIDRATO DE LERCANIDIPINO,,20.72,,true,Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Lercanidipino,Linea Farmacia,TABLETAS,true,false,true,false,,E.F.G.43.991,ANG LIFESCIENCES INDIA LTD,12.43,X 30 TABLETAS RECUBIERTAS,30
38324,ME44311,LERCANIDIPNO 20 mg X 30 TABLETAS RECUBIERTAS,CLORHIDRATO DE LERCANIDIPINO,,28.87,,true,Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Lercanidipino,Linea Farmacia,TABLETAS,true,false,true,false,,E.F.G.44.311,AXA PARENTERALS LTD,17.32,X 30 TABLETAS RECUBIERTAS,30
38325,ME37396,LESTECOL 20 mg X 30 TABLETAS RECUBIERTAS,ATORVASTATINA,,7.80,,true,Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Wed Sep 09 2026 16:24:34 GMT-0400 (hora de Venezuela),Atorvastatina,Linea Farmacia,TABLETAS,true,false,true,false,,E.F.37.396,"BIOTECH LABORATORIOS, C.A.",4.68,X 30 TABLETAS RECUBIERTAS,30
