producto_id,sku,nombre_comercial,foto_url,fuente,fecha
37482,ME42366/3,APLACAL 750 MG X 80 TABLETAS MASTICABLES SABOR A BANANA,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/52504.jpg,cobeca,
37483,ME42366/2,APLACAL 750 MG X 10 TABLETAS MASTICABLES SABOR A BANANA,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/21600.jpg,cobeca,
39064,ME42368/2,APLACAL 750 MG TABLETAS MASTICABLES SABOR A FRAMBUESA X 10 TABLETAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/21600.jpg,cobeca,
39065,ME42368/3,APLACAL 750 MG TABLETAS MASTICABLES SABOR A FRAMBUESA X 80 TABLETAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/52504.jpg,cobeca,
39066,ME42365/2,APLACAL 750 MG X 10 TABLETAS MASTICABLES SABOR A MENTA,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/21600.jpg,cobeca,
39067,ME42365/4,APLACAL 750 MG X 120 TABLETAS MASTICABLES SABOR A MENTA,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/21595.jpg,cobeca,
39068,ME42365/3,APLACAL 750 MG X 80 TABLETAS MASTICABLES SABOR A MENTA,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/52504.jpg,cobeca,
39069,ME42367,APLACAL 750 MG X 80 TABLETAS MASTICABLES SABOR A MANDARINA,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/52504.jpg,cobeca,
37484,ME43975,APLEXIL 550 MG X 10 TABLETAS RECUBIERTAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/53335.jpg,cobeca,
37488,ME41482,ARCOVAL 60 MG X 10 TABLETAS RECUBIERTAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/52031.jpg,cobeca,
37489,ME41483,ARCOVAL 90 MG X 10 TABLETAS RECUBIERTAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/52032.jpg,cobeca,
37490,ME40810/3,ARESAN 20 MG X 30 TABLETAS RECUBIERTAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/22093.jpg,cobeca,
37491,ME40810/2,ARESAN 20 MG X 10 TABLETAS RECUBIERTAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/51009.jpg,cobeca,
37492,ME23768,ARTENOLOL 100 MG X 30 TABLETAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/19753.jpg,cobeca,
37493,ME41487/2,ARUDIL 15 MG X 10 TABLETAS RECUBIERTAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/19965.jpg,cobeca,
37494,ME41487/3,ARUDIL 15 MG X 30 TABLETAS RECUBIERTAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/19966.jpg,cobeca,
37495,ME41488/2,ARUDIL 20 MG X 10 TABLETAS RECUBIERTAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/19058.jpg,cobeca,
37496,ME41488/3,ARUDIL 20 MG X 30 TABLETAS RECUBIERTAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/19059.jpg,cobeca,
37497,ME32453/3,ASAPROL 81 MG X 100 COMPRIMIDOS ENTERICOS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/9092.jpg,cobeca,
37498,ME32453/2,ASAPROL 81 MG X 40 COMPRIMIDOS ENTERICOS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/99232.jpg,cobeca,
37499,ME42249,ASARAP 10 MG X 30 COMPRIMIDOS RECUBIERTOS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/30076.jpg,cobeca,
37500,ME42248,ASARAP 15 MG X 30 COMPRIMIDOS RECUBIERTOS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/30307.jpg,cobeca,
37501,ME42294,ASARAP 20 MG X 30 COMPRIMIDOS RECUBIERTOS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/50067.jpg,cobeca,
37504,ME38676/2,ASPRINIL 81 MG X 40 TABLETAS CON RECUBRIMIENTO ENTERICO,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/53383.jpg,cobeca,
37505,ME38676/3,ASPRINIL 81 MG X 100 TABLETAS CON RECUBRIMIENTO ENTERICO,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/51425.jpg,cobeca,
37506,ME43710,ASTRIMOL 2.5 MG X 30 TABLETAS RECUBIERTAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/53167.jpg,cobeca,
39079,ME43853,ASTRIMOL 5 MG X 30 TABLETAS RECUBIERTAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/53175.jpg,cobeca,
37507,ME33008,ATAMEL FORTE 650 MG X 10 TABLETAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/3689.jpg,cobeca,
37509,ME19621/3,ATAMEL 500 MG X 20 TABLETAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/3692.jpg,cobeca,
