fila,accion,id,sku,nombre_comercial,foto_url,fuente
313,asignar,38769,ME37061,SECNIDAZOL 1 G X 2 TABLETAS RECUBIERTAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/8585.jpg,generico_lab
321,asignar,39382,ME42125,TADALAFILO 5 MG COMPRIMIDOS RECUBIERTOS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/50485.jpg,generico_lab
326,asignar,39392,ME38822,TERBINAFINA 1 % CREMA,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/96827.jpg,generico_lab
333,asignar,38894,ME28553/3,TRIMEBUTINA MALEATO 200 MG X 30 TABLETAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/26921.jpg,generico_lab
339,asignar,38925,ME35562/2,VALSARTAN - HIDROCLOROTIAZIDA 80 MG - 12.5 MG X 14 TABLETAS RECUBIERTAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/9838.jpg,generico_lab
342,asignar,38920,ME31623/2,VALSARTAN 80 MG X 14 CAPSULAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/22949.jpg,generico_lab
343,asignar,38921,ME31623/3,VALSARTAN 80 MG X 30 CAPSULAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/99797.jpg,generico_lab
345,asignar,38309,ME42656,VITAMINA C 500 MG X 16 TABLETAS MASTICABLES SABOR A TUTTI FRUTTI,https://pccentro.net.ve/img/s/4/3/6/0/1/43601-large_default.webp,generico_lab
352,asignar,37444,ME35002,AMOXICILINA 250 MG / 5 ML POLVO PARA SUSPENSION ORAL,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/51378.jpg,generico_lab
353,asignar,37520,ME35911,ATORVASTATINA 40 MG X 30 COMPRIMIDOS RECUBIERTOS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/98292.jpg,generico_lab
360,asignar,37663,ME37841,CANDESARTAN 8 MG X 30 TABLETAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/23944.jpg,generico_lab
361,asignar,37663,ME37841,CANDESARTAN 8 MG X 30 TABLETAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/23944.jpg,generico_lab
362,asignar,37728,ME27761,CETIRIZINA 10 MG X 10 COMPRIMIDOS RECUBIERTOS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/11497.jpg,generico_lab
374,asignar,38224,ME33973,IBUPROFENO 400 MG X 10 TABLETAS RECUBIERTAS ENTERICAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/92855.jpg,generico_lab
375,asignar,38224,ME33973,IBUPROFENO 400 MG X 10 TABLETAS RECUBIERTAS ENTERICAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/92855.jpg,generico_lab
376,asignar,38256,ME35908/3,IRBESARTAN 300 MG X 28 TABLETAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/28779.jpg,generico_lab
378,asignar,38383,ME27529/2,LORATADINA 10 MG X 10 TABLETAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/9653.jpg,generico_lab
382,asignar,37308,ME33539,ACETAMINOFEN 500 X 10 COMPRIMIDOS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/22931.jpg,generico_lab
385,asignar,38598,ME27785/5,OMEPRAZOL 20 MG X 28 CAPSULAS CON MICROGRANULOS ENTERICOS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/8254.jpg,generico_lab
395,asignar,37517,ME32690/2,ATORVASTATINA 20 MG X 10 COMPRIMIDOS RECUBIERTOS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/4070.jpg,generico_lab
397,asignar,38917,ME31624/2,VALSARTAN 160 MG X 7 CAPSULAS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/2620.jpg,generico_lab
406,asignar,39439,ME36242,CLOBETASOL PROPIONATO 0.05 % UNGUENTO,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/90441.jpg,generico_lab
413,asignar,39392,ME38822,TERBINAFINA 1 % CREMA,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/96827.jpg,generico_lab
420,asignar,39542,ME43601,MINOXIDIL FORTE 5 % SOLUCION TOPICA,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/28505.jpg,generico_lab
423,asignar,38601,ME28613/3,OMEPRAZOL 20 MG X 30 CAPSULAS CON MICROGRANULOS CON CUBIERTA ENTERICA,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/29950.jpg,generico_lab
