producto_id	nombre	sku	nota_del_dueno
38464	METFORMINA CLORHIDRATO 1000 MG X 30 TABLETAS RECUBIERTAS	ME42625	
38479	METRONIDAZOL BENZOIL 125 MG / 5 ML SUSPENSION ORAL	ME31064	
38495	MIOVIT X 10 COMPRIMIDOS RECUBIERTOS	ME22476/2	
38496	MIOVIT X 30 COMPRIMIDOS RECUBIERTOS	ME22476/3	
38524	MULTIVIRAL X 30 CAPSULAS	ME11776	
38528	N-BUTIL BROMURO DE HIOSCINA 20 MG / ML X 5 AMPOLLAS	HO36014	
38556	NIMODIPINA 30 MG X 30 COMPRIMIDOS	ME38246	
38560	NITAX 500 MG X 6 TABLETAS RECUBIERTAS	ME42837	
38561	NITAZOXANIDA 500 MG X 6 TABLETAS RECUBIERTAS	ME37921	
38580	NYTAXIN 500 MG X 6 CAPSULAS BLANDAS	ME37707	
38614	OMMUNAL (LISADO BACTERIANO) 7 MG X 10 CAPSULAS	ME1221	
38652	PEPTO-BISMOL 525 MG / 30 ML SUSPENSION ORAL	ME44126	
38663	PINAVERIUM BROMURO 100 MG X 20 TABLETAS RECUBIERTAS	ME37698/2	
38664	PINAVERIUM BROMURO 100 MG X 30 TABLETAS RECUBIERTAS	ME37698/3	
38667	PIPERAZINA 500 MG / 5 ML JARABE	ME40639	
38675	POLIAMIN 10 % (AMINOACIDOS CRISTALINOS) SOLUCION INYECTABLE INTRAVENOSA	HO29980	
38732	SOLUCION DE RINGER LACTATO (SOLUCION DE HARTMANN) INYECTABLE	HO1370B	
38809	SULFADIAZINA DE PLATA 1 % CREMA	ME28901	
38856	TERBINAFINA CLORHIDRATO 1 % CREMA TOPICA	ME36877	
39000	ZONTRICON 100 MG / 5 ML POLVO PARA SUSPENSION	ME36302	
39136	CLORHIDRATO DE MORFINA 10 MG / ML X 10 AMPOLLAS	HO33073	
39158	COMPLEJO DE VITAMINA B X 20 TABLETAS	ME1412	
39238	GLUCONATO DE CALCIO AL 10 % SOLUCION INYECTABLE	HO32556	
39313	NAFAZOLINA CLORHIDRATO 0.12 MG / ML SOLUCION OFTALMICA	ME42756	
39352	REHIDROSOL 45 MEQ / L SOLUCION ELECTROLITICA USO ORAL SABOR A FRAMBUESA	ME42185	
39354	REHIDROSOL 60 MEQ / L SOLUCION ELECTROLITICA USO ORAL SABOR A MANZANA	ME42186	
39356	SOLUCION RINGER LACTATO (SOLUCION HARTMAN) INYECTABLE	HO32579	
39421	ALILUB 1.4 % SOLUCION OFTALMICA	ME43324	
39449	HIOSCINA N-BUTILBROMURO 10 MG X 10 TABLETAS RECUBIERTAS	ME43037	
39551	FOSFATO DE SODIO MONOBASICO 16 % - FOSFATO DE SODIO DIBASICO 6 %	MI44357	
39563	PEPSADEL 262 MG X 12 TABLETAS MASTICABLES	ME44522	
39664	BROMEXINA CLORHIDRATO 4 MG / 5 ML JARABE		
39690	CLORURO SODICO 0.9 % INYECTABLE		
39694	COMPLEJO 2 ML X 3 INYECTABLE		
39697	PORTU 4 MG X 100 COMPRIMIDOS		
39705	DICLOFENAC POTASICO 50 MG X 20 TABLETAS		
39746	KETOROLACO TROMETAMINA 20 MG X 10 COMPRIMIDOS		
39770	MAGNESIO GLICINATO X 60 TABLETAS		
39771	MATERNAVIT X 30 CAPSULAS BLANDAS		
39811	OMMUNAL (LISADO BACTERIANO) 7 MG X 10 CAPSULAS		
39869	BITEX COMPLEJO VITAMINA B1 B2 B6 B12 NATURALIFES X 30 TABLETAS		
39880	DICLOFENAC DIETILAMINO 1.16 % GEL		
39901	HIOSCINA N-BUTILBROMURO 10 MG X 10 TABLETAS RECUBIERTAS		
