producto_id,nombre,sku,molecula_texto_actual,laboratorio,grupo,nota_del_dueno
38132,FOSFATO DE POTASIO MONOBASICO 1 MEQ / ML SOLUCION INYECTABLE I.V.,HO21515,,LABORATORIO BEHRENS C.A.,PENDIENTE_REAL,
38173,GLUCONATO FERROSO (50 MG / 15 ML DE HIERRO ELEMENTAL) SOLUCION ORAL,ME37958,,BIOQUIMICA INTERNACIONAL C.A.,PENDIENTE_REAL,
38183,GYNODERAIN 0.6 G X 6 OVULOS,ME25838,,FARMACEUTICI DAMOR S.P.A,PENDIENTE_REAL,
38198,BUTILBROMURO DE HIOSCINA 20 MG / ML SOLUCION INYECTABLE,HO35867,,GLAND PHARMA LIMITED,PENDIENTE_REAL,
38200,HIRUDOID (POLISULFATO DE MUCOPOLISACARIDO) 25.000 UI / 100 G GEL,ME1384,,CIFARMA S.A.C,PENDIENTE_REAL,
38298,KETOROLACO TROMETAMINA 30 MG / ML X 3 AMPOLLAS,HO42686,,CADILA PHARMACEUTICALS LIMITED,PENDIENTE_REAL,
38306,LACTBET 3000 U X 10 CAPSULAS,ME36925/2,,BIOTECH LABORATORIOS C.A.,PENDIENTE_REAL,
38307,LACTBET 3000 U X 20 CAPSULAS,ME36925/3,,BIOTECH LABORATORIOS C.A.,PENDIENTE_REAL,
38430,MATERNAVIT X 30 CAPSULAS BLANDAS,ME41135,,LAMBO LABORATORIA N.V,PENDIENTE_REAL,
38464,METFORMINA CLORHIDRATO 1000 MG X 30 TABLETAS RECUBIERTAS,ME42625,,FLAMINGO PHARMACEUTICALS LTD,PENDIENTE_REAL,
38479,METRONIDAZOL BENZOIL 125 MG / 5 ML SUSPENSION ORAL,ME31064,,LABORATORIOS KIMICEG C.A.,YA_CANDIDATA,
38495,MIOVIT X 10 COMPRIMIDOS RECUBIERTOS,ME22476/2,,LABORATORIO COFASA S.A.,PENDIENTE_REAL,
38496,MIOVIT X 30 COMPRIMIDOS RECUBIERTOS,ME22476/3,,LABORATORIO COFASA S.A.,PENDIENTE_REAL,
38524,MULTIVIRAL X 30 CAPSULAS,ME11776,,LABORATORIOS SIEGFRIED S.A.,PENDIENTE_REAL,
38528,N-BUTIL BROMURO DE HIOSCINA 20 MG / ML X 5 AMPOLLAS,HO36014,,VITALIS S.A.C.I.,PENDIENTE_REAL,
38556,NIMODIPINA 30 MG X 30 COMPRIMIDOS,ME38246,,LABORATORIOS LETI S.A.V.,YA_CANDIDATA,
38560,NITAX 500 MG X 6 TABLETAS RECUBIERTAS,ME42837,,LABORATORIO LA SANTE C.A.,YA_CANDIDATA,
38561,NITAZOXANIDA 500 MG X 6 TABLETAS RECUBIERTAS,ME37921,,LABORATORIO LA SANTE C.A.,YA_CANDIDATA,
38580,NYTAXIN 500 MG X 6 CAPSULAS BLANDAS,ME37707,,PROCAPS S.A.,YA_CANDIDATA,
38614,OMMUNAL (LISADO BACTERIANO) 7 MG X 10 CAPSULAS,ME1221,,OM PHARMA SA,PENDIENTE_REAL,
38652,PEPTO-BISMOL 525 MG / 30 ML SUSPENSION ORAL,ME44126,,LABORATORIOS FARMA S.A.,PENDIENTE_REAL,
38663,PINAVERIUM BROMURO 100 MG X 20 TABLETAS RECUBIERTAS,ME37698/2,,CALOX INTERNATIONAL C.A.,YA_CANDIDATA,
38664,PINAVERIUM BROMURO 100 MG X 30 TABLETAS RECUBIERTAS,ME37698/3,,CALOX INTERNATIONAL C.A.,YA_CANDIDATA,
38667,PIPERAZINA 500 MG / 5 ML JARABE,ME40639,,EMPRESA LABORATORIO FARMACEUTICO LIQUIDOS ORALES MEDILIPAMO MEDILIP,YA_CANDIDATA,
38675,POLIAMIN 10 % (AMINOACIDOS CRISTALINOS) SOLUCION INYECTABLE INTRAVENOSA,HO29980,,LABORATORIO BEHRENS C.A.,SIN_MOLECULA_POR_DECISION,
38732,SOLUCION DE RINGER LACTATO (SOLUCION DE HARTMANN) INYECTABLE,HO1370B,,LABORATORIO BEHRENS C.A.,SIN_MOLECULA_POR_DECISION,
38809,SULFADIAZINA DE PLATA 1 % CREMA,ME28901,,LABORATORIOS KIMICEG C.A.,YA_CANDIDATA,
38856,TERBINAFINA CLORHIDRATO 1 % CREMA TOPICA,ME36877,,MEYER PRODUCTOS TERAPEUTICOS S.A.,YA_CANDIDATA,
39000,ZONTRICON 100 MG / 5 ML POLVO PARA SUSPENSION,ME36302,,LABORATORIOS LETI S.A.V.,YA_CANDIDATA,
39136,CLORHIDRATO DE MORFINA 10 MG / ML X 10 AMPOLLAS,HO33073,,BIOTECH LABORATORIOS C.A.,YA_CANDIDATA,
39158,COMPLEJO DE VITAMINA B X 20 TABLETAS,ME1412,,LABORATORIOS SPEFAR VENEZOLANOS S.A.,SIN_MOLECULA_POR_DECISION,
39238,GLUCONATO DE CALCIO AL 10 % SOLUCION INYECTABLE,HO32556,,LABORATORIO BEHRENS C.A.,YA_CANDIDATA,
39313,NAFAZOLINA CLORHIDRATO 0.12 MG / ML SOLUCION OFTALMICA,ME42756,,LABORATORIOS LETI S.A.V.,PENDIENTE_REAL,
39352,REHIDROSOL 45 MEQ / L SOLUCION ELECTROLITICA USO ORAL SABOR A FRAMBUESA,ME42185,,LABORATORIO BEHRENS C.A.,SIN_MOLECULA_POR_DECISION,
39354,REHIDROSOL 60 MEQ / L SOLUCION ELECTROLITICA USO ORAL SABOR A MANZANA,ME42186,,LABORATORIO BEHRENS C.A.,SIN_MOLECULA_POR_DECISION,
39356,SOLUCION RINGER LACTATO (SOLUCION HARTMAN) INYECTABLE,HO32579,,LABORATORIO BEHRENS C.A.,SIN_MOLECULA_POR_DECISION,
39421,ALILUB 1.4 % SOLUCION OFTALMICA,ME43324,,ARBOFARMA S.A.S.,PENDIENTE_REAL,
39449,HIOSCINA N-BUTILBROMURO 10 MG X 10 TABLETAS RECUBIERTAS,ME43037,,JIANGXI XIER KANGTAI PHARMACEUTICAL CO. LTD,PENDIENTE_REAL,
39551,FOSFATO DE SODIO MONOBASICO 16 % - FOSFATO DE SODIO DIBASICO 6 %,MI44357,,AIRELA INDUSTRIA FARMACEUTICA LTDA.,PENDIENTE_REAL,
39563,PEPSADEL 262 MG X 12 TABLETAS MASTICABLES,ME44522,,LABORATORIO FARMACEUTICO FARDEL,PENDIENTE_REAL,
39664,BROMEXINA CLORHIDRATO 4 MG / 5 ML JARABE,,Bromexina,"BIOQUIMICA INTERNACIONAL, C.A.",PENDIENTE_REAL,
39690,CLORURO SODICO 0.9 % INYECTABLE,,Cloruro Sodico,"IPS DE VENEZUELA, C.A.",PENDIENTE_REAL,
39694,COMPLEJO 2 ML X 3 INYECTABLE,,Complejo,"CALOX INTERNATIONAL, C.A.",SIN_MOLECULA_POR_DECISION,
39697,PORTU 4 MG X 100 COMPRIMIDOS,,Portu,CASA DE REPRESENTACION MVGA PHARMA,PENDIENTE_REAL,
39705,DICLOFENAC POTASICO 50 MG X 20 TABLETAS,,Diclofenac Potasico,"CASA DE REPRESENTACION DAC55, C.A.",PENDIENTE_REAL,
39746,KETOROLACO TROMETAMINA 20 MG X 10 COMPRIMIDOS,,Ketorolaco Trometamina,"CASA DE REPRESENTACION FARMACOS MEDIORIENTE, C.A.",PENDIENTE_REAL,
39770,MAGNESIO GLICINATO X 60 TABLETAS,,Magnesio Glicinato,"ARCO IRIS LABORATORIO, C.A.",PENDIENTE_REAL,
39771,MATERNAVIT X 30 CAPSULAS BLANDAS,,Maternavit,"CASAS DE REPRESENTACION MEDIFARM, C.A.",PENDIENTE_REAL,
39811,OMMUNAL (LISADO BACTERIANO) 7 MG X 10 CAPSULAS,,Ommunal,"LABORATORIOS LETI, S.A.V.",PENDIENTE_REAL,
39869,BITEX COMPLEJO VITAMINA B1 B2 B6 B12 NATURALIFES X 30 TABLETAS,,Bitex Complejo Vitamina B1 B2 B6 B12 Naturalifes,"BY NATURLIFES, C.A.",PENDIENTE_REAL,
39880,DICLOFENAC DIETILAMINO 1.16 % GEL,,Diclofenac Dietilam,"ALESS PHARMACEUTICALS, C.A.",PENDIENTE_REAL,
39901,HIOSCINA N-BUTILBROMURO 10 MG X 10 TABLETAS RECUBIERTAS,,Butilbrom Hioscina,"BLUE MEDICAL PHARMACEUTICAL, C.A.",PENDIENTE_REAL,
