producto_id,sku,nombre_comercial,nucleo,molecula,forma,laboratorio,categoria,fuente,gates,url_en_ledger,desc_candidata,foto_candidata
37532,ME29902,AUGMENTIN BID 875 MG - 125 MG TABLETAS RECUBIERTAS,AUGMENTIN BID,Amoxicilina - Clavulanico Acido,TABLETAS,SMITHKLINE BEECHAM LIMITED,generico_otro_lab,cobeca,lab_generico,,AUGMENTIN TAB 875MG/125MG X 14 GSK,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/92934.jpg
37544,ME31564/3,AZITROMICINA 500 MG X 5 COMPRIMIDOS RECUBIERTOS,AZITROMICINA,Azitromicina,COMPRIMIDOS,LABORATORIOS SPEFAR VENEZOLANOS S.A.,generico_otro_lab,cobeca,lab_generico,,AZITROMICINA COMP 500MG X5 LETI,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/6090.jpg
37545,ME31564/2,AZITROMICINA 500 MG X 3 COMPRIMIDOS RECUBIERTOS,AZITROMICINA,Azitromicina,COMPRIMIDOS,LABORATORIOS SPEFAR VENEZOLANOS S.A.,generico_otro_lab,cobeca,lab_generico,,AZITROMICINA TAB 500MG X3 CLX,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/11009.jpg
37546,ME42509,AZITROMICINA 200 MG / 5 ML SUSPENSION ORAL,AZITROMICINA,Azitromicina,SUSPENSION ORAL,COOPER PHARMA LTD,generico_otro_lab,cobeca,lab_generico,,AZITROMICINA SUSP 200MG/5ML 15ML CR DIST,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/21793.jpg
37547,ME42465,AZITROMICINA 500 MG X 5 TABLETAS RECUBIERTAS,AZITROMICINA,,TABLETAS,COOPER PHARMA LTD,generico_otro_lab,cobeca,lab_generico,,AZITROMICINA COMP 500MG X5 LETI,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/6090.jpg
37550,ME20140,BACITRACINA 500 UI - G UNGUENTO,BACITRACINA,Bacitracina,UNGUENTO,C.A. PRODUCTOS RONAVA,generico_otro_lab,cobeca,lab_generico,,BACITRACINA UNG 500UI/G X 20G DISTRILAB,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/29019.jpg
37573,HO36271/2,BETAMETASONA 4 MG / ML X 1 AMPOLLA,BETAMETASONA,Betametasona,INYECTABLE,PHARMAYECT S.A.,generico_otro_lab,cobeca,lab_generico,,BETAMETASONA INY 4MG/1ML X1 VLM,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/2117.jpg
37587,ME43626,BISACODILO 5 MG X 10 TABLETAS GASTRORRESISTENTES,BISACODILO,Bisacodilo,TABLETAS,SG HEALTHCARE PVT. LTD.,generico_otro_lab,cobeca,lab_generico,,BISACODILO TAB 5MG X 10 FM,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/28708.jpg
37591,ME36891,BISOPROLOL FUMARATO - HIDROCLOROTIAZIDA 5 MG - 6.25 MG X 30 TABLETAS,BISOPROLOL FUMARATO - HIDROCLOROTIAZIDA,Bisoprolol - Hidroclorotiazida,TABLETAS,CALOX INTERNATIONAL C.A.,generico_otro_lab,farmanselmo,lab_generico,,BIOTALOL HCT BISOPROLOL FUMARATO+HIDROCLOROTIAZIDA 5MG+6.25MG x30 COMPRIMIDOS LETI (E),https://pccentro.net.ve/img/s/6/8/7/3/8/68738-large_default.webp
37592,ME42421,BISOPROLOL FUMARATO 10 MG X 30 COMPRIMIDOS RECUBIERTOS,BISOPROLOL FUMARATO,Bisoprolol,COMPRIMIDOS,LABORATORIOS SPEFAR VENEZOLANOS S.A.,generico_otro_lab,cobeca,lab_generico,,BISOPROLOL TAB 10MG X30 ANG/H,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/21371.jpg
