producto_id,nombre_comercial,candidato_molecula,ref_id,score,atc_id,decision
38763,SALBUTAN 100 MCG / DOSIS,,,,,
38764,SARIFAN COMPOSITUM,,,,,
38794,SILDEX 100 MG,,,,,
38795,SILDEX 100 MG,,,,,
38811,SULIXTRA 0.4 MG,,,,,
38812,SULIXTRA DUO 0.4 MG - 0.5 MG,,,,,
38813,SULIXTRA DUO 0.4 MG - 0.5 MG,,,,,
38838,TAMOA 250 MG / 5 ML,,,,,
38841,TAMSULON 0.4 MG,Tamsulosina,3293,0.500,3009,
38845,TANTUN 0.1 %,,,,,
38858,TIALIN 50 MG,,,,,
38859,TIALIN 50 MG,,,,,
38860,TIDOR 2 % - 0.5 %,,,,,
38861,TILODRIN 4 MG / ML,,,,,
38862,TILODRIN 30 MG / 15 ML,,,,,
38880,TONERVOL 5 MG,,,,,
38884,TRACEVAL 500 MG - 50 MG,,,,,
38885,TRACEVAL 325 MG - 37.5 MG,,,,,
38889,TRAMAL LONG 150 MG,,,,,
38896,FLUTIXAIR 250 MCG -25 MCG,,,,,
38908,ULTAMYN 750 MG,,,,,
38910,UROSINA 0.4 MG,,,,,
38912,VALPRON 250 MG / 5 ML,,,,,
38936,VASPITOR 40 MG,,,,,
38937,VASPITOR 40 MG,,,,,
38938,VASSLUTEN HCT 300 MG - 12.5 MG,,,,,
38939,VASSLUTEN HCT 150 MG - 12.5 MG,,,,,
38971,VITADYN C 500 MG,,,,,
38972,VITADYN C 500 MG,,,,,
38975,VITENOL CREMA,,,,,
38976,VIZERUL 75 MG,,,,,
38977,VIZERUL 75 MG,,,,,
38978,VIZERUL 150 MG / 10 ML,,,,,
38979,VOLCOFEN 75 MG / 3 ML,,,,,
38980,VONAU FLASH 4 MG,,,,,
38991,ZILDON 10 MG,,,,,
38996,ZOLPIDEX 10 MG,Zolpidem,4073,0.636,7323,
38997,ZOLPIDEX 10 MG,Zolpidem,4073,0.636,7323,
39000,ZONTRICON 100 MG / 5 ML,,,,,
39002,ZOST 50 MG,,,,,
39003,ZOST 50 MG,,,,,
39004,ZOST 50 MG,,,,,
39064,APLACAL 750 MG,,,,,
39065,APLACAL 750 MG,,,,,
39066,APLACAL 750 MG,,,,,
39067,APLACAL 750 MG,,,,,
39068,APLACAL 750 MG,,,,,
39069,APLACAL 750 MG,,,,,
39088,ATROVERAN 10 MG,,,,,
39089,ATROVERAN FORTE 20 MG,,,,,
39104,BIPROLIL 2.5 MG,,,,,
39138,CIFARCAINA HIPERBARA AL 5 %,,,,,
39273,KLINCOSAL 262 MG - 100 MG,,,,,
39274,KLINCOSAL 262 MG - 500 MG / 15 ML,,,,,
39275,KLINCOSAL 262 MG - 500 MG / 15 ML,,,,,
39343,PROTOSULFIL 1 % POLVO,,,,,
39344,CARNITENE 1 G / 10 ML,,,,,
39352,REHIDROSOL 45 MEQ / L,,,,,
39354,REHIDROSOL 60 MEQ / L,,,,,
39418,ACRYLARM 0.2 % GEL OFTALMICO,,,,,
39421,ALILUB 1.4 %,,,,,
39540,MAXIFURFORTE 100 MG,,,,,
39547,ACECOL 600 MG,,,,,
39548,ACECOL 600 MG,,,,,
39550,NEMAX 16 % - 6 %,,,,,
39563,PEPSADEL 262 MG,,,,,
39576,FLUDINAX 0.9 %,,,,,
39577,SILVEDERMA 1 % CREMA,,,,,
39597,UDOX 75 MG,,,,,
39635,AGUA OXIG ALVA INYECTABLE,,,,,
39649,ATAPEC 100 MG,,,,,
39655,AUGMENTIN BID 875 MG - 125 MG,,,,,
39696,6 MG X 30 COMPRIMIDOS,,,,,
39697,PORTU 4 MG,,,,,
39698,SODICO 4 MG / 1 ML,,,,,
39700,SODICO 8 MG / 2 ML,,,,,
39771,MATERNAVIT,,,,,
39830,PREVERAL DEXTRO REFORM 120 ML,,,,,
39898,ANGIOFLUX 250LSU,,,,,
