producto_id,sku,nombre_comercial,nucleo,foto_url,fuente,detalle
39067,ME42365/4,APLACAL 750 MG X 120 TABLETAS MASTICABLES SABOR A MENTA,APLACAL,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/21595.jpg,cobeca,APLACAL TAB MAST BAN 750MG DISP 30X4 MEY
39068,ME42365/3,APLACAL 750 MG X 80 TABLETAS MASTICABLES SABOR A MENTA,APLACAL,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/52504.jpg,cobeca,APLACAL TAB MAST 750MG BAN X80 TARRO
39069,ME42367,APLACAL 750 MG X 80 TABLETAS MASTICABLES SABOR A MANDARINA,APLACAL,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/52504.jpg,cobeca,APLACAL TAB MAST 750MG BAN X80 TARRO
37484,ME43975,APLEXIL 550 MG X 10 TABLETAS RECUBIERTAS,APLEXIL,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/53335.jpg,cobeca,APLEXIL TAB REC 550MG X10 COFA
37488,ME41482,ARCOVAL 60 MG X 10 TABLETAS RECUBIERTAS,ARCOVAL,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/52031.jpg,cobeca,ARCOVAL TAB 60MG X10 VLM
37489,ME41483,ARCOVAL 90 MG X 10 TABLETAS RECUBIERTAS,ARCOVAL,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/52032.jpg,cobeca,ARCOVAL TAB 90MG X10 VLM
37490,ME40810/3,ARESAN 20 MG X 30 TABLETAS RECUBIERTAS,ARESAN,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/22093.jpg,cobeca,ARESAN TAB REC 20MG X30 BIOTECH
37491,ME40810/2,ARESAN 20 MG X 10 TABLETAS RECUBIERTAS,ARESAN,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/51009.jpg,cobeca,ARESAN TAB REC 20MG X10 BIOT
37492,ME23768,ARTENOLOL 100 MG X 30 TABLETAS,ARTENOLOL,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/19753.jpg,cobeca,ARTENOLOL TAB 100MG X30 RNV
37493,ME41487/2,ARUDIL 15 MG X 10 TABLETAS RECUBIERTAS,ARUDIL,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/19965.jpg,cobeca,ARUDIL TAB 15MG X10 FAR
37494,ME41487/3,ARUDIL 15 MG X 30 TABLETAS RECUBIERTAS,ARUDIL,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/19966.jpg,cobeca,ARUDIL TAB 15MG X30 FAR
37495,ME41488/2,ARUDIL 20 MG X 10 TABLETAS RECUBIERTAS,ARUDIL,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/19058.jpg,cobeca,ARUDIL TAB REC 20MG X10 FAR
37496,ME41488/3,ARUDIL 20 MG X 30 TABLETAS RECUBIERTAS,ARUDIL,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/19059.jpg,cobeca,ARUDIL TAB REC 20MG X30 FAR
37497,ME32453/3,ASAPROL 81 MG X 100 COMPRIMIDOS ENTERICOS,ASAPROL,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/9092.jpg,cobeca,ASAPROL COMP 81MG X100 LETI
37498,ME32453/2,ASAPROL 81 MG X 40 COMPRIMIDOS ENTERICOS,ASAPROL,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/99232.jpg,cobeca,ASAPROL COMP 81MG X40 LETI
37499,ME42249,ASARAP 10 MG X 30 COMPRIMIDOS RECUBIERTOS,ASARAP,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/30076.jpg,cobeca,ASARAP COM 10MG X 30
37500,ME42248,ASARAP 15 MG X 30 COMPRIMIDOS RECUBIERTOS,ASARAP,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/30307.jpg,cobeca,ASARAP COMP/REC 15 MG X 30
37501,ME42294,ASARAP 20 MG X 30 COMPRIMIDOS RECUBIERTOS,ASARAP,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/50067.jpg,cobeca,ASARAP COMP/REC 20 MG X 30
37504,ME38676/2,ASPRINIL 81 MG X 40 TABLETAS CON RECUBRIMIENTO ENTERICO,ASPRINIL,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/53383.jpg,cobeca,ASPRINIL TAB REC 81MG X40 BIOT
37505,ME38676/3,ASPRINIL 81 MG X 100 TABLETAS CON RECUBRIMIENTO ENTERICO,ASPRINIL,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/51425.jpg,cobeca,ASPRINIL TAB REC ENT 81MG X100 BIOT
37506,ME43710,ASTRIMOL 2.5 MG X 30 TABLETAS RECUBIERTAS,ASTRIMOL,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/53167.jpg,cobeca,"ASTRIMOL TAB REC 2,5MG X30 BIOT"
39079,ME43853,ASTRIMOL 5 MG X 30 TABLETAS RECUBIERTAS,ASTRIMOL,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/53175.jpg,cobeca,ASTRIMOL TAB REC 5MG X30 BIOT
37507,ME33008,ATAMEL FORTE 650 MG X 10 TABLETAS,ATAMEL FORTE,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/3689.jpg,cobeca,ATAMEL FORTE TAB 650MG X10 CLX
37509,ME19621/3,ATAMEL 500 MG X 20 TABLETAS,ATAMEL,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/3692.jpg,cobeca,ATAMEL TAB 500MG X20 CLX
39433,ME24736,ATAMEL 120 MG / 5 ML JARABE,ATAMEL,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/50583.jpg,cobeca,ATAMEL JBE PED 120MG/5ML 120ML CLX
37515,ME39468/2,ATORVACOF 20 MG X 14 TABLETAS RECUBIERTAS,ATORVACOF,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/98600.jpg,cobeca,ATORVACOF TAB 20MG X14 COFA
37526,ME30954,ATRIMON 10 MG X 10 COMPRIMIDOS,ATRIMON,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/527.jpg,cobeca,ATRIMON COMP 10MG X10 ADIUM
37527,ME40958,ATROBEL 10 MG / ML SOLUCION GOTAS REFORMULADO,ATROBEL,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/22695.jpg,cobeca,ATROBEL SOL GTS 10MG/ML 15ML RNV
37528,HO35376,ATROPINA SULFATO 1 MG / ML X 10 AMPOLLAS,ATROPINA SULFATO,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/50775.jpg,cobeca,ATROPINA SULFATO AMP 1MG/1ML X10 ZUZU
37529,ME36259,ATROVERAN 10 MG / ML X 10 SOLUCION GOTAS,ATROVERAN,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/25310.jpg,cobeca,ATROVERAN SOL 10MG/ML 15ML VARG
39088,ME36258,ATROVERAN 10 MG X 10 TABLETAS RECUBIERTAS,ATROVERAN,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/25527.jpg,cobeca,ATROVERAN TAB REC 10MG X10 VARG
37530,ME44345,ATROVERAN FEM 10 MG-200 MG X 10 COMPRIMIDOS RECUBIERTOS,ATROVERAN FEM,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/54524.jpg,cobeca,ATROVERAN FEM COMP REC 10/200MG X10 VARG
37531,ME25538,AUGMENTIN 500 MG - 125 MG TABLETAS RECUBIERTAS,AUGMENTIN,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/9781.jpg,cobeca,AUGMENTIN TAB 500MG/125MG X 10 GSK
37533,ME42005,AUPREL 90 MG X 20 COMPRIMIDOS RECUBIERTOS,AUPREL,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/28697.jpg,cobeca,AUPREL COMP/REC 90MG X 20
37534,ME30878,AVELOX 400 MG X 5 COMPRIMIDOS RECUBIERTOS,AVELOX,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/11301.jpg,cobeca,AVELOX COM 400 MG X 5
37535,ME34732,AVODART 0.5 MG CAPSULAS BLANDAS,AVODART,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/10278.jpg,cobeca,"AVODART CAP 0,5MG X30 GLAX"
37536,ME33902,AXOKINE 400 MG X 5 COMPRIMIDOS RECUBIERTOS,AXOKINE,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/90556.jpg,cobeca,AXOKINE COMP REC 400G X5 LETI
37537,ME33685/2,AZACARD 81 MG X 30 TABLETAS CON CUBIERTA ENTERICA,AZACARD,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/4756.jpg,cobeca,AZACARD TAB 81MG X30 L.O
37538,ME33685/3,AZACARD 81 MG X 60 TABLETAS CON CUBIERTA ENTERICA,AZACARD,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/4694.jpg,cobeca,AZACARD TAB 81MG X60 L.O
37539,ME33685/4,AZACARD 81 MG X 100 TABLETAS CON CUBIERTA ENTERICA,AZACARD,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/53427.jpg,cobeca,AZACARD TAB ENT 81MG X100 L.O
37540,ME36378/2,AZIMAKROL 1 G X 2 COMPRIMIDOS RECUBIERTOS,AZIMAKROL,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/91098.jpg,cobeca,AZIMAKROL COMP 1G X2 MEG
