producto_id,sku,nombre_comercial,nucleo,molecula,forma,laboratorio,motivo
37374,HO32804,AGUA BIDESTILADA INYECTABLE,AGUA BIDESTILADA INYECTABLE,,INYECTABLE,"LABORATORIO COFASA, S.A.",sin_match_cobeca
37375,HO1694,AGUA DESTILADA ESTERIL SOLUCION INYECTABLE,AGUA DESTILADA ESTERIL SOLUCION INYECTABLE,,INYECTABLE,"LABORATORIOS VALMOR, C.A.",sin_match_cobeca
37381,ME43288,ALBENDAZOL 400 MG X 10 TABLETAS MASTICABLES,ALBENDAZOL,Albendazol,TABLETAS,CORAL LABORATORIES LTD,sin_desc_lab
37382,ME27081,ALBENDAZOL 400 MG / 10 ML SUSPENSION,ALBENDAZOL,Albendazol,SUSPENSION ORAL,"LABORATORIO COFASA, S.A.",sin_match_cobeca
37383,ME40605/2,ALBENDAZOL 200 MG X 2 COMPRIMIDOS,ALBENDAZOL,Albendazol,COMPRIMIDOS,"SM PHARMA, C.A.",sin_desc_lab
37384,ME40605/3,ALBENDAZOL 200 MG X 6 COMPRIMIDOS,ALBENDAZOL,Albendazol,COMPRIMIDOS,"SM PHARMA, C.A.",sin_desc_lab
37391,ME32131,ALENDRONATO SODICO 70 MG X 4 COMPRIMIDOS,ALENDRONATO SODICO,Alendronico Acido,COMPRIMIDOS,"LABORATORIOS LETI, S.A.V.",sin_match_cobeca
37397,ME34716,ALIPAL FORTE DIA 650 MG - 32 MG - 4 MG X 12 CAPSULAS,ALIPAL FORTE DIA,Cafeina,CAPSULAS,"BIOTECH LABORATORIOS, C.A.",sin_match_cobeca
37399,ME43815,ALIVET 100 MG - 0.42 MG / ML X 10 SOLUCION ORAL,ALIVET,Acetaminofen - Clorfenamina,SOLUCION ORAL,"LABORATORIOS LETI, S.A.V.",sin_match_cobeca
37414,ME28493,AMBROXOL CLORHIDRATO 30 MG / 5 ML JARABE,AMBROXOL CLORHIDRATO,Ambroxol,JARABE,"LABORATORIO LA SANTE, C.A.",sin_match_cobeca
37415,ME29182,CLORHIDRATO DE AMBROXOL 15 MG / 5ML.SOLUCION ORAL,CLORHIDRATO DE AMBROXOL,Ambroxol,SOLUCION ORAL,MEGALABS S.A.,sin_match_cobeca
37416,ME29181,CLORHIDRATO DE AMBROXOL 30 MG / 5 ML SOLUCION ORAL,CLORHIDRATO DE AMBROXOL,Ambroxol,SOLUCION ORAL,"LABORATORIOS KIMICEG, C.A.",sin_match_cobeca
37418,HO23247,AMIKACINA 500 MG / 2 ML X 1 AMPOLLA,AMIKACINA,Amikacina,INYECTABLE,C.A. PRODUCTOS RONAVA,sin_match_cobeca
37419,HO24946,AMIKACINA 500 MG / 2 ML X 1 AMPOLLA,AMIKACINA,Amikacina,INYECTABLE,"LABORATORIOS VALMOR, C.A.",sin_match_cobeca
37420,HO26424,AMIKACINA 100 MG / 2 ML X 10 AMPOLLAS,AMIKACINA,,INYECTABLE,"LABORATORIOS VALMOR, C.A.",sin_match_cobeca
37424,ME30206/4,AMLODIPINA 10 MG X 60 COMPRIMIDOS,AMLODIPINA,Amlodipino,COMPRIMIDOS,"LABORATORIOS LETI, S.A.V.",sin_match_cobeca
37425,ME30206/2,AMLODIPINA 10 MG X 10 COMPRIMIDOS,AMLODIPINA,Amlodipino,COMPRIMIDOS,"LABORATORIOS LETI, S.A.V.",sin_match_cobeca
37429,ME39126/2,AMLODIPINA 10 MG X 20 TABLETAS,AMLODIPINA,,TABLETAS,"CALOX INTERNATIONAL, C.A.",sin_match_cobeca
37433,ME31230,AMLODIPINA 5 MG X 30 TABLETAS,AMLODIPINA,,TABLETAS,"LABORATORIO COFASA, S.A.",sin_match_cobeca
37435,ME42534,AMOXICILINA - ACIDO CLAVULANICO 250 MG - 62.5 MG / 5 ML POLVO PARA SUSPENSION ORAL,AMOXICILINA - ACIDO CLAVULANICO,Amoxicilina - Clavulanico Acido,POLVO PARA RECONSTITUCION,"LABORATORIOS SPEFAR VENEZOLANOS, S.A.",sin_desc_lab
37436,ME44341,SINOT CLAV 875 MG – 125 MG X 14 COMPRIMIDOS,SINOT CLAV,Amoxicilina,COMPRIMIDOS,MOMENTA FARMACEUTICA LTDA.,sin_desc_lab
37437,ME43309,CLAVULAM 875 MG - 125 MG TABLETAS RECUBIERTAS,CLAVULAM,Amoxicilina - Clavulanico Acido,TABLETAS,LABORATE PHARMACEUTICALS INDIA LTD,sin_desc_lab
37438,ME43040,AMOXICILINA 500 MG X 10 CAPSULAS,AMOXICILINA,,CAPSULAS,"JIANGXI XIER KANGTAI PHARMACEUTICAL CO., LTD",sin_desc_lab
37439,ME44669,AMOXICILINA - ACIDO CLAVULANICO 500 MG - 125 MG X 10 TABLETAS RECUBIERTAS,AMOXICILINA - ACIDO CLAVULANICO,,TABLETAS,SARTHI PHARMA,sin_desc_lab
37440,ME20340/3,AMOXICILINA 500 MG X 10 CAPSULAS,AMOXICILINA,Amoxicilina,CAPSULAS,"CALOX INTERNATIONAL, C.A.",sin_match_cobeca
37441,ME20340/4,AMOXICILINA 500 MG X 12 CAPSULAS,AMOXICILINA,Amoxicilina,CAPSULAS,"CALOX INTERNATIONAL, C.A.",sin_match_cobeca
37442,ME20340/2,AMOXICILINA 500 MG X 6 CAPSULAS,AMOXICILINA,Amoxicilina,CAPSULAS,"CALOX INTERNATIONAL, C.A.",sin_match_cobeca
37446,ME23745,AMOXICILINA 125 MG / 5 ML SUSPENSION,AMOXICILINA,,SUSPENSION ORAL,"SM PHARMA, C.A.",sin_desc_lab
