producto_id,sku,nombre_comercial,nucleo,molecula,forma,laboratorio,categoria,fuente,gates,url_en_ledger,desc_candidata,foto_candidata
37516,ME39468/3,ATORVACOF 20 MG X 30 TABLETAS RECUBIERTAS,ATORVACOF,Atorvastatina,TABLETAS,LABORATORIO COFASA S.A.,lab_antiguo,cobeca,lab,no,ATORVASTATINA TAB REC 20MG X30 PHARME,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/22227.jpg
37518,ME32690/3,ATORVASTATINA 20 MG X 14 COMPRIMIDOS RECUBIERTOS,ATORVASTATINA,Atorvastatina,COMPRIMIDOS,LABORATORIOS LETI S.A.V.,no_match_fuentes,,,,,
37522,ME37775,ATORVASTATINA 20 MG X 30 TABLETAS RECUBIERTAS,ATORVASTATINA,,TABLETAS,EMPRESA LABORATORIOS MEDSOL,lab_antiguo,cobeca,lab,no,ATORVASTATINA TAB REC 20MG X30 PHARME,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/22227.jpg
37523,ME35340/3,ATORVASTATINA 40 MG X 30 TABLETAS RECUBIERTAS,ATORVASTATINA,Atorvastatina,TABLETAS,LABORATORIOS FARMA S.A.,no_match_fuentes,,,,,
37524,ME35340/2,ATORVASTATINA 40 MG X 14 TABLETAS RECUBIERTAS,ATORVASTATINA,Atorvastatina,TABLETAS,LABORATORIOS FARMA S.A.,no_match_fuentes,,,,,
37532,ME29902,AUGMENTIN BID 875 MG - 125 MG TABLETAS RECUBIERTAS,AUGMENTIN BID,Amoxicilina - Clavulanico Acido,TABLETAS,SMITHKLINE BEECHAM LIMITED,lab_antiguo,cobeca,lab,no,AUGMENTIN TAB 875MG/125MG X 14 GSK,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/92934.jpg
37544,ME31564/3,AZITROMICINA 500 MG X 5 COMPRIMIDOS RECUBIERTOS,AZITROMICINA,Azitromicina,COMPRIMIDOS,LABORATORIOS SPEFAR VENEZOLANOS S.A.,no_match_fuentes,,,,,
37545,ME31564/2,AZITROMICINA 500 MG X 3 COMPRIMIDOS RECUBIERTOS,AZITROMICINA,Azitromicina,COMPRIMIDOS,LABORATORIOS SPEFAR VENEZOLANOS S.A.,no_match_fuentes,,,,,
37546,ME42509,AZITROMICINA 200 MG / 5 ML SUSPENSION ORAL,AZITROMICINA,Azitromicina,SUSPENSION ORAL,COOPER PHARMA LTD,no_match_fuentes,,,,,
37547,ME42465,AZITROMICINA 500 MG X 5 TABLETAS RECUBIERTAS,AZITROMICINA,,TABLETAS,COOPER PHARMA LTD,lab_antiguo,cobeca,lab,si,AZITROMICINA COMP 500MG X5 LETI,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/6090.jpg
37549,ME1645,BACITRACINA 125 MG / 15 G UNGUENTO,BACITRACINA,Bacitracina,UNGUENTO,PFIZER VENEZUELA S.A.,no_match_fuentes,,,,,
