id,nombre,sinonimos,atc_id,descripcion
722,Chelidonium Majus,,,
723,Chumbera,,,
3929,Ci 42051,,,
3930,Ci 906,,,
3931,Ci 912,,,
3935,Ci-981,,,
730,Ciclohexanohexilmexafosfato,,,
731,Ciclohexilbenzotiazil Sulfenamida,,,
739,Cilantro,,,
740,Cilantro Exto Liquido,,,
742,Cilastatina Sodica,,,
748,Cimebrina,,,
749,Cimicifuga Racemosa,,,
750,Cimicifuga Racemosa Exto Seco,,,
753,Cinamaldehido,,,
754,Cinamilico Alcohol,,,
761,Cinnamomum Zeylanicum Corteza,,,
774,Cisteamina,,,
776,Cistina,,,
783,Citidina-5-monofosfato Disodio,,,
784,Citisina,,,
786,Citosina Arabinosido,,,
787,Citrato Acido Sodio,,,
788,Citrato Magnesio,,,
789,Citrato Potasio,,,
790,Citrato Sodico Dihidrato,,,
791,Citrato Sodio,,,
792,Citrato Trisodio,,,
794,Citrico Acido Anhidro,,,
795,Citrico Acido Monohidrato,,,
796,Citrina,,,
797,Citrulina,,,
798,Citrulina Malato,,,
799,Citrus Bergamia,,,
804,Clavo,,,
805,Clavulanato Potasio,,,
806,Clavulanato Potasio Diluido Con Celulosa Microcristalina,,,
807,Clavulanato Potasio Diluido Con Silice Coloidal Hidratada,,,
808,Clavulanico Acido,,,
821,Clocinizina Dihidrocloruro,,,
3939,Clonixino,,,
839,Clorazepato Dipotasio,,,
840,Clorazepico Acido,,,
3853,Clorbutol,,,
841,Clorcinazina,,,
844,Cloretona,,,
853,Clorhistapiridamina,,,
3854,Clorobutol,,,
861,Cloroprofenpiridamida,,,
865,Clorpiprazina,,,
873,Cloruro De Hierro (iii) Hexahidrato,,,
875,Clostridiopeptidasa,,,
876,"Clostridium Tetani, Toxoide",,,
3855,Cnicus Benedictus C. Linneo,,,
882,Coal Tar,,,
884,Cobalto Cloruro,,,
887,Cobre Carbonato,,,
888,Cobre Cloruro Dihidrato,,,
889,Cobre Sulfato Pentahidrato,,,
890,Cocarbina,,,
891,Cocarboxilasa,,,
892,Cocarboxilasa Tetrahidrato,,,
896,Coenzima B1,,,
897,Coenzima B12,,,
898,Cola De Caballo,,,
899,Cola Raton,,,
905,Colico Acido,,,
906,Colina Citidin-5-difosfato,,,
907,Colistimetato Sodio,,,
908,Colleja,,,
909,Colofonia,,,
910,Complejo Coagulante Antiinhibidor,,,
914,Concentrado De Protombina Activada,,,
916,Condroitina,,,
917,Condroitina Sulfato Sodio,,,
919,Conjugado Haemophilus Influenzae Prp-neisseria Meningitidis Ompc,,,
920,Conjugado Prp-ompc,,,
921,Coriandro,,,
922,Coriandro Sativum,,,
926,Cosintropina,,,
927,Cosmolina,,,
3944,Cp-690550,,,
928,Crataegus Oxiacanta-crataegus Monogina,,,
929,Crataegus Oxyacantha,,,
