producto_id,nombre_comercial,estado,molecula_propuesta,n_moleculas
38938,VASSLUTEN HCT 300 MG - 12.5 MG,sin_informacion,(No se encontró información),1
38939,VASSLUTEN HCT 150 MG - 12.5 MG,sin_informacion,(No se encontró información),1
38971,VITADYN C 500 MG,sin_informacion,(No se encontró información),1
38972,VITADYN C 500 MG,sin_informacion,(No se encontró información),1
38975,VITENOL CREMA,sin_informacion,(No se encontró información),1
38976,VIZERUL 75 MG,sin_informacion,(No se encontró información),1
38977,VIZERUL 75 MG,sin_informacion,(No se encontró información),1
38978,VIZERUL 150 MG / 10 ML,sin_informacion,(No se encontró información),1
38979,VOLCOFEN 75 MG / 3 ML,sin_informacion,(No se encontró información),1
38980,VONAU FLASH 4 MG,sin_informacion,(No se encontró información),1
38991,ZILDON 10 MG,sin_informacion,(No se encontró información),1
38996,ZOLPIDEX 10 MG,sin_informacion,(No se encontró información),1
38997,ZOLPIDEX 10 MG,sin_informacion,(No se encontró información),1
39000,ZONTRICON 100 MG / 5 ML,sin_informacion,(No se encontró información),1
39002,ZOST 50 MG,sin_informacion,(No se encontró información),1
39003,ZOST 50 MG,sin_informacion,(No se encontró información),1
39004,ZOST 50 MG,sin_informacion,(No se encontró información),1
39064,APLACAL 750 MG,sin_informacion,(No se encontró información),1
39065,APLACAL 750 MG,sin_informacion,(No se encontró información),1
39066,APLACAL 750 MG,sin_informacion,(No se encontró información),1
39067,APLACAL 750 MG,sin_informacion,(No se encontró información),1
39068,APLACAL 750 MG,sin_informacion,(No se encontró información),1
39069,APLACAL 750 MG,sin_informacion,(No se encontró información),1
39088,ATROVERAN 10 MG,sin_informacion,(No se encontró información),1
39089,ATROVERAN FORTE 20 MG,sin_informacion,(No se encontró información),1
39104,BIPROLIL 2.5 MG,sin_informacion,(No se encontró información),1
39138,CIFARCAINA HIPERBARA AL 5 %,sin_informacion,(No se encontró información),1
39273,KLINCOSAL 262 MG - 100 MG,sin_informacion,(No se encontró información),1
39274,KLINCOSAL 262 MG - 500 MG / 15 ML,sin_informacion,(No se encontró información),1
39275,KLINCOSAL 262 MG - 500 MG / 15 ML,sin_informacion,(No se encontró información),1
39343,PROTOSULFIL 1 % POLVO,sin_informacion,(No se encontró información),1
39344,CARNITENE 1 G / 10 ML,sin_informacion,(No se encontró información),1
39352,REHIDROSOL 45 MEQ / L,sin_informacion,(No se encontró información),1
39354,REHIDROSOL 60 MEQ / L,sin_informacion,(No se encontró información),1
39418,ACRYLARM 0.2 % GEL OFTALMICO,sin_informacion,(No se encontró información),1
39421,ALILUB 1.4 %,sin_informacion,(No se encontró información),1
39540,MAXIFURFORTE 100 MG,sin_informacion,(No se encontró información),1
39547,ACECOL 600 MG,sin_informacion,(No se encontró información),1
39548,ACECOL 600 MG,sin_informacion,(No se encontró información),1
39550,NEMAX 16 % - 6 %,sin_informacion,(No se encontró información),1
39563,PEPSADEL 262 MG,sin_informacion,(No se encontró información),1
39576,FLUDINAX 0.9 %,sin_informacion,(No se encontró información),1
39577,SILVEDERMA 1 % CREMA,sin_informacion,(No se encontró información),1
39597,UDOX 75 MG,sin_informacion,(No se encontró información),1
39635,AGUA OXIG ALVA INYECTABLE,sin_informacion,(No se encontró información),1
39649,ATAPEC 100 MG,sin_informacion,(No se encontró información),1
39655,AUGMENTIN BID 875 MG - 125 MG,sin_informacion,(No se encontró información),1
39696,6 MG X 30 COMPRIMIDOS,sin_informacion,(No se encontró información),1
39697,PORTU 4 MG,sin_informacion,(No se encontró información),1
39698,SODICO 4 MG / 1 ML,sin_informacion,(No se encontró información),1
39700,SODICO 8 MG / 2 ML,sin_informacion,(No se encontró información),1
39771,MATERNAVIT,sin_informacion,(No se encontró información),1
39830,PREVERAL DEXTRO REFORM 120 ML,sin_informacion,(No se encontró información),1
39898,ANGIOFLUX 250LSU,sin_informacion,(No se encontró información),1
