origen,producto_id,nombre,molecula,estado,ref_id,ref_nombre,metodo,atc_id,resultado
conflictos,38358,LIPACOMB 40 MG - 10 MG,simvastatina,enlace,3181,Simvastatina,exacto,2014,YA_EXISTIA
conflictos,38369,LODIPIN VL 10 MG - 160 MG,amlodipino,enlace,212,Amlodipino,exacto,1879,YA_EXISTIA
conflictos,38369,LODIPIN VL 10 MG - 160 MG,valsartán,enlace,3596,Valsartan,exacto,1970,YA_EXISTIA
conflictos,38437,MELIGEN 10 MG,memantina,enlace,2231,Memantina,exacto,5594,YA_EXISTIA
conflictos,38491,MILAX 50%,polietilenglicol 3350,enlace,2154,Macrogol 3350,alias_cima,400,YA_EXISTIA
conflictos,38492,MIOVIT COMPOSITUM CON LIDOCAINA,tiamina,enlace,3384,Tiamina,exacto,710,YA_EXISTIA
conflictos,38492,MIOVIT COMPOSITUM CON LIDOCAINA,piridoxina,enlace,2789,Piridoxina,exacto,729,YA_EXISTIA
conflictos,38492,MIOVIT COMPOSITUM CON LIDOCAINA,cianocobalamina,enlace,724,Cianocobalamina,exacto,1115,YA_EXISTIA
conflictos,38492,MIOVIT COMPOSITUM CON LIDOCAINA,lidocaína,enlace,2081,Lidocaina,exacto,1297,YA_EXISTIA
conflictos,38493,MIOVIT COMPOSITUM CON LIDOCAINA,tiamina,enlace,3384,Tiamina,exacto,710,YA_EXISTIA
conflictos,38493,MIOVIT COMPOSITUM CON LIDOCAINA,piridoxina,enlace,2789,Piridoxina,exacto,729,YA_EXISTIA
conflictos,38493,MIOVIT COMPOSITUM CON LIDOCAINA,cianocobalamina,enlace,724,Cianocobalamina,exacto,1115,YA_EXISTIA
conflictos,38493,MIOVIT COMPOSITUM CON LIDOCAINA,lidocaína,enlace,2081,Lidocaina,exacto,1297,YA_EXISTIA
conflictos,38494,MIOVIT COMPOSITUM CON LIDOCAINA,tiamina,enlace,3384,Tiamina,exacto,710,YA_EXISTIA
conflictos,38494,MIOVIT COMPOSITUM CON LIDOCAINA,piridoxina,enlace,2789,Piridoxina,exacto,729,YA_EXISTIA
conflictos,38494,MIOVIT COMPOSITUM CON LIDOCAINA,cianocobalamina,enlace,724,Cianocobalamina,exacto,1115,YA_EXISTIA
conflictos,38494,MIOVIT COMPOSITUM CON LIDOCAINA,lidocaína,enlace,2081,Lidocaina,exacto,1297,YA_EXISTIA
conflictos,38515,MOXIDEX 0.5 -0.1%,moxifloxacino,enlace,2384,Moxifloxacino,exacto,6360,YA_EXISTIA
conflictos,38515,MOXIDEX 0.5 -0.1%,dexametasona,enlace,1034,Dexametasona,exacto,6447,YA_EXISTIA
conflictos,38524,MULTIVIRAL X 30 CAPSULAS,multivitaminas,candidata,,,no_aprobada_espana,,NO_ENLAZADO_CANDIDATA
conflictos,38524,MULTIVIRAL X 30 CAPSULAS,minerales,candidata,,,no_aprobada_espana,,NO_ENLAZADO_CANDIDATA
conflictos,38557,NIPE PLUS,acetaminofén,enlace,34,Acetaminofen,exacto,,YA_EXISTIA
conflictos,38557,NIPE PLUS,clorfeniramina,enlace,847,Clorfeniramina,exacto,2282,YA_EXISTIA
conflictos,38557,NIPE PLUS,pseudoefedrina,enlace,2938,Pseudoefedrina,exacto,5911,YA_EXISTIA
conflictos,38584,OFAFLAN 2 MG / ML,diclofenaco potásico,enlace,1073,Diclofenaco,tokens_agnostico_orden,2675,YA_EXISTIA
conflictos,38585,OFTERRA UNGUENTO OFTALMICO,oxitetraciclina,enlace,2626,Oxitetraciclina,exacto,2332,YA_EXISTIA
conflictos,38585,OFTERRA UNGUENTO OFTALMICO,polimixina B,enlace,2832,Polimixina B,exacto,6638,YA_EXISTIA
conflictos,38628,OTANOL 50 MG / ML,etanol,enlace,1341,Etanol,exacto,6729,YA_EXISTIA
conflictos,38642,PASIM 10 MG / ML,butilbromuro de hioscina,enlace,553,Butilescopolamina Bromuro,alias_cima,237,YA_EXISTIA
conflictos,38643,PASOLAX,senósidos,enlace,3144,Senosidos A-b,alias_cima,,YA_EXISTIA
conflictos,38653,PEREBRON 28 MG / 5 ML,oxolamina,enlace,4270,Oxolamina,exacto,6151,YA_EXISTIA
conflictos,38654,PEREBRON 28 MG / 5 ML,oxolamina,enlace,4270,Oxolamina,exacto,6151,YA_EXISTIA
conflictos,38655,PERIDONT 0.12%,clorhexidina,enlace,848,Clorhexidina,exacto,6636,YA_EXISTIA
conflictos,38657,PERTEN 1%,terbinafina,enlace,3348,Terbinafina,exacto,2184,YA_EXISTIA
conflictos,38659,PERTEN 1%,terbinafina,enlace,3348,Terbinafina,exacto,2184,YA_EXISTIA
conflictos,38662,PIMADOL 10 MG,butilbromuro de hioscina,enlace,553,Butilescopolamina Bromuro,alias_cima,237,YA_EXISTIA
conflictos,38674,OTODON 2% - 5%,fenazona,enlace,1407,Fenazona,exacto,5040,YA_EXISTIA
conflictos,38674,OTODON 2% - 5%,lidocaína,enlace,2081,Lidocaina,exacto,1297,YA_EXISTIA
conflictos,38677,POTAX 10 MEQ,citrato de potasio,enlace,789,Citrato Potasio,alias_cima,,YA_EXISTIA
conflictos,38701,PREVERAL CON CODEINA,prometazina,enlace,2899,Prometazina,exacto,2273,YA_EXISTIA
conflictos,38701,PREVERAL CON CODEINA,codeína,enlace,893,Codeina,exacto,6135,YA_EXISTIA
conflictos,38705,PROVICAR 2 G / 10 ML,levocarnitina,enlace,2062,Levocarnitina,exacto,841,YA_EXISTIA
conflictos,38716,OTIRILIN 4% - 1%,fenazona,enlace,1407,Fenazona,exacto,5040,YA_EXISTIA
conflictos,38716,OTIRILIN 4% - 1%,lidocaína,enlace,2081,Lidocaina,exacto,1297,YA_EXISTIA
conflictos,38731,RINARIS 2.5 MG - 30 MG / 5 ML,fenilefrina,enlace,1419,Fenilefrina,exacto,1326,YA_EXISTIA
conflictos,38731,RINARIS 2.5 MG - 30 MG / 5 ML,clorfeniramina,enlace,847,Clorfeniramina,exacto,2282,YA_EXISTIA
conflictos,38735,RINOMAX 0.25% - 0.125% - 0.25%,fenilefrina,enlace,1419,Fenilefrina,exacto,1326,YA_EXISTIA
conflictos,38735,RINOMAX 0.25% - 0.125% - 0.25%,clorfeniramina,enlace,847,Clorfeniramina,exacto,2282,YA_EXISTIA
conflictos,38735,RINOMAX 0.25% - 0.125% - 0.25%,benzocaína,enlace,443,Benzocaina,exacto,1727,YA_EXISTIA
conflictos,38764,SARIFAN COMPOSITUM,metamizol sódico,enlace,2274,Metamizol Sodico,exacto,5041,YA_EXISTIA
conflictos,38764,SARIFAN COMPOSITUM,butilbromuro de hioscina,enlace,553,Butilescopolamina Bromuro,alias_cima,237,YA_EXISTIA
conflictos,38794,SILDEX 100 MG,sildenafilo,enlace,3165,Sildenafilo,exacto,2984,YA_EXISTIA
conflictos,38795,SILDEX 100 MG,sildenafilo,enlace,3165,Sildenafilo,exacto,2984,YA_EXISTIA
conflictos,38812,SULIXTRA DUO 0.4 MG - 0.5 MG,tamsulosina,enlace,3293,Tamsulosina,exacto,3009,YA_EXISTIA
conflictos,38812,SULIXTRA DUO 0.4 MG - 0.5 MG,dutasterida,enlace,1177,Dutasterida,exacto,3018,YA_EXISTIA
conflictos,38813,SULIXTRA DUO 0.4 MG - 0.5 MG,tamsulosina,enlace,3293,Tamsulosina,exacto,3009,YA_EXISTIA
conflictos,38813,SULIXTRA DUO 0.4 MG - 0.5 MG,dutasterida,enlace,1177,Dutasterida,exacto,3018,YA_EXISTIA
conflictos,38838,TAMOA 250 MG / 5 ML,pirantel,enlace,2783,Pirantel,exacto,5786,YA_EXISTIA
conflictos,38845,TANTUN 0.1%,bencidamina,enlace,416,Bencidamina,exacto,62,YA_EXISTIA
conflictos,38860,TIDOR 2% - 0.5%,dorzolamida,enlace,1149,Dorzolamida,exacto,6480,YA_EXISTIA
conflictos,38860,TIDOR 2% - 0.5%,timolol,enlace,4196,Timolol,exacto,1797,YA_EXISTIA
conflictos,38880,TONERVOL 5 MG,nebivolol,enlace,3885,Nebivolol,exacto,1820,YA_EXISTIA
conflictos,38884,TRACEVAL 500 MG - 50 MG,acetaminofén,enlace,34,Acetaminofen,exacto,,YA_EXISTIA
conflictos,38884,TRACEVAL 500 MG - 50 MG,tramadol,enlace,3473,Tramadol,exacto,5004,YA_EXISTIA
conflictos,38885,TRACEVAL 325 MG - 37.5 MG,acetaminofén,enlace,34,Acetaminofen,exacto,,YA_EXISTIA
conflictos,38885,TRACEVAL 325 MG - 37.5 MG,tramadol,enlace,3473,Tramadol,exacto,5004,YA_EXISTIA
conflictos,38896,FLUTIXAIR 250 MCG -25 MCG,fluticasona propionato,enlace,1498,Fluticasona Propionato,exacto,4951,YA_EXISTIA
conflictos,38896,FLUTIXAIR 250 MCG -25 MCG,salmeterol,enlace,3113,Salmeterol,exacto,5972,YA_EXISTIA
conflictos,38908,ULTAMYN 750 MG,levofloxacino,enlace,2067,Levofloxacino,exacto,6358,YA_EXISTIA
conflictos,38938,VASSLUTEN HCT 300 MG - 12.5 MG,irbesartán,enlace,1912,Irbesartan,exacto,1971,YA_EXISTIA
conflictos,38938,VASSLUTEN HCT 300 MG - 12.5 MG,hidroclorotiazida,enlace,1739,Hidroclorotiazida,exacto,1555,YA_EXISTIA
conflictos,38939,VASSLUTEN HCT 150 MG - 12.5 MG,irbesartán,enlace,1912,Irbesartan,exacto,1971,YA_EXISTIA
conflictos,38939,VASSLUTEN HCT 150 MG - 12.5 MG,hidroclorotiazida,enlace,1739,Hidroclorotiazida,exacto,1555,YA_EXISTIA
conflictos,38971,VITADYN C 500 MG,ácido ascórbico,enlace,308,Ascorbico Acido,tokens_agnostico_orden,,YA_EXISTIA
conflictos,38972,VITADYN C 500 MG,ácido ascórbico,enlace,308,Ascorbico Acido,tokens_agnostico_orden,,YA_EXISTIA
conflictos,38975,VITENOL CREMA,vitamina A,enlace,3724,Vitamina A,exacto,6805,YA_EXISTIA
conflictos,38976,VIZERUL 75 MG,ranitidina,enlace,2971,Ranitidina,exacto,116,YA_EXISTIA
conflictos,38977,VIZERUL 75 MG,ranitidina,enlace,2971,Ranitidina,exacto,116,YA_EXISTIA
conflictos,38978,VIZERUL 150 MG / 10 ML,ranitidina,enlace,2971,Ranitidina,exacto,116,YA_EXISTIA
conflictos,38979,VOLCOFEN 75 MG / 3 ML,diclofenaco sódico,enlace,1076,Diclofenaco Sodico,exacto,2675,YA_EXISTIA
conflictos,38991,ZILDON 10 MG,donepezilo,enlace,4026,Donepezilo,exacto,5588,YA_EXISTIA
conflictos,39002,ZOST 50 MG,sildenafilo,enlace,3165,Sildenafilo,exacto,2984,YA_EXISTIA
conflictos,39003,ZOST 50 MG,sildenafilo,enlace,3165,Sildenafilo,exacto,2984,YA_EXISTIA
conflictos,39004,ZOST 50 MG,sildenafilo,enlace,3165,Sildenafilo,exacto,2984,YA_EXISTIA
conflictos,39649,ATAPEC 100 MG,quetiapina,enlace,2948,Quetiapina,exacto,5281,YA_EXISTIA
revision,38075,FERGANIC 40 MG,Hierro (como Sulfato Ferroso),enlace,1781,Hierro (ii) Sulfato,alias_cima,,YA_EXISTIA
revision,38076,FERGANIC 40 MG,Hierro (como Sulfato Ferroso),enlace,1781,Hierro (ii) Sulfato,alias_cima,,YA_EXISTIA
revision,38077,FERGANIC 40 MG,Hierro (como Sulfato Ferroso),enlace,1781,Hierro (ii) Sulfato,alias_cima,,YA_EXISTIA
revision,38078,FERGANIC 20 MG / ML,Hierro (como Sulfato Ferroso),enlace,1781,Hierro (ii) Sulfato,alias_cima,,YA_EXISTIA
revision,38082,FERGANIC 40 MG / 15 ML,Hierro (como Sulfato Ferroso),enlace,1781,Hierro (ii) Sulfato,alias_cima,,YA_EXISTIA
revision,38083,FERGANIC 100 MG / 5 ML,Hierro (como Sulfato Ferroso),enlace,1781,Hierro (ii) Sulfato,alias_cima,,YA_EXISTIA
revision,39550,NEMAX 16% - 6%,Fosfato de Sodio Monobásico,enlace,1535,Fosfato Monosodio Dihidrato,alias_cima,,YA_EXISTIA
revision,38133,FOSFOLIT 21.6 G - 8.1 G / 45 ML SOLUCION ORAL,Fosfato Monosódico,enlace,1535,Fosfato Monosodio Dihidrato,alias_cima,,YA_EXISTIA
revision,38491,MILAX 50 % X 20 SOLUCION ORAL,Macrogol,enlace,2154,Macrogol 3350,alias_cima,400,YA_EXISTIA
