producto_id,sku,nombre_comercial,nucleo,molecula,forma,laboratorio
37614,ME26069,CLORHIDRATO DE BROMEXINA 8 MG / 5 ML JARABE.,CLORHIDRATO DE BROMEXINA,Bromhexina,JARABE,"LABORATORIOS SPEFAR VENEZOLANOS, S.A."
37615,ME40260,BROMEXINA CLORHIDRATO 4 MG / 5 ML JARABE,BROMEXINA CLORHIDRATO,,JARABE,"SM PHARMA, C.A."
37624,ME29895,BRUGESIC PLUS 600 MG X 10 POLVO PARA SOLUCION ORAL,BRUGESIC PLUS,Ibuprofeno,POLVO PARA RECONSTITUCION,"LABORATORIOS ELMOR, S.A."
37634,ME43035/2,BUTAL 8 MG X 10 TABLETAS RECUBIERTAS,BUTAL,Betahistina,TABLETAS,LABORATORIOS SIEGFRIED S.A.
37637,ME30197,CALCIBON 200 MG X 30 TABLETAS RECUBIERTOS,CALCIBON,,TABLETAS,LABORATORIOS FARMA S.A.
37638,ME42932/4,VITAMINA C - ZINC 500 MG - 15 MG X 60 TABLETAS MASTICABLES SABOR A MANDARINA,VITAMINA C - ZINC,Ascorbico Acido - Zinc,TABLETAS,BIONUTREC S.A.S.
37639,ME42932/3,VITAMINA C - ZINC 500 MG - 15 MG X 30 TABLETAS MASTICABLES SABOR A MANDARINA,VITAMINA C - ZINC,Ascorbico Acido - Zinc,TABLETAS,BIONUTREC S.A.S.
37640,ME42932/2,VITAMINA C - ZINC 500 MG - 15 MG X 10 TABLETAS MASTICABLES SABOR A MANDARINA,VITAMINA C - ZINC,Ascorbico Acido - Zinc,TABLETAS,BIONUTREC S.A.S.
37768,ME33790,CALCITREX D3 1500 MG - 200 UI X 30 TABLETAS,CALCITREX,,TABLETAS,"LABORATORIOS L.O. OFTALMI, C.A."
37648,ME25320,CAMPAL 50 MG X 20 TABLETAS ENTERICAS,CAMPAL,,TABLETAS,LABORATORIOS SIEGFRIED S.A.
37650,ME40363/2,CANDER HCT 16 MG - 12.5 MG X 10 TABLETAS,CANDER HCT,,TABLETAS,"LABORATORIOS VALMOR, C.A."
37655,ME43341,CANDESARTAN CILETEXILO – HIDROCLOROTIAZIDA 8 MG – 12.5 MG TABLETAS RECUBIERTAS,CANDESARTAN CILETEXILO – HIDROCLOROTIAZIDA,,TABLETAS,MASCOT HEALTH SERIES PVT. LTD.
37665,ME40335,CANFIR 500 MG X 30 COMPRIMIDOS RECUBIERTOS DE LIBERACION PROLONGADA,CANFIR,,COMPRIMIDOS,"LABORATORIOS LETI, S.A.V."
37668,MI1290,OXIGENO MEDICINAL,OXIGENO MEDICINAL,,,"AGA GAS, C.A."
37682,ME33422/2,CARBATIL 12.5 MG X 10 TABLETAS,CARBATIL,Carvedilol,TABLETAS,"BIOTECH LABORATORIOS, C.A."
37717,HO43171,CEFOPERAZONA - SULBACTAM 1 G - 0.5 G X 1 AMPOLLA,CEFOPERAZONA - SULBACTAM,Sulbactam,INYECTABLE,"REYOUNG PHARMACEUTICAL CO., LTD"
37718,ME43917,CEFOTAS 500 MG X 20 CAPSULAS,CEFOTAS,Cefadroxilo,CAPSULAS,SYNTOFARMA S.A.
39452,ME44040,CEFOTAS 250 MG / 5 ML POLVO PARA SUSPENSION ORAL,CEFOTAS,Cefadroxilo,POLVO PARA RECONSTITUCION,SYNTOFARMA S.A.
39133,ME43851,CETERIX 10 MG COMPRIMIDOS,CETERIX,Cetirizina,COMPRIMIDOS,MEGALABS S.A.
37726,ME31148,CETIRIZINA DICLORHIDRATO 10 MG X 10 TABLETAS RECUBIERTAS,CETIRIZINA DICLORHIDRATO,Cetirizina,TABLETAS,"CALOX INTERNATIONAL, C.A."
37742,HO9190,CIFARCAINA AL 2 % X 2 AMPOLLAS,CIFARCAINA AL,,INYECTABLE,"LABORATORIO BEHRENS, C.A."
37743,HO9189,CIFARCAINA AL 1 % SOLUCION INYECTABLE,CIFARCAINA AL,,INYECTABLE,"LABORATORIO BEHRENS, C.A."
37749,ME39629,PROFITIP 100 MG X 30 TABLETAS,PROFITIP,,TABLETAS,MACLEODS PHARMACEUTICALS LTD
37754,HO44679,CIPROFLOXACINA INFUSION 0.2 G / 100 ML SOLUCION PARA INFUSION INTRAVENOSA,CIPROFLOXACINA INFUSION,Ciprofloxacino,INYECTABLE,U SQUARE LIFESCIENCE PVT. LTD.
37766,ME36822/3,CITRATO DE CALCIO 1190 MG X 60 TABLETAS MASTICABLES SABOR A MANDARINA,CITRATO DE CALCIO,,TABLETAS,"CALOX INTERNATIONAL, C.A."
