id,sku,nombre_comercial,foto_url
37564,ME33045/3,BENZODIAZOL 0.25 MG - 5 MG X 16 PASTILLAS SABOR A TUTTI FRUTTI,
37565,ME38253,BEPRODERM 0.05 % - 0.1 % CREMA,
37568,HO16114,BETAGEN 4 MG / ML X 1 AMPOLLA,
37569,HO34949,BETAGEN 12 MG / 3 ML X 1 AMPOLLA,
37577,ME41747,BIOCOR AMLO 20 MG - 5 MG X 30 TABLETAS RECUBIERTAS,
37578,ME41748,BIOCOR AMLO 40 MG - 5 MG X 30 TABLETAS RECUBIERTAS,
37579,ME41691,BIOCOR 40 MG X 30 TABLETAS RECUBIERTAS,
39098,ME41690,BIOCOR 20 MG X 30 TABLETAS RECUBIERTAS,
37580,ME38247/2,BIOTALOL 2.5 MG X 10 COMPRIMIDOS RECUBIERTOS,
37581,ME38247/3,BIOTALOL 2.5 MG X 30 COMPRIMIDOS RECUBIERTOS,
37582,ME42096,BIOTALOL 1.25 MG X 30 COMPRIMIDOS RECUBIERTOS,
37583,ME38403,BIOTALOL 10 MG X 30 COMPRIMIDOS RECUBIERTOS,
37584,ME28126,BIPRIN 300 MG X 10 CAPSULAS BLANDAS,
37585,ME44259/3,BIPROLIL HCT 5 MG - 6.25 MG X 30 COMPRIMIDOS RECUBIERTOS,
37596,ME40147/2,BLOCAX PLUS 16 MG - 12.5 MG X 10 TABLETAS,
37597,ME40147/3,BLOCAX PLUS 16 MG - 12.5 MG X 30 TABLETAS,
37598,ME41273/2,BLOCAX 8 MG X 10 TABLETAS,
37599,ME41273/3,BLOCAX 8 MG X 30 TABLETAS,
37600,ME22761,BLOKIUM 100 MG X 30 COMPRIMIDOS,
37601,ME35863,BRASARTAN 80 MG X 30 TABLETAS RECUBIERTAS,
39115,ME41912,BRASARTAN 80 MG X 30 CAPSULAS,
37603,ME42224/3,BRASARTAN CTDN 80 MG - 12.5 MG X 30 TABLETAS RECUBIERTAS,
37605,ME22276,BREINOX 800 MG X 30 TABLETAS,
37606,ME43812/2,BRESIS 600 MG X 20 COMPRIMIDOS RECUBIERTOS,
37607,ME43812/3,BRESIS 600 MG X 30 COMPRIMIDOS RECUBIERTOS,
37608,ME21818,BREXIN 100 MG / ML SOLUCION ORAL,
37610,ME43576,BROFLEMA 4 MG - 5 ML JARABE,
37611,ME40082,BROLAT 5 MG - 30 MG X 10 TABLETAS,
37619,ME41040,BRUDOL 200 MG - 65 MG X 20 COMPRIMIDOS RECUBIERTOS,
37620,ME40856,BRUDOL 400 MG - 65 MG X 20 COMPRIMIDOS RECUBIERTOS,
37621,ME19149,BRUGESIC 400 MG X 10 COMPRIMIDOS,
37623,ME40290,BRUGESIC FORTE 800 MG X 10 COMPRIMIDOS,
37625,ME41132,BUCOXOLGAR 3 MG - 1 MG X 12 TABLETAS MASTICABLES SABOR A MIEL LIMON,
39590,ME41676,BUCOXOLGAR 0.15 % - 0.25 % SOLUCION TOPICA BUCAL ATOMIZADORA SABOR A MENTA FRESCA,
37626,ME30917,BUDECORT 1 MG / ML SUSPENSION PARA INHALAR,
37627,ME44539,BUDEQUIT 1 MG / ML SUSPENSION PARA INHALACION ORAL,
37628,HO24616,BUMELEX 0.5 MG / 2 ML X 3 AMPOLLAS,
37629,ME22582/3,BUMELEX 1 MG X 30 COMPRIMIDOS,
37630,ME22582/2,BUMELEX 1 MG X 16 COMPRIMIDOS,
37631,ME32358,BUMETIN RETARD 300 MG X 20 TABLETAS DE LIBERACION PROLONGADA,
37633,ME43035/3,BUTAL 8 MG X 20 TABLETAS RECUBIERTAS,
37636,ME37532,CABERTRIX 0.5 MG X 4 COMPRIMIDOS,
37641,ME34121,CALCITREX D3 950 MG - 200 UI X 30 TABLETAS,
37642,ME30823/2,CALMOX 15 MG X 10 TABLETAS,
37643,ME30823/3,CALMOX 15 MG X 20 TABLETAS,
37644,ME30822,CALMOX 7.5 MG X 10 TABLETAS,
37645,ME36763/2,CALOXPIRINA 81 MG X 30 TABLETAS ENTERICAS,
37646,ME36763/3,CALOXPIRINA 81 MG X 100 TABLETAS ENTERICAS,
37647,ME43646,CAMPAL 1 % GEL,
37649,ME40363/3,CANDER HCT 16 MG - 12.5 MG X 30 TABLETAS,
37651,ME41061/3,CANDER 32 MG X 30 TABLETAS,
37652,ME41061/2,CANDER 32 MG X 15 TABLETAS,
37653,ME37346/2,CANDER 8 MG X 10 TABLETAS,
37659,ME35007/3,CANDESARTAN CILEXETIL 16 MG X 28 TABLETAS,
37660,ME35007/2,CANDESARTAN CILEXETIL 16 MG X 10 TABLETAS,
37661,ME35007/4,CANDESARTAN CILEXETIL 16 MG X 30 TABLETAS,
37662,ME35006,CANDESARTAN CILEXETIL 8 MG X 28 TABLETAS,
37664,ME42861,CANDETIQUE 16 MG X 30 TABLETAS,
37666,ME43829,CANTIP 16 MG X 30 COMPRIMIDOS,
37681,ME33422/3,CARBATIL 12.5 MG X 30 TABLETAS,
37683,ME33523,CARBATIL 6.25 MG X 30 TABLETAS,
37686,ME31896,CARDIPIRINA 80 MG X 30 CAPSULAS CON MICROGRANULOS CON CUBIERTA ENTERICA,
37687,ME39963,CARIBAN 10 MG-10 MG X 30 COMPRIMIDOS ENTERICOS,
37688,ME38877,CARNISIN 1 G / 10 ML SOLUCION ORAL LIBRE DE AZUCAR,
37689,ME33780,CARVEDIL 12.5 MG X 30 TABLETAS RECUBIERTAS,
37703,ME23270,CEBION 1 G X 10 TABLETAS EFERVESCENTES SABOR A NARANJA,
37710,HO25482,CEFALOTINA 1 G X 10 AMPOLLAS,
37716,ME27816,CEFONAX 500 MG X 16 CAPSULAS,
37721,ME38332,CELAY 5 MG / 5 ML SOLUCION ORAL,
37723,ME44307,CELESTREN 0.075 MG X 28 TABLETAS RECUBIERTAS,
37724,ME43858,CETERIX 5 MG / 5 ML SOLUCION ORAL,
37725,ME44376,CETIDEX 5 MG / 5 ML SOLUCION ORAL,
37731,ME37217,CETRAL D 5 MG - 60 MG / 5 ML SOLUCION ORAL,
37732,ME29123,CETRAL 10 MG / ML SOLUCION ORAL,
37733,ME29095,CETRAL 10 MG X 10 TABLETAS,
39137,ME32977,CETRAL 5 MG / 5 ML SOLUCION ORAL,
37736,ME33112,CIALIS 20 MG X 1 COMPRIMIDO RECUBIERTO,
37737,HO41522/2,CIATAL 500 MG / 2 ML X 1 AMPOLLA,
37738,HO41522/3,CIATAL 500 MG / 2 ML X 9 AMPOLLAS,
37740,HO36631,CICLOKAN 500 MG / 5 ML X 1 AMPOLLA,
37741,ME41819,CICLOKAN 500 MG X 21 COMPRIMIDOS RECUBIERTOS,
37746,ME24520,CINAREN 75 MG X 20 CAPSULAS,
37747,ME24519,CINAREN 25 MG X 30 COMPRIMIDOS,
37750,ME25520,CIPROFLOX 500 MG X 12 TABLETAS RECUBIERTAS,
37772,ME23978/2,CLENBUNAL 0.020 MG X 10 COMPRIMIDOS,
37773,ME23978/3,CLENBUNAL 0.020 MG X 20 COMPRIMIDOS,
37779,ME25351,CLENBUNAL 0.01 MG / 5 ML JARABE,
37780,ME42462,CLENOSAN 90 MG X 30 COMPRIMIDOS RECUBIERTOS,
37781,ME41052,CLINAC 1 % - 5 % GEL,
37785,ME17975,CLODOXIN 10 MG - 100 MG X 10 COMPRIMIDOS RECUBIERTOS,
37786,ME29523,CLOFEN 100 MG X 10 CAPSULAS DE ACCION PROLONGADA,
37790,ME42084,CLONATRIL 1 MG X 30 COMPRIMIDOS,
37791,ME33201,CLONATRIL 2 MG X 30 COMPRIMIDOS,
37796,ME22956,CLONIPRES 0.150 MG X 20 COMPRIMIDOS,
37798,ME40816,CLONZEP 0.5 MG X 30 TABLETAS,
37799,ME40818,CLONZEP 2 MG X 30 TABLETAS,
37800,ME39070,CLOPIDEX 75 MG X 30 TABLETAS RECUBIERTAS,
37808,ME37160,CLOPIVAL 75 MG X 30 TABLETAS RECUBIERTAS,
37809,ME43778,CLOPTAN 75 MG X 30 TABLETAS RECUBIERTAS,
37811,ME29690/3,CLORACE 500 MG - 4 MG X 20 TABLETAS,
37812,ME29690/2,CLORACE 500 MG - 4 MG X 10 TABLETAS,
37813,ME43777,CLORACOLD 30 MG - 5 MG / 5 ML SOLUCION ORAL,
37815,ME43585/2,DOPALEN 200 MG X 10 CAPSULAS DE LIBERACION PROLONGADA,
37826,ME41502,CODEBROMIL PLUS 15 MG - 3 MG / 15 ML JARABE,
37828,ME33110,COLFENE 400 MG - 4 MG X 10 COMPRIMIDOS RECUBIERTOS,
37829,ME39320,COLFENE 600 MG - 4 MG X 15 COMPRIMIDOS RECUBIERTOS,
37833,ME23524,COLVAL 4 MG X 12 COMPRIMIDOS,
39156,HO23451,COLVAL 4 MG / 2 ML X 2 AMPOLLAS,
37834,ME32060,COLYPAN 200 MG X 10 TABLETAS,
37836,ME34013,CONEXINE 50 MG X 30 COMPRIMIDOS RECUBIERTOS,
37837,ME43002,CONTRADOL 100 MG / ML SOLUCION ORAL,
37838,ME28460,CORAZEM 60 MG X 20 TABLETAS RECUBIERTAS,
37839,ME40574,CORBIS 10 MG X 30 COMPRIMIDOS RECUBIERTOS,
37840,ME42767,CORBIS 5 MG X 30 COMPRIMIDOS RECUBIERTOS,
37843,ME39494/2,CORENTEL 1.25 MG X 10 COMPRIMIDOS RECUBIERTOS,
37845,ME35620/3,CORENTEL 5 MG X 30 COMPRIMIDOS RECUBIERTOS,
37846,ME35620/2,CORENTEL 5 MG X 10 COMPRIMIDOS RECUBIERTOS,
39163,ME42233,COROPRES HCT 32 MG - 12.5 MG COMPRIMIDOS,
37849,ME35926,COROPRES 8 MG X 30 COMPRIMIDOS,
39162,ME35927,COROPRES 16 MG COMPRIMIDOS,
37851,ME31743,COVENTROL 6.25 MG X 30 COMPRIMIDOS,
37852,ME41808/2,CRISOMET 50 MG - 500 MG X 10 TABLETAS RECUBIERTAS,
37853,ME41808/3,CRISOMET 50 MG - 500 MG X 30 TABLETAS RECUBIERTAS,
39165,ME41809/2,CRISOMET 50 MG - 850 MG X 10 TABLETAS RECUBIERTAS,
39166,ME41809/3,CRISOMET 50 MG - 850 MG X 30 TABLETAS RECUBIERTAS,
37854,ME37867,CRISPLUS 120 MG X 30 CAPSULAS,
37855,ME35933/2,CURPINOL 6.25 MG X 10 COMPRIMIDOS,
37856,ME35933/3,CURPINOL 6.25 MG X 30 COMPRIMIDOS,
39167,ME36263,CURPINOL 12.5 MG COMPRIMIDOS,
39168,ME36264,CURPINOL 25 MG COMPRIMIDOS,
37857,ME27157/2,CYPRAL 500 MG X 14 TABLETAS RECUBIERTAS,
37858,ME27157/3,CYPRAL 500 MG X 20 TABLETAS RECUBIERTAS,
37859,ME27452,CYPRAL 750 MG X 6 TABLETAS RECUBIERTAS,
37860,ME42913,DALCITRIN 2 % UNGUENTO,
37861,ME24979,DALPAS 5 MG X 30 TABLETAS,
37862,ME30715/2,DALTAZEN 60 MG X 10 COMPRIMIDOS,
37863,ME30715/3,DALTAZEN 60 MG X 20 COMPRIMIDOS,
37868,ME21267/3,DECOBEL 0.5 MG X 30 TABLETAS,
37869,HO20294,DECOBEL 8 MG / 2 ML SOLUCION INYECTABLE,
37870,ME42577,DEFLARIN 6 MG X 10 COMPRIMIDOS,
37876,ME34903,DENCOFEN 1.16 % CREMA EN BASE GEL,
37878,ME38371,DENUAL 150 MG X 1 COMPRIMIDO RECUBIERTO,
37879,ME43769,DEPOFEM 150MGML X 1 AMPOLLA,
37880,ME25685,DERAIN 15 % CREMA,
37881,ME37124,DERMACORTINE 0.1 % CREMA,
37883,ME41291,DERMAZOL 0.05 % LOCION CAPILAR,
39174,ME40804,DERMAZOL 0.05 % UNGUENTO,
39175,ME40790,DERMAZOL 0.05 % CREMA,
37884,ME38114,DERMOSUPRIL C 0.1 % - 3 % CREMA TOPICA,
37885,ME21432,DERMOVATE 0.05 % CREMA,
37886,ME41984,DEROVIT 1000 UI X 30 CAPSULAS BLANDAS,
37889,ME36632,DESLER 5 MG X 10 TABLETAS RECUBIERTAS,
37890,ME34405/2,DESLORAT 5 MG X 10 TABLETAS RECUBIERTAS,
37891,ME34405/3,DESLORAT 5 MG X 20 TABLETAS RECUBIERTAS,
37897,ME44106,DESONIDA 0.1 % CREMA,
37898,ME44013,DESTREL 75 MCG X 28 COMPRIMIDOS RECUBIERTOS,
37909,ME42537,DEXTROMETORFANO 15 MG / 5 ML JARABE,
37911,HO39066,DEXTROSA 50 % SOLUCION INYECTABLE IV,
37914,ME38358,DIAFORMINA 1000 MG X 30 COMPRIMIDOS RECUBIERTOS,
37915,ME30872,DIAFORMINA 500 MG X 30 COMPRIMIDOS RECUBIERTOS,
37916,HO33474/2,DIAGESIC 75 MG / 3 ML X 1 AMPOLLA,
37917,HO33474/3,DIAGESIC 75 MG / 3 ML X 2 AMPOLLAS,
37920,ME25910,DIARONA 200 MG X 10 TABLETAS,
37923,ME36464,DICLODEX 50 MG X 20 TABLETAS RECUBIERTAS,
37936,ME39086,DIECAPS 120 MG X 30 CAPSULAS,
37937,ME40899,DIECAPS 60 MG X 30 CAPSULAS,
37940,ME27774,DIFENAC 1 % GEL,
39483,ME24522,DIFENAC 100 MG X 10 COMPRIMIDOS RECUBIERTOS,
37941,ME41496,DIGLET 1000 U.I. X 30 COMPRIMIDOS ORODISPERSABLES,
37942,ME42648,DIGLET 5000 U.I. X 10 COMPRIMIDOS RECUBIERTOS,
37943,ME42496,DIGLET 200 UI SOLUCION ORAL,
37944,ME32831,DIKLASON 100 MG X 20 COMPRIMIDOS DE ACCION PROLONGADA,
37947,ME27240,DILOTEX 5 MG X 30 COMPRIMIDOS,
37948,ME27234,DILOTEX 10 MG X 10 COMPRIMIDOS,
37958,HO30051,DIPIDOL 500 MG / ML X 3 AMPOLLAS,
37959,ME42021,DIPLOZ 1 MG X 30 TABLETAS RECUBIERTAS,
37961,ME30873,DOBET 2 % - 0.5 % SOLUCION OFTALMICA,
37962,ME40299/3,DOBRACID 300 MG X 30 COMPRIMIDOS RECUBIERTOS DE LIBERACION PROLONGADA,
37963,ME40299/2,DOBRACID 300 MG X 10 COMPRIMIDOS RECUBIERTOS DE LIBERACION PROLONGADA,
37968,ME27426/3,DOLAK 10 MG X 20 COMPRIMIDOS,
