producto_id,nombre,molecula,ref_id,ref_nombre,metodo,atc_id,conflictua_con_otra_lista
37570,BETAGEN SOLSPEN X 1 AMPOLLA,Betametasona,458,Betametasona,exacto,6450,no
37575,BEXILON 4 MG / 5 ML,Bromhexina,530,Bromhexina,exacto,6110,no
37609,BROFLEMA 8 MG / 5 ML,Bromhexina,530,Bromhexina,exacto,6110,no
37649,CANDER HCT 16 MG - 12.5 MG,Candesartán,588,Candesartan,exacto,1973,no
37649,CANDER HCT 16 MG - 12.5 MG,Hidroclorotiazida,1739,Hidroclorotiazida,exacto,1555,no
37650,CANDER HCT 16 MG - 12.5 MG,Candesartán,588,Candesartan,exacto,1973,no
37650,CANDER HCT 16 MG - 12.5 MG,Hidroclorotiazida,1739,Hidroclorotiazida,exacto,1555,no
37687,CARIBAN 10 MG-10 MG,Clorfeniramina,847,Clorfeniramina,exacto,2282,no
37687,CARIBAN 10 MG-10 MG,Codeína,893,Codeina,exacto,6135,no
37703,CEBION 1 G,Vitamina C (Ácido Ascórbico),308,Ascorbico Acido,alias_cima,,no
37768,CALCITREX D3 1500 MG - 200 UI,Calcio,571,Calcio,exacto,93,no
37768,CALCITREX D3 1500 MG - 200 UI,Vitamina D3,3735,Vitamina D3,exacto,,no
37785,CLODOXIN 10 MG - 100 MG,Clordiazepóxido,842,Clordiazepoxido,exacto,5313,no
37785,CLODOXIN 10 MG - 100 MG,Amitriptilina,209,Amitriptilina,exacto,5462,no
37810,CLORACE 125 - 0.5 MG / 5 ML,Clorfeniramina,847,Clorfeniramina,exacto,2282,no
37810,CLORACE 125 - 0.5 MG / 5 ML,Betametasona,458,Betametasona,exacto,6450,no
37811,CLORACE 500 MG - 4 MG,Clorfeniramina,847,Clorfeniramina,exacto,2282,no
37811,CLORACE 500 MG - 4 MG,Betametasona,458,Betametasona,exacto,6450,no
37812,CLORACE 500 MG - 4 MG,Clorfeniramina,847,Clorfeniramina,exacto,2282,no
37812,CLORACE 500 MG - 4 MG,Betametasona,458,Betametasona,exacto,6450,no
37865,DECA LENTERMINA COMPLEX,Dexametasona,1034,Dexametasona,exacto,6447,no
37866,DECALONA 4 MG / ML,Dexametasona,1034,Dexametasona,exacto,6447,no
37883,DERMAZOL 0.05% LOCION CAPILAR,Clobetasol,816,Clobetasol,exacto,2425,no
37885,DERMOVATE 0.05% CREMA,Clobetasol Propionato,817,Clobetasol Propionato,exacto,4951,no
37886,DEROVIT 1000 UI,Vitamina D (Colecalciferol),901,Colecalciferol,alias_cima,704,no
37908,PREVERAL CON DEXTROMETORFANO,Dextrometorfano,1053,Dextrometorfano,exacto,6140,no
37908,PREVERAL CON DEXTROMETORFANO,Guaifenesina,1694,Guaifenesina,exacto,6096,no
37914,DIAFORMINA 1000 MG,Metformina,2280,Metformina,exacto,598,no
37915,DIAFORMINA 500 MG,Metformina,2280,Metformina,exacto,598,no
37940,DIFENAC 1% GEL,Diclofenaco,1073,Diclofenaco,exacto,2675,no
37941,DIGLET 1000 U.I.,Vitamina D3 (Colecalciferol),901,Colecalciferol,alias_cima,704,no
37942,DIGLET 5000 U.I.,Vitamina D3 (Colecalciferol),901,Colecalciferol,alias_cima,704,no
37943,DIGLET 200 UI,Vitamina D3 (Colecalciferol),901,Colecalciferol,alias_cima,704,no
37944,DIKLASON 100 MG,Diclofenaco,1073,Diclofenaco,exacto,2675,no
37945,DIKLASON BI 150 MG,Diclofenaco,1073,Diclofenaco,exacto,2675,no
37947,DILOTEX 5 MG,Amlodipino,212,Amlodipino,exacto,1879,no
37948,DILOTEX 10 MG,Amlodipino,212,Amlodipino,exacto,1879,no
38012,ERILON 1 MG / ML LOCION,Permetrina,2740,Permetrina,exacto,5817,no
38027,ESMIRTAL 20 MG,Esomeprazol,1310,Esomeprazol,exacto,134,no
38053,EUKENE 40 MG,Olmesartán Medoxomilo,2576,Olmesartan Medoxomilo,exacto,1975,no
38058,EUTEBROL 20 MG,Citalopram,777,Citalopram,exacto,5479,no
38062,EZOLIUM 20 MG,Esomeprazol,1310,Esomeprazol,exacto,134,no
38063,EZOLIUM 40 MG,Esomeprazol,1310,Esomeprazol,exacto,134,no
38065,FARBICIL 1% CREMA,Terbinafina,3348,Terbinafina,exacto,2184,no
38066,FEBRATIC 15 MG / ML,Paracetamol,1,Paracetamol,exacto,18,no
38093,MONOSULPA X 260,Sulfadiazina de Plata,3246,Sulfadiazina Argentica,alias_cima,2349,no
38094,FISIOLIN 0.65%,Cloruro de Sodio,3995,Sodio Cloruro,alias_cima,7330,no
38100,FLAVOL 300 MG,Aciclovir,56,Aciclovir,exacto,2362,no
38105,FLEMIBAR 20 MG - 2500 MG / 5 ML,Ambroxol,181,Ambroxol,exacto,5950,no
38109,FLODONT 0.15%,Clorhexidina,848,Clorhexidina,exacto,6636,SI
38110,FLOMED 0.15% - 0.25%,Clorhexidina,848,Clorhexidina,exacto,6636,SI
38110,FLOMED 0.15% - 0.25%,Benzocaína,443,Benzocaina,exacto,1727,SI
38133,FOSFOLIT 21.6 G - 8.1 G / 45 ML,Fosfato de Sodio,3198,Sodio Fosfato,alias_cima,,SI
38136,FULGRAM 875 MG - 125 MG,Amoxicilina,221,Amoxicilina,exacto,3196,no
38136,FULGRAM 875 MG - 125 MG,Ácido Clavulánico,808,Clavulanico Acido,alias_cima,,no
38152,GENESA 3 MG-20 MCG,Drospirenona,1171,Drospirenona,exacto,2846,no
38152,GENESA 3 MG-20 MCG,Etinilestradiol,1357,Etinilestradiol,exacto,2859,no
38153,GENESA 3 MG-20 MCG,Drospirenona,1171,Drospirenona,exacto,2846,no
38153,GENESA 3 MG-20 MCG,Etinilestradiol,1357,Etinilestradiol,exacto,2859,no
38157,GENURIN 200 MG,Flavoxato,1461,Flavoxato,exacto,2969,no
38163,GLIDAN 80 MG,Gliclazida,1645,Gliclazida,exacto,609,no
38165,GLIFORMIN 850 MG,Metformina,2280,Metformina,exacto,598,no
38172,GLUCOFAGE 500 MG XR,Metformina,2280,Metformina,exacto,598,no
38178,GRATIO 500 MG,Claritromicina,801,Claritromicina,exacto,3365,no
38180,GULAPER 250 MG / 5 ML,Amoxicilina,221,Amoxicilina,exacto,3196,no
38182,GULAPER 100 MG / 5 ML,Amoxicilina,221,Amoxicilina,exacto,3196,no
38183,GYNODERAIN 0.6 G,Metronidazol,2320,Metronidazol,exacto,2719,SI
38189,HEXANTFLEM 250 MG / 5 ML,Amoxicilina,221,Amoxicilina,exacto,3196,SI
38212,IBUN 600 MG,Ibuprofeno,3877,Ibuprofeno,exacto,4605,no
38238,IDOXEN 75 MG,Venlafaxina,3626,Venlafaxina,exacto,5512,no
38239,IDOXEN 150 MG,Venlafaxina,3626,Venlafaxina,exacto,5512,no
38240,ILANA 600 MG,Isotretinoína,1934,Isotretinoina,exacto,2626,SI
38241,ILTUX 20 MG,Olmesartán Medoxomilo,2576,Olmesartan Medoxomilo,exacto,1975,no
38249,FLUTIXAIR 125 MG - 25 MCG / DOSIS,Fluticasona,1496,Fluticasona,exacto,2418,no
38249,FLUTIXAIR 125 MG - 25 MCG / DOSIS,Salmeterol,3113,Salmeterol,exacto,5972,no
38251,IPROXIN 500 MG,Ciprofloxacina,764,Ciprofloxacino,alias_cima,6356,no
38268,KATRIN 30 MG / ML,Ketorolaco,1956,Ketorolaco,exacto,4590,no
38304,KLAS 100 MG,Claritromicina,801,Claritromicina,exacto,3365,no
38317,LENTOCILIN 6.3.3,Penicilina G Sódica,2716,Penicilina G,alias_cima,,SI
38318,LEPRIT 25 MG,Hidroxicina,1770,Hidroxizina,alias_cima,5342,SI
38326,LETISAN 500 MG,Fenofibrato,1431,Fenofibrato,exacto,2031,no
38327,LETISAN 500 MG,Fenofibrato,1431,Fenofibrato,exacto,2031,no
38329,LEVAMOX 750 MG,Levofloxacino,2067,Levofloxacino,exacto,6358,no
38355,LINEZID 2 MG / ML,Linezolid,4043,Linezolid,exacto,7347,no
38356,LIOLACTIL X 20 SOBRES,Lactobacillus rhamnosus,1978,Lactobacillus Rhamnosus,exacto,,SI
38358,LIPACOMB 40 MG - 10 MG,Atorvastatina,329,Atorvastatina,exacto,2018,SI
38358,LIPACOMB 40 MG - 10 MG,Ezetimiba,1379,Ezetimiba,exacto,2080,SI
38364,LISOMUCIN 4 MG / 5 ML,Carbocisteína,613,Carbocisteina,exacto,6111,no
38365,LISOMUCIN 8 MG / 5 ML,Carbocisteína,613,Carbocisteina,exacto,6111,no
38368,LODIPIN 10 MG,Amlodipino,212,Amlodipino,exacto,1879,no
38369,LODIPIN VL 10 MG - 160 MG,Amlodipino,212,Amlodipino,exacto,1879,SI
38369,LODIPIN VL 10 MG - 160 MG,Valsartán,3596,Valsartan,exacto,1970,SI
38370,LOFLOX 400 MG,Levofloxacino,2067,Levofloxacino,exacto,6358,no
38371,LOGANIL 250 MG / 5 ML,Cefadroxilo,666,Cefadroxilo,exacto,3258,no
38372,LOGANIL 100 MG / 5 ML,Cefadroxilo,666,Cefadroxilo,exacto,3258,no
38393,LORECORT 1 MG - 0.05 MG / 5 ML,Loratadina,2125,Loratadina,exacto,6257,no
38393,LORECORT 1 MG - 0.05 MG / 5 ML,Betametasona,458,Betametasona,exacto,6450,no
38413,LOWPRES 150 MCG / ML,Desmopresina,1026,Desmopresina,exacto,3050,no
38432,MAXIFUR 50 MG,Nitrofurantoína,2518,Nitrofurantoina,exacto,3455,no
38437,MELIGEN 10 MG,Montelukast,2375,Montelukast,exacto,6078,SI
38491,MILAX 50%,Lactulosa,1987,Lactulosa,exacto,396,SI
38492,MIOVIT COMPOSITUM CON LIDOCAINA,Lidocaína,2081,Lidocaina,exacto,1297,SI
38493,MIOVIT COMPOSITUM CON LIDOCAINA,Lidocaína,2081,Lidocaina,exacto,1297,SI
38494,MIOVIT COMPOSITUM CON LIDOCAINA,Lidocaína,2081,Lidocaina,exacto,1297,SI
38507,MONTRAX 10 MG,Montelukast,2375,Montelukast,exacto,6078,no
38508,MONTRAX 10 MG,Montelukast,2375,Montelukast,exacto,6078,no
38509,MONTRAX 4 MG,Montelukast,2375,Montelukast,exacto,6078,no
38510,MONTRAX 5 MG,Montelukast,2375,Montelukast,exacto,6078,no
38511,MONTRAX 5 MG,Montelukast,2375,Montelukast,exacto,6078,no
38515,MOXIDEX 0.5 -0.1%,Moxifloxacino,2384,Moxifloxacino,exacto,6360,SI
38515,MOXIDEX 0.5 -0.1%,Dexametasona,1034,Dexametasona,exacto,6447,SI
38519,MUCLAR 30 MG - 5 MG,Ambroxol,181,Ambroxol,exacto,5950,no
38519,MUCLAR 30 MG - 5 MG,Carbocisteína,613,Carbocisteina,exacto,6111,no
38520,MUCOBROL 4 MG / 5 ML,Bromhexina,530,Bromhexina,exacto,6110,no
38523,MULTIDERM 2% UNGUENTO,Mupirocina,2388,Mupirocina,exacto,5901,no
38526,MUVETT 300 MG,Trimebutina,3514,Trimebutina,exacto,173,no
38529,NACLODIN 0.150 MG,Clonidina,829,Clonidina,exacto,6460,no
38530,NAFINA 1% CREMA,Terbinafina,3348,Terbinafina,exacto,2184,no
38545,NEULEVAL 500 MG,Levetiracetam,2056,Levetiracetam,exacto,5164,no
38546,NEULEVAL 750 MG,Levetiracetam,2056,Levetiracetam,exacto,5164,no
38557,NIPE PLUS,Nistatina,2515,Nistatina,exacto,51,SI
38557,NIPE PLUS,Neomicina,2433,Neomicina,exacto,1177,SI
38576,NOTOLAC 20 MG,Ketorolaco,1956,Ketorolaco,exacto,4590,no
38577,NOTOLAC 20 MG,Ketorolaco,1956,Ketorolaco,exacto,4590,no
38584,OFAFLAN 2 MG / ML,Metamizol (Dipirona),2271,Metamizol,alias_cima,5041,SI
38585,OFTERRA UNGUENTO OFTALMICO,Tobramicina,3442,Tobramicina,exacto,3385,SI
38585,OFTERRA UNGUENTO OFTALMICO,Dexametasona,1034,Dexametasona,exacto,6447,SI
38588,OLMECAR 40 MG,Olmesartán Medoxomilo,2576,Olmesartan Medoxomilo,exacto,1975,no
38628,OTANOL 50 MG / ML,Clorhexidina,848,Clorhexidina,exacto,6636,SI
38628,OTANOL 50 MG / ML,Benzocaína,443,Benzocaina,exacto,1727,SI
38642,PASIM 10 MG / ML,Metoclopramida,2307,Metoclopramida,exacto,288,SI
38643,PASOLAX,Fosfato de Sodio,3198,Sodio Fosfato,alias_cima,,SI
38653,PEREBRON 28 MG / 5 ML,Dextrometorfano,1053,Dextrometorfano,exacto,6140,SI
38654,PEREBRON 28 MG / 5 ML,Dextrometorfano,1053,Dextrometorfano,exacto,6140,SI
38655,PERIDONT 0.12%,Clorhexidina,848,Clorhexidina,exacto,6636,SI
38657,PERTEN 1%,Permetrina,2740,Permetrina,exacto,5817,SI
38659,PERTEN 1%,Permetrina,2740,Permetrina,exacto,5817,SI
38662,PIMADOL 10 MG,Memantina,2231,Memantina,exacto,5594,SI
38674,OTODON 2% - 5%,Cloranfenicol,838,Cloranfenicol,exacto,3188,SI
38674,OTODON 2% - 5%,Benzocaína,443,Benzocaina,exacto,1727,SI
38677,POTAX 10 MEQ,Citrato de Potasio,789,Citrato Potasio,alias_cima,,SI
38700,PRESIDERM 2% UNGUENTO,Mupirocina,2388,Mupirocina,exacto,5901,no
38701,PREVERAL CON CODEINA,Codeína,893,Codeina,exacto,6135,SI
38701,PREVERAL CON CODEINA,Guaifenesina,1694,Guaifenesina,exacto,6096,SI
38704,PROTOSULFIL 1% CREMA,Sulfadiazina de Plata,3246,Sulfadiazina Argentica,alias_cima,2349,no
38705,PROVICAR 2 G / 10 ML,Pirantel,2783,Pirantel,exacto,5786,SI
38716,OTIRILIN 4% - 1%,Cloranfenicol,838,Cloranfenicol,exacto,3188,SI
38716,OTIRILIN 4% - 1%,Benzocaína,443,Benzocaina,exacto,1727,SI
38731,RINARIS 2.5 MG - 30 MG / 5 ML,Fenilefrina,1419,Fenilefrina,exacto,1326,SI
38731,RINARIS 2.5 MG - 30 MG / 5 ML,Clorfeniramina,847,Clorfeniramina,exacto,2282,SI
38735,RINOMAX 0.25% - 0.125% - 0.25%,Oximetazolina,2622,Oximetazolina,exacto,5850,SI
38735,RINOMAX 0.25% - 0.125% - 0.25%,Difenhidramina,1083,Difenhidramina,exacto,2279,SI
38735,RINOMAX 0.25% - 0.125% - 0.25%,Benzocaína,443,Benzocaina,exacto,1727,SI
38754,ROVARTAL 40 MG,Rosuvastatina,3060,Rosuvastatina,exacto,2020,no
38763,SALBUTAN 100 MCG / DOSIS,Salbutamol,3105,Salbutamol,exacto,5962,no
38764,SARIFAN COMPOSITUM,Paracetamol,1,Paracetamol,exacto,18,SI
38764,SARIFAN COMPOSITUM,Clorfeniramina,847,Clorfeniramina,exacto,2282,SI
38764,SARIFAN COMPOSITUM,Fenilefrina,1419,Fenilefrina,exacto,1326,SI
38794,SILDEX 100 MG,Sildenafil,3165,Sildenafilo,alias_cima,2984,SI
38795,SILDEX 100 MG,Sildenafil,3165,Sildenafilo,alias_cima,2984,SI
38811,SULIXTRA 0.4 MG,Tamsulosina,3293,Tamsulosina,exacto,3009,no
38812,SULIXTRA DUO 0.4 MG - 0.5 MG,Tamsulosina,3293,Tamsulosina,exacto,3009,SI
38812,SULIXTRA DUO 0.4 MG - 0.5 MG,Dutasterida,1177,Dutasterida,exacto,3018,SI
38813,SULIXTRA DUO 0.4 MG - 0.5 MG,Tamsulosina,3293,Tamsulosina,exacto,3009,SI
38813,SULIXTRA DUO 0.4 MG - 0.5 MG,Dutasterida,1177,Dutasterida,exacto,3018,SI
38838,TAMOA 250 MG / 5 ML,Cefadroxilo,666,Cefadroxilo,exacto,3258,SI
38841,TAMSULON 0.4 MG,Tamsulosina,3293,Tamsulosina,exacto,3009,no
38845,TANTUN 0.1%,Bencidamida,415,Bencidamida,exacto,,SI
38858,TIALIN 50 MG,Sertralina,3156,Sertralina,exacto,5481,no
38859,TIALIN 50 MG,Sertralina,3156,Sertralina,exacto,5481,no
38860,TIDOR 2% - 0.5%,Timolol,4196,Timolol,exacto,1797,SI
38860,TIDOR 2% - 0.5%,Dorzolamida,1149,Dorzolamida,exacto,6480,SI
38861,TILODRIN 4 MG / ML,Dextrometorfano,1053,Dextrometorfano,exacto,6140,no
38862,TILODRIN 30 MG / 15 ML,Dextrometorfano,1053,Dextrometorfano,exacto,6140,no
38880,TONERVOL 5 MG,Nebivolol,3885,Nebivolol,exacto,1820,SI
38884,TRACEVAL 500 MG - 50 MG,Acetaminofen,34,Acetaminofen,exacto,,SI
38884,TRACEVAL 500 MG - 50 MG,Tramadol,3473,Tramadol,exacto,5004,SI
38885,TRACEVAL 325 MG - 37.5 MG,Acetaminofen,34,Acetaminofen,exacto,,SI
38885,TRACEVAL 325 MG - 37.5 MG,Tramadol,3473,Tramadol,exacto,5004,SI
38889,TRAMAL LONG 150 MG,Tramadol,3473,Tramadol,exacto,5004,no
38896,FLUTIXAIR 250 MCG -25 MCG,Fluticasona,1496,Fluticasona,exacto,2418,SI
38896,FLUTIXAIR 250 MCG -25 MCG,Salmeterol,3113,Salmeterol,exacto,5972,SI
38908,ULTAMYN 750 MG,Levofloxacino,2067,Levofloxacino,exacto,6358,SI
38910,UROSINA 0.4 MG,Tamsulosina,3293,Tamsulosina,exacto,3009,no
38912,VALPRON 250 MG / 5 ML,Ácido Valproico,3595,Valproico Acido,alias_cima,5150,no
38936,VASPITOR 40 MG,Atorvastatina,329,Atorvastatina,exacto,2018,no
38937,VASPITOR 40 MG,Atorvastatina,329,Atorvastatina,exacto,2018,no
38938,VASSLUTEN HCT 300 MG - 12.5 MG,Irbesartán,1912,Irbesartan,exacto,1971,SI
38938,VASSLUTEN HCT 300 MG - 12.5 MG,Hidroclorotiazida,1739,Hidroclorotiazida,exacto,1555,SI
38939,VASSLUTEN HCT 150 MG - 12.5 MG,Irbesartán,1912,Irbesartan,exacto,1971,SI
38939,VASSLUTEN HCT 150 MG - 12.5 MG,Hidroclorotiazida,1739,Hidroclorotiazida,exacto,1555,SI
38971,VITADYN C 500 MG,Vitamina C (Ácido Ascórbico),308,Ascorbico Acido,alias_cima,,SI
38972,VITADYN C 500 MG,Vitamina C (Ácido Ascórbico),308,Ascorbico Acido,alias_cima,,SI
38975,VITENOL CREMA,Vitamina A,3724,Vitamina A,exacto,6805,SI
38975,VITENOL CREMA,Vitamina E,3736,Vitamina E,exacto,,SI
38976,VIZERUL 75 MG,Venlafaxina,3626,Venlafaxina,exacto,5512,SI
38977,VIZERUL 75 MG,Venlafaxina,3626,Venlafaxina,exacto,5512,SI
38978,VIZERUL 150 MG / 10 ML,Venlafaxina,3626,Venlafaxina,exacto,5512,SI
38979,VOLCOFEN 75 MG / 3 ML,Diclofenaco,1073,Diclofenaco,exacto,2675,SI
38980,VONAU FLASH 4 MG,Ondansetrón,2587,Ondansetron,exacto,301,no
38991,ZILDON 10 MG,Olanzapina,2569,Olanzapina,exacto,5280,SI
38996,ZOLPIDEX 10 MG,Zolpidem,4073,Zolpidem,exacto,7323,no
38997,ZOLPIDEX 10 MG,Zolpidem,4073,Zolpidem,exacto,7323,no
39002,ZOST 50 MG,Tramadol,3473,Tramadol,exacto,5004,SI
39003,ZOST 50 MG,Tramadol,3473,Tramadol,exacto,5004,SI
39004,ZOST 50 MG,Tramadol,3473,Tramadol,exacto,5004,SI
39064,APLACAL 750 MG,Carbonato de Calcio,572,Calcio Carbonato,alias_cima,80,no
39065,APLACAL 750 MG,Carbonato de Calcio,572,Calcio Carbonato,alias_cima,80,no
39066,APLACAL 750 MG,Carbonato de Calcio,572,Calcio Carbonato,alias_cima,80,no
39067,APLACAL 750 MG,Carbonato de Calcio,572,Calcio Carbonato,alias_cima,80,no
39068,APLACAL 750 MG,Carbonato de Calcio,572,Calcio Carbonato,alias_cima,80,no
39069,APLACAL 750 MG,Carbonato de Calcio,572,Calcio Carbonato,alias_cima,80,no
39088,ATROVERAN 10 MG,N-Butil-Bromuro de Hioscina,553,Butilescopolamina Bromuro,alias_cima,237,no
39089,ATROVERAN FORTE 20 MG,N-Butil-Bromuro de Hioscina,553,Butilescopolamina Bromuro,alias_cima,237,no
39104,BIPROLIL 2.5 MG,Bisoprolol,3830,Bisoprolol,exacto,1815,no
39138,CIFARCAINA HIPERBARA AL 5%,Bupivacaína,545,Bupivacaina,exacto,4925,no
39273,KLINCOSAL 262 MG - 100 MG,Metronidazol,2320,Metronidazol,exacto,2719,no
39274,KLINCOSAL 262 MG - 500 MG / 15 ML,Metronidazol,2320,Metronidazol,exacto,2719,no
39275,KLINCOSAL 262 MG - 500 MG / 15 ML,Metronidazol,2320,Metronidazol,exacto,2719,no
39343,PROTOSULFIL 1% POLVO,Sulfadiazina de Plata,3246,Sulfadiazina Argentica,alias_cima,2349,no
39344,CARNITENE 1 G / 10 ML,L-Carnitina,2027,L-carnitina,exacto,5559,no
39418,ACRYLARM 0.2% GEL OFTALMICO,Hialuronato de Sodio,1733,Hialuronico Acido,alias_cima,,no
39540,MAXIFURFORTE 100 MG,Nitrofurantoína,2518,Nitrofurantoina,exacto,3455,no
39547,ACECOL 600 MG,Acetilcisteína,42,Acetilcisteina,exacto,6736,no
39548,ACECOL 600 MG,Acetilcisteína,42,Acetilcisteina,exacto,6736,no
39550,NEMAX 16% - 6%,Fosfato de Sodio Dibásico,1531,Fosfato Disodio,alias_cima,,no
39576,FLUDINAX 0.9%,Cloruro de Sodio,3995,Sodio Cloruro,alias_cima,7330,no
39577,SILVEDERMA 1% CREMA,Sulfadiazina de Plata,3246,Sulfadiazina Argentica,alias_cima,2349,no
39597,UDOX 75 MG,Venlafaxina,3626,Venlafaxina,exacto,5512,no
39635,AGUA OXIG ALVA INYECTABLE,Peróxido de Hidrógeno (Agua Oxigenada),4053,Peroxido De Hidrogeno,alias_cima,30,no
39655,AUGMENTIN BID 875 MG - 125 MG,Amoxicilina,221,Amoxicilina,exacto,3196,no
39655,AUGMENTIN BID 875 MG - 125 MG,Ácido Clavulánico,808,Clavulanico Acido,alias_cima,,no
39696,6 MG X 30 COMPRIMIDOS,Deflazacort,1000,Deflazacort,exacto,3094,no
39698,SODICO 4 MG / 1 ML,Dexametasona Fosfato Sódico,1034,Dexametasona,tokens_agnostico_orden,6447,no
39700,SODICO 8 MG / 2 ML,Dexametasona Fosfato Sódico,1034,Dexametasona,tokens_agnostico_orden,6447,no
39830,PREVERAL DEXTRO REFORM 120 ML,Dextrometorfano,1053,Dextrometorfano,exacto,6140,no
39830,PREVERAL DEXTRO REFORM 120 ML,Guaifenesina,1694,Guaifenesina,exacto,6096,no
39898,ANGIOFLUX 250LSU,Diosmina,1120,Diosmina,exacto,1765,no
39898,ANGIOFLUX 250LSU,Hesperidina,1729,Hesperidina,exacto,1778,no
37396,ALGOREN 10 MG X 20 TABLETAS,propranolol,2912,Propranolol,exacto,1796,no
37455,AMPLIDER 50 MG X 10 CAPSULAS BLANDAS,amilorida,198,Amilorida,exacto,1631,no
37455,AMPLIDER 50 MG X 10 CAPSULAS BLANDAS,hidroclorotiazida,1739,Hidroclorotiazida,exacto,1555,no
37471,ANTAAR 1.25 MG X 10 TABLETAS RECUBIERTAS,indapamida,1845,Indapamida,exacto,1589,no
37470,ANTAAR 1.25 MG X 30 TABLETAS RECUBIERTAS,indapamida,1845,Indapamida,exacto,1589,no
,APIRET 120 MG / 5 ML y APIRET 160 MG / 5 ML,paracetamol,1,Paracetamol,exacto,18,no
37526,ATRIMON 10 MG X 10 COMPRIMIDOS,zolpidem,4073,Zolpidem,exacto,7323,no
37534,AVELOX 400 MG X 5 COMPRIMIDOS RECUBIERTOS,moxifloxacino,2384,Moxifloxacino,exacto,6360,no
37576,BILOL 2.5 MG X 10 TABLETAS RECUBIERTAS,bisoprolol,3830,Bisoprolol,exacto,1815,no
37578,BIOCOR AMLO 40 MG - 5 MG X 30 TABLETAS RECUBIERTAS,bisoprolol,3830,Bisoprolol,exacto,1815,no
37578,BIOCOR AMLO 40 MG - 5 MG X 30 TABLETAS RECUBIERTAS,amlodipino,212,Amlodipino,exacto,1879,no
