producto_id,nombre,sku,fuente,principio_activo,molecula_enlazada,ref_id,atc_id
37867,DECOBEL 0.5 MG X 10 TABLETAS,ME21267/2,INHRR,DEXAMETASONA FOSFATO SÓDICO,Dexametasona,1034,6447
37868,DECOBEL 0.5 MG X 30 TABLETAS,ME21267/3,INHRR,DEXAMETASONA FOSFATO SÓDICO,Dexametasona,1034,6447
37879,DEPOFEM 150MGML X 1 AMPOLLA,ME43769,INHRR,MEDROXIPROGESTERONA ACETATO,Medroxiprogesterona,2213,2842
37880,DERAIN 15 % CREMA,ME25685,INHRR,EXTRACTO ACUOSO DE TRITICUM VULGARE,Azelaico Acido,361,2619
37896,MONTELUKAST - DESLORATADINA 10 MG - 5 MG X 10 TABLETAS RECUBIERTAS,ME43543,INHRR,DESLORATADINA - MONTELUKAST SÓDICO ,Montelukast,2375,6078
37899,DEXAMETASONA 4 MG X 10 COMPRIMIDOS,ME42492/2,INHRR,DEXAMETASONA FOSFATO SÓDICO,Dexametasona,1034,6447
37900,DEXAMETASONA 4 MG X 100 COMPRIMIDOS,ME42492/3,INHRR,DEXAMETASONA FOSFATO SÓDICO,Dexametasona,1034,6447
37903,DEXAMETASONA FOSFATO 8 MG / 2 ML X 1 AMPOLLA,HO43012,INHRR,DEXAMETASONA FOSFATO SÓDICO,Dexametasona,1034,6447
37904,DEXAMETASONA 8 MG / 2 ML X 10 AMPOLLAS,HO42601,INHRR,DEXAMETASONA FOSFATO SÓDICO,Dexametasona,1034,6447
37905,DEXAMETASONA 0.5 MG X 30 TABLETAS,ME26356,INHRR,DEXAMETASONA FOSFATO SÓDICO,Dexametasona,1034,6447
37916,DIAGESIC 75 MG / 3 ML X 1 AMPOLLA,HO33474/2,INHRR,DICLOFENACO POTASICO,Diclofenaco,1073,2675
37917,DIAGESIC 75 MG / 3 ML X 2 AMPOLLAS,HO33474/3,INHRR,DICLOFENACO POTASICO,Diclofenaco,1073,2675
37923,DICLODEX 50 MG X 20 TABLETAS RECUBIERTAS,ME36464,INHRR,DICLOFENAC SODICO,Diclofenaco,1073,2675
37924,DICLOFENAC POT X 6 UNIDADES,MI35435/2,INHRR,DICLOFENACO POTASICO,Diclofenaco,1073,2675
