producto_id,sku,nombre_comercial,nucleo,molecula,forma,laboratorio,motivo
37819,HO1672,SOLUCION ISOTONICA DE CLORURO DE SODIO(SOL.FISIOLOGICA)PARENTERAL,SOLUCION ISOTONICA DE CLORURO DE SODIO(SOL.FISIOLOGICA)PARENTERAL,,INYECTABLE,"LABORATORIOS FLUPAL, C.A.",sin_desc_lab
37823,ME43751,CLOTRIMAZOL 100 MG X 6 OVULOS VAGINALES,CLOTRIMAZOL,Clotrimazol,OVULOS,"LABORATORIOS FARMACEUTICOS LAFAR, S.A. (CIUDAD DE EL ALTO)",sin_desc_lab
37832,ME1491,COLOZIN® (LACTOBACILLUS PLANTARUM - PEDIOCOCCUS ACIDILACTICI) 150 MG (3.0 X 10⁹ UFC) X 30 CAPSULAS,COLOZIN® (LACTOBACILLUS PLANTARUM - PEDIOCOCCUS ACIDILACTICI),,CAPSULAS,"AB-BIOTICS, S.A.",sin_desc_lab
37887,HO44408,DESKEFLAS 50 MG / 2 ML X 3 AMPOLLAS,DESKEFLAS,Dexketoprofeno Trometamol,INYECTABLE,"PSICOFARMA, S.A. DE C.V",sin_desc_lab
37888,ME44407,DESKEFLAS 25 MG X 10 TABLETAS RECUBIERTAS,DESKEFLAS,Dexketoprofeno Trometamol,TABLETAS,"LABORATORIOS ALPHARMA, S.A. DE C.V",sin_desc_lab
37900,ME42492/3,DEXAMETASONA 4 MG X 100 COMPRIMIDOS,DEXAMETASONA,Dexametasona,COMPRIMIDOS,"LABORATORIOS SPEFAR VENEZOLANOS, S.A.",sin_desc_lab
37901,HO42510,DEXAMETASONA FOSFATO SODICO 4 MG / ML SOLUCION INYECTABLE,DEXAMETASONA FOSFATO SODICO,,INYECTABLE,CAPLIN POINT LABORATORIES LIMITED,sin_desc_lab
37902,HO42502,DEXAMETASONA FOSFATO SODICO 8 MG / 2 ML SOLUCION INYECTABLE,DEXAMETASONA FOSFATO SODICO,,INYECTABLE,DEUTSCHE LABS. INC.,sin_desc_lab
37904,HO42601,DEXAMETASONA 8 MG / 2 ML X 10 AMPOLLAS,DEXAMETASONA,Dexametasona,INYECTABLE,"LABORATORIO BIOSANO, S.A.",sin_desc_lab
37908,ME14784,PREVERAL CON DEXTROMETORFANO 6.25 MG-15.00 MG / 5 ML JARABE PEDIATRICO,PREVERAL CON DEXTROMETORFANO,,JARABE,"LABORATORIOS WYETH, S.A.",sin_desc_lab
37913,ME43584,DIACEREINA 50 MG X 10 CAPSULAS,DIACEREINA,Diacereina,CAPSULAS,RONALD PHARMACEUTICALS PVT. LTD.,sin_desc_lab
37919,ME24715,DIANE 35 MCG - 2 MG X 21 GRAGEAS,DIANE,Etinilestradiol,GRAGEAS,UNIAO QUIMICA INTERNACIONAL LTDA.,sin_desc_lab
37924,MI35435/2,DICLOFENAC POT X 6 UNIDADES,DICLOFENAC POT X,Diclofenaco,,LABORATORIO CHILE S.A.,sin_desc_lab
37925,MI35435/3,DICLOFENAC POT X 10 UNIDADES,DICLOFENAC POT X,Diclofenaco,,LABORATORIO CHILE S.A.,sin_desc_lab
37926,MI35435/4,DICLOFENAC POT X 30 UNIDADES,DICLOFENAC POT X,Diclofenaco,,LABORATORIO CHILE S.A.,sin_desc_lab
37927,HO36803/2,DICLOFENACO SODICO 75 MG / 3 ML X 1 AMPOLLA,DICLOFENACO SODICO,Diclofenaco,INYECTABLE,"FARMIONNI SCALPI,S.A.",sin_desc_lab
37928,HO36803/3,DICLOFENACO SODICO 75 MG / 3 ML X 10 AMPOLLAS,DICLOFENACO SODICO,Diclofenaco,INYECTABLE,"FARMIONNI SCALPI,S.A.",sin_desc_lab
37929,ME43045/2,DICLOFENACO POTASICO 50 MG X 10 TABLETAS RECUBIERTAS,DICLOFENACO POTASICO,Diclofenaco,TABLETAS,"JIANGXI XIER KANGTAI PHARMACEUTICAL CO., LTD",sin_desc_lab
37930,ME43045/4,DICLOFENACO POTASICO 50 MG X 30 TABLETAS RECUBIERTAS,DICLOFENACO POTASICO,Diclofenaco,TABLETAS,"JIANGXI XIER KANGTAI PHARMACEUTICAL CO., LTD",sin_desc_lab
37931,ME43045/3,DICLOFENACO POTASICO 50 MG X 20 TABLETAS RECUBIERTAS,DICLOFENACO POTASICO,Diclofenaco,TABLETAS,"JIANGXI XIER KANGTAI PHARMACEUTICAL CO., LTD",sin_desc_lab
37934,ME43099,DICLOFENACO POTASICO 50 MG X 20 TABLETAS CON RECUBRIMIENTO ENTERICO,DICLOFENACO POTASICO,,TABLETAS,VIDA LABORATORIES (P) LIMITED,sin_desc_lab
37957,ME40371,DIOSMINA-HESPERIDINA 450 MG-50 MG COMPRIMIDOS RECUBIERTOS,DIOSMINA-HESPERIDINA,,COMPRIMIDOS,LABORATORIO ELEA PHOENIX S.A.,sin_desc_lab
