producto_id,sku,nombre_comercial,nucleo,molecula,forma,laboratorio,categoria,fuente,gates,url_en_ledger,desc_candidata,foto_candidata,sigla,clave_real,lab_real,lab_nuevo,nota
37957,ME40371,DIOSMINA-HESPERIDINA 450 MG-50 MG COMPRIMIDOS RECUBIERTOS,DIOSMINA-HESPERIDINA,,COMPRIMIDOS,LABORATORIO ELEA PHOENIX S.A.,generico_otro_lab,cobeca,lab_generico,,DIOSMINA/HESPER TAB 450MG/50MG X30 ANG/H,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/52910.jpg,ANG/H,ANG/H,"INVERSIONES ANGELUS HEALTH, C.A.",si,
37974,ME44581/2,DOMPERIDONA 10 MG X 10 TABLETAS,DOMPERIDONA,Domperidona,TABLETAS,ANMOL HEALTHCARE LABORATORY PVT LTD,generico_otro_lab,cobeca,lab_generico,,DOMPERIDONA TAB 10MG X10 KMP,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/53481.jpg,KMP,KMP,"KMPLUS PHARMACEUTICALS, C.A.",si,
37975,ME44581/3,DOMPERIDONA 10 MG X 15 TABLETAS,DOMPERIDONA,Domperidona,TABLETAS,ANMOL HEALTHCARE LABORATORY PVT LTD,generico_otro_lab,cobeca,lab_generico,,DOMPERIDONA TAB 10MG X15 CLX,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/11636.jpg,CLX,CLX,"CALOX INTERNATIONAL, C.A.",no,
37976,ME44581/4,DOMPERIDONA 10 MG X 30 TABLETAS,DOMPERIDONA,Domperidona,TABLETAS,ANMOL HEALTHCARE LABORATORY PVT LTD,generico_otro_lab,cobeca,lab_generico,,DOMPERIDONA TAB 10MG X30 ANG/H,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/21373.jpg,ANG/H,ANG/H,"INVERSIONES ANGELUS HEALTH, C.A.",si,
37984,ME43060,DOXICICLINA 100 MG X 10 CAPSULAS,DOXICICLINA,Doxiciclina Hiclato,CAPSULAS,FLAMINGO PHARMACEUTICALS LTD,generico_otro_lab,cobeca,lab_generico,,DOXICICLINA CAP 100MG X 10 ANGELUS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/28543.jpg,ANGELUS,ANGELUS,"INVERSIONES ANGELUS HEALTH, C.A.",si,
37985,ME20337,DOXICICLINA 100 MG X 10 CAPSULAS,DOXICICLINA,Doxiciclina,CAPSULAS,CALOX INTERNATIONAL C.A.,generico_otro_lab,cobeca,lab_generico,,DOXICICLINA CAP 100MG X 10 ANGELUS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/28543.jpg,ANGELUS,ANGELUS,"INVERSIONES ANGELUS HEALTH, C.A.",si,
38004,ME26416/2,ENALAPRIL 20 MG X 20 TABLETAS,ENALAPRIL,Enalapril,TABLETAS,CALOX INTERNATIONAL C.A.,generico_otro_lab,cobeca,lab_generico,,ENALAPRIL TAB 20MG X20 PHARME,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/7965.jpg,PHARME,PHARME,"LABORATORIO LA SANTE, C.A.",no,
38007,ME44613,ENALAPRIL MALEATO - HIDROCLOROTIAZIDA 20 MG - 12.5 MG TABLETAS,ENALAPRIL MALEATO - HIDROCLOROTIAZIDA,Enalapril - Hidroclorotiazida,TABLETAS,LABORATORIOS KIMICEG C.A.,generico_otro_lab,cobeca,lab_generico,,"ENALAPRIL/HIDROCL TAB 20MG/12,5MG CR MT",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/54045.jpg,CR MT,CR MT,"CASA DE REPRESENTACION MT GLOBAL CARE, C.A.",si,
38014,ME37000,ERITROMICINA 500 MG X 10 TABLETAS RECUBIERTAS,ERITROMICINA,Eritromicina,TABLETAS,GENFAR S.A.,generico_otro_lab,cobeca,lab_generico,,ERITROMICINA TAB 500MG X10 ZUZU,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/52542.jpg,ZUZU,ZUZU,"LABORATORIOS ZUZU, C.A.",si,
38015,ME40959/4,ESCITALOPRAM 10 MG X 56 COMPRIMIDOS RECUBIERTOS,ESCITALOPRAM,Escitalopram,COMPRIMIDOS,MEGALABS S.A.,generico_otro_lab,cobeca,lab_generico,,ESCITALOPRAM COMP 10MG X56 DORO,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/22243.jpg,DORO,DORO,"CASA DE REPRESENTACION DOROPHARMA, C.A.",si,
