id,sku,nombre_comercial,foto_url
37841,ME35619/2,CORENTEL 10 MG X 10 COMPRIMIDOS RECUBIERTOS,
37842,ME35619/3,CORENTEL 10 MG X 30 COMPRIMIDOS RECUBIERTOS,
37844,ME39494/3,CORENTEL 1.25 MG X 30 COMPRIMIDOS RECUBIERTOS,
37847,ME38312/2,COROPRES HCT 16 MG - 12.5 MG X 10 COMPRIMIDOS,
37848,ME38312/3,COROPRES HCT 16 MG - 12.5 MG X 30 COMPRIMIDOS,
37866,HO13931,DECALONA 4 MG / ML X 1 AMPOLLA,
37871,ME37306/2,DEFLAZACORT 30 MG X 10 TABLETAS,
37872,ME37306/3,DEFLAZACORT 30 MG X 30 TABLETAS,
37873,ME37255,DEFLAZACORT 6 MG X 10 TABLETAS,
37877,ME4931,DENCORUB CREMA,
37882,MI37676,DERMACORTINE 0.1 % EMULSION,
37892,ME36268,DESLORATADINA 2.5 MG / 5 ML X 10 JARABE,
37894,ME37996,DESLORATADINA 5 MG X 10 TABLETAS RECUBIERTAS,
37895,ME35486,DESLORATADINA 5 MG X 10 COMPRIMIDOS RECUBIERTOS,
37903,HO43012,DEXAMETASONA FOSFATO 8 MG / 2 ML X 1 AMPOLLA,
37905,ME26356,DEXAMETASONA 0.5 MG X 30 TABLETAS,
37907,ME42573,DEXTAMIN 0.5 MG / ML X 10 SOLUCION ORAL,
37912,ME10432,DI-EUDRIN 50 MG X 30 TABLETAS,
37918,ME35040,DIAGESIC 1.8 MG / ML SUSPENSION ORAL,
37921,ME44533,DICARVEX 25 MG X 30 TABLETAS,
37922,ME43814,DICLODEX 1.8 MG / ML SUSPENSION ORAL,
37933,ME29516,DICLOFENAC SODICO 50 MG TABLETAS RECUBIERTAS,
37950,ME43969/4,DIOSMINA 600 MG X 30 COMPRIMIDOS RECUBIERTOS,
37952,ME43969/3,DIOSMINA 600 MG X 15 COMPRIMIDOS RECUBIERTOS,
37953,ME38177/3,DIOSMINA 600 MG X 28 TABLETAS RECUBIERTAS,
37954,ME38177/2,DIOSMINA 600 MG X 14 TABLETAS RECUBIERTAS,
37998,ME44046,EMPAGLIFLOZINA - LINAGLIPTINA 10 MG - 5 MG X 30 COMPRIMIDOS RECUBIERTOS,
37999,ME44045,EMPAGLIFLOZINA - LINAGLIPTINA 25 MG - 5 MG X 30 COMPRIMIDOS RECUBIERTOS,
38000,ME26688,ENALAPRIL MALEATO 10 MG X 20 COMPRIMIDOS RECUBIERTOS,
38001,ME43620,LERCANIDIPINA CLORHIDRATO – ENALAPRIL MALEATO 10 MG – 20 MG X 30 COMPRIMIDOS RECUBIERTOS,
38002,ME43619,LERCANIDIPINA CLORHIDRATO - ENALAPRIL MALEATO 10 MG - 10 MG X 30 COMPRIMIDOS RECUBIERTOS,
38005,ME26416/3,ENALAPRIL 20 MG X 30 TABLETAS,
38006,ME34824,ENALAPRIL MALEATO 20 MG X 30 TABLETAS,
38012,ME19381,ERILON 1 MG / ML LOCION,
38020,ME40835,ESCITALOPRAM 1 MG / ML SOLUCION ORAL,
38022,ME38504/2,ESCITALOPRAM 10 MG X 28 TABLETAS RECUBIERTAS,
38024,ME41771/2,ESCITALOPRAM 20 MG X 14 TABLETAS RECUBIERTAS,
38033,ME37458/2,ESOMEPRAZOL 20 MG X 16 CAPSULAS CON MICROGRANULOS DE LIBERACION ENTERICA,
38034,ME37458/3,ESOMEPRAZOL 20 MG X 28 CAPSULAS CON MICROGRANULOS DE LIBERACION ENTERICA,
38035,ME38579,ESOMEPRAZOL 20 MG X 20 TABLETAS CON CUBIERTA ENTERICA,
38036,ME35130/3,ESOMEPRAZOL 20 MG X 20 TABLETAS RECUBIERTAS,
38037,ME35130/2,ESOMEPRAZOL 20 MG X 14 TABLETAS RECUBIERTAS,
38045,ME33352/2,ESPIRONOLACTONA 25 MG X 10 TABLETAS,
38046,ME33352/4,ESPIRONOLACTONA 25 MG X 30 TABLETAS,
38047,ME33352/3,ESPIRONOLACTONA 25 MG X 20 TABLETAS,
38051,ME41333,ETORICOXIB 60 MG X 10 TABLETAS RECUBIERTAS,
38052,ME41306,ETORICOXIB 90 MG X 10 TABLETAS RECUBIERTAS,
38066,ME42311,FEBRATIC 15 MG / ML SUSPENSION ORAL,
38078,ME27552,FERGANIC 20 MG / ML SOLUCION ORAL,
38088,ME36163,FEXOFENADINA CLORHIDRATO 180 MG X 10 TABLETAS RECUBIERTAS,
38114,ME27527,FLUCONAZOL 150 MG X 2 CAPSULAS,
38116,ME28339,FLUCONAZOL 150 MG X 2 CAPSULAS,
38117,ME34692,FLUCONAZOL 150 MG X 2 CAPSULAS,
38127,ME28981,FLUOXETINA 20 MG X 14 CAPSULAS,
38137,ME35373,FULGRAM 600 MG - 42.9 MG / 5 ML POLVO PARA SUSPENSION,
38140,ME33438/2,FUROSEMIDA 20 MG X 12 TABLETAS,
38141,ME33438/3,FUROSEMIDA 20 MG X 24 TABLETAS,
38142,ME23618,FUROSEMIDA 40 MG X 12 COMPRIMIDOS,
38143,ME33388/2,FUROSEMIDA 40 MG X 12 TABLETAS,
38144,ME33388/3,FUROSEMIDA 40 MG X 24 TABLETAS,
38146,ME37992,GABAPANTINA 300 MG X 20 CAPSULAS,
38156,ME26131,GENTAMICINA 0.3 % SOLUCION OFTALMICA,
38162,ME43877,GLICERINA 2.44 G X 6 SUPOSITORIOS,
38166,ME32187,GLIMEPIRIDA 2 MG X 30 COMPRIMIDOS,
38167,ME36207,GLIMEPIRIDA 4 MG X 15 COMPRIMIDOS,
38176,ME35669,GLYMAR 2 MG X 20 TABLETAS,
38182,ME22169,GULAPER 100 MG / 5 ML ORAL,
38190,ME35183/3,LOSARTAN POTASICO - HIDROCLOROTIAZIDA 100 MG - 25 MG X 30 COMPRIMIDOS RECUBIERTOS,
38191,ME35183/2,LOSARTAN POTASICO - HIDROCLOROTIAZIDA 100 MG - 25 MG X 10 COMPRIMIDOS RECUBIERTOS,
38194,ME31250/2,LOSARTAN POTASICO - HIDROCLOROTIAZIDA 50 MG -12.5 MG X 10 TABLETAS RECUBIERTAS,
38214,ME26800,IBUPROFENO 600 MG X 10 COMPRIMIDOS RECUBIERTOS,
38215,ME40877,IBUPROFENO 800 MG X 10 COMPRIMIDOS,
38217,ME32828,IBUPROFENO 100 MG / 5 ML SUSPENSION ORAL,
38218,ME38405,IBUPROFENO 400 MG X 20 TABLETAS,
38219,ME30509,IBUPROFENO 600 MG X 10 TABLETAS,
38221,ME38318,IBUPROFENO - TIOCOLCHICOSIDO 400 MG - 4 MG X 10 TABLETAS RECUBIERTAS,
38222,ME27688/2,IBUPROFENO 400 MG X 10 TABLETAS RECUBIERTAS,
38223,ME27688/3,IBUPROFENO 400 MG X 20 TABLETAS RECUBIERTAS,
38224,ME33973,IBUPROFENO 400 MG X 10 TABLETAS RECUBIERTAS ENTERICAS,
38225,ME35615,IBUPROFENO 600 MG X 10 TABLETAS RECUBIERTAS,
38256,ME35908/3,IRBESARTAN 300 MG X 28 TABLETAS,
38259,ME43716,IRBETIAZID 150 MG - 12.5 MG X 28 TABLETAS,
38263,ME35570,IVERMECTINA 6 MG X 4 TABLETAS,
38290,ME41682/2,KETOPROFENO 100 MG X 10 CAPSULAS,
38291,ME41682/3,KETOPROFENO 100 MG X 20 CAPSULAS,
38292,ME35351/2,KETOPROFENO 100 MG X 10 CAPSULAS,
38293,ME35351/3,KETOPROFENO 100 MG X 20 CAPSULAS,
38308,ME16175,LARFACAINA 2 MG - 1.5 MG X 16 PASTILLAS SABOR A TUTTI - FRUTTI,
38314,ME28874,LANSOPRAZOL 30 MG X 28 CAPSULAS,
38321,ME44041/2,LERCANIDIPINO 20 MG X 10 COMPRIMIDOS RECUBIERTOS,
38325,ME37396,LESTECOL 20 MG X 30 TABLETAS RECUBIERTAS,
38334,ME32188,LEVOFLOXACINA 500 MG X 10 COMPRIMIDOS RECUBIERTOS,
38347,ME43890,LEVOSULPIRIDA 25 MG X 30 TABLETAS,
38371,ME22858,LOGANIL 250 MG / 5 ML JARABE,
38381,ME28127,LORATADINA 10 MG X 10 COMPRIMIDOS,
38383,ME27529/2,LORATADINA 10 MG X 10 TABLETAS,
38385,ME40440,LORATADINA - AMBROXOL CLORHIDRATO 5 MG - 30 MG / 5 ML SOLUCION ORAL,
38387,ME39257,LORATADINA 10 MG X 10 TABLETAS,
