producto_id,sku,nombre_comercial,nucleo,molecula,forma,laboratorio,categoria,fuente,gates,url_en_ledger,desc_candidata,foto_candidata
37835,HO1587,COMPLEJO DE VITAMINA B X 3 AMPOLLAS,COMPLEJO DE VITAMINA B X,,INYECTABLE,PRODUCTOS LISTER FENIX C.A.,lab_antiguo,cobeca,lab,no,COMPLEJO B AMP 2 ML X3 VIV,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/5118.jpg
37864,ME30715/4,DALTAZEN 60 MG X 30 COMPRIMIDOS,DALTAZEN,Diltiazem,COMPRIMIDOS,MEGALABS S.A.,lab_antiguo,cobeca,lab,no,DILTIAZEM TAB 60MG X 30 ANGELUS,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/28519.jpg
37887,HO44408,DESKEFLAS 50 MG / 2 ML X 3 AMPOLLAS,DESKEFLAS,Dexketoprofeno Trometamol,INYECTABLE,PSICOFARMA S.A. DE C.V,lab_antiguo,cobeca,lab,no,DESKEFLAS SOL INY 50MG/2ML X3 CR MT,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/53176.jpg
37888,ME44407,DESKEFLAS 25 MG X 10 TABLETAS RECUBIERTAS,DESKEFLAS,Dexketoprofeno Trometamol,TABLETAS,LABORATORIOS ALPHARMA S.A. DE C.V,lab_antiguo,cobeca,lab,no,DESKEFLAS TAB 25MG X10 CR MT,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/52476.jpg
37901,HO42510,DEXAMETASONA FOSFATO SODICO 4 MG / ML SOLUCION INYECTABLE,DEXAMETASONA FOSFATO SODICO,,INYECTABLE,CAPLIN POINT LABORATORIES LIMITED,lab_antiguo,cobeca,lab,no,DEXAMETASONA F/SOD SOL INY 4MG/1MLX10 DT,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/23086.jpg
37902,HO42502,DEXAMETASONA FOSFATO SODICO 8 MG / 2 ML SOLUCION INYECTABLE,DEXAMETASONA FOSFATO SODICO,,INYECTABLE,DEUTSCHE LABS. INC.,lab_antiguo,cobeca,lab,no,DEXAMETASONA F/SOD SOL INY 8MG/2MLX10 DT,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/23087.jpg
37921,ME44533,DICARVEX 25 MG X 30 TABLETAS,DICARVEX,Carvedilol,TABLETAS,LABORATORIO PLUSANDEX DE FARMACEUTICOS UNIDOS PLUSANDEX C.A.,lab_antiguo,cobeca,lab,no,CARVEDILOL TAB REC 25MG X30 KIMIC,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/54225.jpg
37928,HO36803/3,DICLOFENACO SODICO 75 MG / 3 ML X 10 AMPOLLAS,DICLOFENACO SODICO,Diclofenaco,INYECTABLE,FARMIONNI SCALPI S.A.,lab_antiguo,cobeca,lab,no,DICLOFENACO SOD SOL INY 75MG/3ML X10 CCM,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/53115.jpg
37929,ME43045/2,DICLOFENACO POTASICO 50 MG X 10 TABLETAS RECUBIERTAS,DICLOFENACO POTASICO,Diclofenaco,TABLETAS,JIANGXI XIER KANGTAI PHARMACEUTICAL CO. LTD,lab_antiguo,cobeca,lab,no,DICLOFENACO POT TAB REC 50MG X10 BLUE/M,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/54424.jpg
37931,ME43045/3,DICLOFENACO POTASICO 50 MG X 20 TABLETAS RECUBIERTAS,DICLOFENACO POTASICO,Diclofenaco,TABLETAS,JIANGXI XIER KANGTAI PHARMACEUTICAL CO. LTD,lab_antiguo,cobeca,lab,si,DICLOFENACO POTA TAB 50MG X20 KIMIC,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/55.jpg
